,386_1_www.netzkino.de,386_2_www.netzkino.de,386_3_www.netzkino.de,386_5_www.netzkino.de,386_6_www.netzkino.de,386_7_www.netzkino.de,386_8_www.netzkino.de,386_9_www.netzkino.de,386_10_www.netzkino.de,387_1_www.netzkino.de,387_2_www.netzkino.de,387_3_www.netzkino.de,387_4_www.netzkino.de,387_5_www.netzkino.de,387_6_www.netzkino.de,387_7_www.netzkino.de,387_8_www.netzkino.de,387_9_www.netzkino.de,387_10_www.netzkino.de,388_1_www.netzkino.de,388_2_www.netzkino.de,388_3_www.netzkino.de,388_4_www.netzkino.de,388_5_www.netzkino.de,388_6_www.netzkino.de,388_7_www.netzkino.de,388_8_www.netzkino.de,388_9_www.netzkino.de,388_10_www.netzkino.de,389_2_www.netzkino.de,389_3_www.netzkino.de,389_4_www.netzkino.de,389_5_www.netzkino.de,389_6_www.netzkino.de,389_7_www.netzkino.de,389_8_www.netzkino.de,389_9_www.netzkino.de,389_10_www.netzkino.de
10,940451.0,875787.0,771783.0,830907.8,754645.0,700208.8,803930.7999999998,762294.9999999999,938274.4,1170003.0,1080590.8,1623176.4,1351057.6,1490047.8,1184134.8,1313011.2,1034477.0,1113506.6,1100354.2,1347481.4,743800.8,1033787.8,1399352.2,1367303.4,1069072.0,1351487.4,1051498.0,1230406.2,1025327.2,719422.0,761661.0,645714.0,683473.0000000001,655028.6,725078.2000000002,678506.4,708336.6,648873.2
11,1064481.7,955111.52,848490.64,870747.02,811214.1,774699.82,817140.12,801197.16,1040846.38,1339880.0,1285019.76,1816852.44,1503367.56,1921661.12,1261516.2,1692679.04,1040912.7,1232716.08,1200841.56,1450737.6,867335.44,1042455.92,1652727.12,1485773.8399999994,1202735.8,1408709.5,1247734.0199999998,1411853.4,1053457.2,791131.9,784761.6,681702.8,725459.38,693939.96,770764.32,690914.04,736153.64,679506.28
12,1096002.2,995590.44,870119.6,937867.12,836976.2,789973.48,942902.76,831743.5599999998,1105867.24,1373075.3999999992,1535460.4800000002,1968588.44,1952089.8,1959082.44,1346579.96,1826387.8,1067309.2,1334818.84,1335842.44,1549756.36,1014150.44,1125068.4,1897178.64,1696620.48,1364025.4,1626887.16,1363594.16,1535467.76,1266102.56,802253.6,806774.6,748340.6,792723.32,752649.48,786523.64,783801.16,780554.4,729062.6
13,1172123.4,1089085.36,992221.36,1000762.14,945870.1999999998,875514.72,1040218.72,938380.2799999998,1173609.8,1501548.0,1815277.52,2191663.4800000004,2154599.12,2023969.76,1393089.38,1935813.2000000004,1221422.7999999998,1462256.26,1369452.6,2002706.44,1092121.5599999998,1314957.6,1932218.2,1933458.24,1539635.0,1791944.9400000009,1489268.7,1667088.1,1347674.6,830281.2,832901.6,809946.4,805226.26,805202.68,812339.1999999998,794009.2000000002,794039.6,738012.26
14,1191953.6,1149512.0,1018993.72,1104975.48,1040932.0,1002639.92,1088220.5199999998,1005184.64,1348721.28,1764644.6,1829869.72,2412564.04,2317884.76,2220873.64,1522055.68,2158808.96,1356070.7999999998,1765370.44,1531830.1999999997,2437540.44,1237883.52,1354971.56,2170391.76,2095490.32,1642239.4000000008,1983388.04,1639655.68,1978614.28,1449340.96,910955.6,953338.8,871895.0000000001,832773.4800000002,818347.0,825662.08,805844.36,819846.76,782593.48
15,1218806.0,1189172.6,1098088.2,1133527.7999999998,1077312.5,1028473.2,1114790.8,1102609.3,1385399.0,2008396.0,1878040.8,2705728.6,2545633.1999999993,2467333.8,1968840.3,2285330.0,1494317.0,2031734.4,1880168.1,2628664.2,1247153.0,1487183.0,2284101.4,2235459.4,1773667.0,2153650.7,1943613.5999999992,2305605.8,1533478.6,1028934.5,1030199.0,931734.0,900989.1000000008,844324.3,862327.2000000008,836281.6,826077.2,845600.8
16,1367279.4,1205534.72,1175143.12,1157785.16,1113902.4,1107106.04,1179877.9599999995,1168090.44,1501156.68,2205807.4,1955075.72,2959638.72,2749685.6,2754532.7199999983,2101385.7199999997,2581185.6,1718337.999999999,2208938.6,2046797.76,2886951.64,1301793.12,1552079.88,2536037.56,2463430.92,1889750.0,2453641.68,2295936.6,2484179.12,1665812.56,1030363.4,1054292.6,945160.8,1031771.68,965293.04,1028328.44,955465.84,843021.52,943759.4
17,1460717.8,1247275.24,1205681.24,1241307.06,1151071.1,1151198.8,1329023.12,1195248.78,1517874.88,2464700.8,2022716.4,3070757.68,2873130.32,3306660.959999998,2382634.04,2869574.64,1986902.7,2424363.48,2242293.7,3005088.56,1343732.58,1698294.04,2855279.72,2638180.84,2113034.4000000004,2745865.920000001,2434310.22,2770456.12,1927151.04,1051420.9,1061134.8,1013597.4000000015,1096344.84,1043090.26,1033954.68,1032512.28,956590.64,1011885.1999999998
18,1492994.4,1365925.24,1332598.36,1324523.36,1202970.8,1188433.6799999995,1364169.8,1243373.32,1611794.5199999998,2699802.0,2135986.64,3337332.2,3099438.72,3928952.239999999,2665443.4,3102766.9600000004,2080000.4,2663721.5600000005,2527118.6,3317944.8,1367261.24,1810325.48,3409153.88,2851082.72,2264462.0,3214528.64,2729532.28,3054774.4799999995,2130964.92,1065242.8,1097961.4,1076227.6,1104846.52,1083453.92,1035313.28,1129404.88,1034489.88,1085363.72
19,1531443.2,1403100.6,1345494.72,1392740.08,1317291.9,1332478.7400000002,1445668.3199999994,1352675.46,1669664.9600000014,2899713.8000000007,2353847.4400000004,3717569.6,3455504.88,4529297.38,2865137.7,3307436.0399999986,2407964.3000000003,3070081.48,2829335.52,3632137.6800000006,1400411.3600000006,2111134.36,3901665.3,3198157.6399999987,2467263.0,3669668.0000000005,3080231.359999999,3401724.4599999995,2277010.52,1157512.4,1224525.2,1100003.6,1123343.6000000006,1109940.86,1086430.28,1153460.08,1142725.88,1165470.76
