,181_1_www.microsoft.com,181_2_www.microsoft.com,181_3_www.microsoft.com,181_4_www.microsoft.com,181_5_www.microsoft.com,181_6_www.microsoft.com,181_7_www.microsoft.com,181_8_www.microsoft.com,181_9_www.microsoft.com,181_10_www.microsoft.com,182_1_www.microsoft.com,182_2_www.microsoft.com,182_3_www.microsoft.com,182_4_www.microsoft.com,182_5_www.microsoft.com,182_6_www.microsoft.com,182_7_www.microsoft.com,182_8_www.microsoft.com,182_9_www.microsoft.com,182_10_www.microsoft.com,183_1_www.microsoft.com,183_3_www.microsoft.com,183_4_www.microsoft.com,183_5_www.microsoft.com,183_6_www.microsoft.com,183_7_www.microsoft.com,183_8_www.microsoft.com,183_9_www.microsoft.com,183_10_www.microsoft.com,184_1_www.microsoft.com,184_2_www.microsoft.com,184_3_www.microsoft.com,184_4_www.microsoft.com,184_5_www.microsoft.com,184_6_www.microsoft.com,184_7_www.microsoft.com,184_8_www.microsoft.com,184_9_www.microsoft.com,184_10_www.microsoft.com
17,70182.28,77089.46,52334.65999999999,61679.44000000001,92279.94,76330.02,64745.72,108151.59999999998,96471.48,95929.0,119471.52,150502.96000000002,131014.92,108633.64,140574.28,135781.2,92406.5,104431.24,141657.75999999998,102731.56,187138.4,190211.83999999988,192225.76,187685.92,196102.56000000008,182424.92,191424.12,178293.56000000003,167510.28,578960.2,555001.76,849620.92,438425.99999999977,541213.7999999999,652662.3999999999,986151.56,865949.4,830198.5999999999,577301.6
18,85659.76,78868.36000000003,64088.44,64324.28,96700.76,78815.92000000001,66896.24,121291.72,115949.92,121559.0,117642.08,172446.67999999993,141655.04,120741.88,138904.92,178850.9199999999,107233.0,110708.68,165167.88,109180.56,216401.44000000003,214640.56,248364.36,244334.00000000012,205828.96,213427.24,199457.67999999988,214501.44,179264.83999999988,668144.52,604163.5600000003,944531.32,517574.4,615771.36,766376.0,1061340.6,923597.8,929742.0,602181.0400000003
19,89828.88,83773.56000000004,62301.62,90560.46,119040.58,82833.86,79042.36,137976.09999999998,118091.86,120816.0,138591.79999999976,262306.43999999994,140059.52,139625.19999999998,176482.6,254266.36,129127.4,115458.64,164567.44,109625.68,302502.7399999999,233499.6,279023.23999999993,286218.28,241263.14,245209.6,223808.38,244503.4,202888.56,777955.7800000001,690285.7599999997,1020718.26,566847.6,668440.6,830809.5999999999,1122308.92,992049.8000000002,1007128.7,681215.28
20,90892.6,103856.4,73816.99999999999,89780.00000000001,123409.4,107114.80000000012,81292.0,149097.6,135476.8,120399.0,180246.99999999985,381512.0,163848.40000000002,191897.79999999987,283758.59999999986,327522.99999999994,161306.0,162727.00000000006,190544.39999999962,108159.4,354039.2,267879.4,307605.2,326741.2,258544.8,300743.6000000001,249660.4,308084.4,244079.99999999997,853135.8,789038.0,1081447.4000000004,639605.0,758088.3999999998,895999.0,1209985.9999999998,1048413.8000000002,1080610.0,777009.2
21,89326.28,115199.4,89858.09999999998,100570.8,130270.00000000006,116410.89999999998,83324.28,165066.89999999994,160787.15999999995,134079.0,231823.52,465552.16,231111.4,258242.07999999984,318583.24,405956.03999999963,160343.2,209740.32000000018,246072.3199999999,155403.64,446728.88,296921.88,363754.88,366032.96,290580.82,337609.4,296194.56,361224.3,272873.72,885173.62,884812.12,1119865.4,704963.3599999999,838867.0,933066.1,1240823.0,1100504.6,1166753.5,848610.52
22,104582.76,124250.24,104499.44,124920.6,154482.36000000002,133235.59999999998,87204.40000000001,173334.2,186358.4,138701.0,324331.08000000013,520457.24,318296.08000000013,336143.43999999994,355473.9599999997,489610.36,159497.8,270272.1600000002,332347.75999999995,173179.08,490118.56,332251.56,423622.1599999999,420929.24,338167.4,356836.8,337029.64,399121.23999999993,289482.6,971566.2,1007805.12,1161971.16,791770.04,897489.28,983352.2,1279466.6,1187191.04,1225742.2,916978.52
23,113578.80000000002,142442.88,110320.72,140201.40000000002,156697.9,148422.4,97420.76,185264.07999999996,201054.7,138749.0,403467.06000000006,654288.7599999997,394620.75999999983,422183.5199999993,419711.5599999997,556380.0799999997,170807.5000000001,345597.4800000001,395705.92,212664.4,532919.3999999996,380455.2,474516.5999999999,457770.92,415049.88,406359.76,366511.23999999993,430001.79999999993,333161.84,1036261.72,1122111.44,1220040.3,857287.4,953837.72,1078773.1,1343231.12,1233123.36,1287873.0,986600.12
24,129032.24,161345.4400000001,117844.6,154629.11999999994,158184.72,162758.6,111317.88,217439.6,207605.36,142115.0,484424.6,774411.8000000002,463585.23999999993,497169.56,523472.9599999999,562168.0,289328.20000000054,443231.56000000006,467980.08,242642.51999999996,586999.0399999999,427260.12,488239.4,501768.44,463838.0800000003,481769.92,421818.48,482931.8000000002,361184.04,1097623.24,1203162.8,1271997.76,893228.7599999999,973299.6,1146028.7999999998,1383356.16,1282333.96,1351458.0,1080176.7200000004
25,139267.0,171939.00000000006,140618.0,166226.0,178990.5,173039.0,139092.0,244601.0,218762.5,160998.0,502272.5,780002.0,549669.0,558889.0,577630.0,604102.0,363020.5,527482.0,541912.0,310637.0,647244.0,461292.0,572217.0,539047.0,520146.0,528388.0,445766.5,519908.5,397949.0,1150493.5,1282115.0,1355664.5,927684.0,1021437.0,1219512.5,1461250.0,1357832.0,1419755.5,1181016.000000001
26,158945.04,196442.60000000012,152936.24,184002.24,196139.8,184261.68,146766.39999999994,259741.12,228751.48,174061.0,523110.12,785860.16,571057.84,603229.2399999994,647927.6,622860.16,424740.4,582982.84,603806.4799999996,418205.12000000005,701568.5599999999,503734.88,640075.9600000001,559851.24,562967.8000000004,557250.4,473152.52,567187.9199999999,456884.88,1219393.8,1355508.96,1461110.48,1023296.24,1064468.4,1300592.9999999998,1551657.7999999996,1413701.68,1536628.6,1297566.04
