,338_1_www.mindmeister.com,338_2_www.mindmeister.com,338_3_www.mindmeister.com,338_4_www.mindmeister.com,338_5_www.mindmeister.com,338_6_www.mindmeister.com,338_7_www.mindmeister.com,338_8_www.mindmeister.com,338_9_www.mindmeister.com,338_10_www.mindmeister.com,339_1_www.mindmeister.com,339_2_www.mindmeister.com,339_3_www.mindmeister.com,339_4_www.mindmeister.com,339_5_www.mindmeister.com,339_7_www.mindmeister.com,339_8_www.mindmeister.com,339_9_www.mindmeister.com,339_10_www.mindmeister.com,340_1_www.mindmeister.com,340_2_www.mindmeister.com,340_3_www.mindmeister.com,340_4_www.mindmeister.com,340_5_www.mindmeister.com,340_6_www.mindmeister.com,340_7_www.mindmeister.com,340_8_www.mindmeister.com,340_9_www.mindmeister.com,340_10_www.mindmeister.com,341_1_www.mindmeister.com,341_2_www.mindmeister.com,341_4_www.mindmeister.com,341_5_www.mindmeister.com,341_6_www.mindmeister.com,341_7_www.mindmeister.com,341_8_www.mindmeister.com,341_9_www.mindmeister.com,341_10_www.mindmeister.com
10,130285.4,113974.8,93597.99999999996,73966.40000000013,132623.4,129675.8,181097.8,66767.8,175222.2,81972.20000000001,104413.80000000002,67651.20000000001,94794.0,95596.0,76893.00000000001,91381.99999999996,80206.6,69634.0,91736.0,184375.4,128038.0,135981.8,165744.0,355724.80000000016,265279.60000000003,205165.0,160375.80000000005,200188.80000000028,143070.4,129914.4,155383.99999999988,120549.6,128995.0,150564.0,201785.5999999999,134786.0,135366.59999999998,76241.00000000003
11,131587.88,112128.6,111465.76,98845.36000000006,179817.68,177040.56,189000.7,68368.22,184894.8,101619.60000000002,124939.16,95616.8,106793.39999999994,95428.59999999996,103319.62,110680.39999999992,102266.06,75101.2,118604.80000000006,220308.92,191718.84000000003,202479.8,250868.5,559037.2400000002,296875.80000000005,339218.2000000001,297869.6600000002,330707.42000000004,233496.38,139021.84,170871.14,129027.76,124070.18,200736.8000000002,284621.8,130695.9,139911.96,102935.80000000002
12,186980.28,175394.32,112197.96,109293.16,189676.36000000004,187045.84,194969.24,77165.11999999995,195949.84,113161.56,126590.76,106120.4,118367.79999999994,131288.6,124701.03999999998,141096.75999999998,107654.68,88240.00000000004,133277.40000000002,249425.0,296562.80000000005,360779.5599999996,322375.0,649575.4,436506.9200000002,547558.6,513007.52,521292.64000000025,369719.32,170665.92,167331.0,129080.96,200570.12000000008,221456.8,471555.8800000003,202237.0000000001,145448.44,127260.24
13,192467.60000000006,183390.32,113958.36,111906.96,194520.26,193359.48,260471.7400000003,131194.69999999998,200588.63999999996,116184.72,138898.76,121395.64,118515.34,154727.99999999994,135591.6,143453.36,134054.88,127674.6,134966.9,389771.7200000001,453673.4,567475.7599999999,493712.0,693809.4,584209.1200000003,625507.4,616308.1200000001,647103.5800000001,496266.0400000002,299531.18,208586.02,145495.0,281286.21999999986,235661.00000000012,580273.64,367136.70000000007,273695.9599999999,145706.64
14,201302.08,186113.08,148263.59999999998,123959.24,199921.84,218492.8,406884.4400000003,143930.64,289212.3600000001,124549.92,174542.28,133847.35999999993,166208.59999999974,203532.20000000007,155120.92,139747.36000000002,135620.63999999998,130539.99999999994,131466.4,545409.2000000001,567718.44,646899.4,588609.0,762742.4000000001,656749.6000000001,652033.4,709890.4400000002,703619.16,572367.7999999999,487868.36,307969.2,224737.4399999999,498229.92,392489.0,661270.2,532718.2,446589.44,150206.76
15,208175.00000000003,193254.2,181354.2,162154.8000000001,271195.7,300677.19999999995,565945.3,171591.0,427510.79999999993,132379.6,338904.40000000014,158266.00000000015,251224.2,219701.0,207864.2,249085.69999999966,161808.2,133193.0,207949.0,641178.0,647852.0,688702.8,690727.0,916078.0,700756.8000000003,810673.5,762500.0000000006,710167.6000000002,648563.4,565084.5,472282.49999999994,347593.3999999997,564731.5,545445.0,670005.6,575505.0,558487.6,152479.8000000001
16,282218.8000000002,227031.68,187016.64,183148.56,408940.88,445793.08,732259.2400000001,175427.84,558759.44,159791.36,409489.84,230969.36,320872.15999999986,286698.6,307652.52,356066.08,199919.79999999987,178709.4,353980.00000000006,658477.6,798302.52,751877.9599999998,695827.0,1106159.28,812205.84,1012488.8,880878.2000000002,755482.04,728369.04,612421.76,580166.0,485752.4,589645.0,589992.0,679968.7999999999,606731.2,580912.36,201087.16000000012
17,382564.8400000007,235091.4,191395.28,194108.80000000005,498407.7,530672.4799999999,913192.1,183918.43999999997,681979.7199999994,189826.72,542542.24,284249.27999999985,435653.29999999993,494996.99999999977,410853.3,470274.2400000001,238536.48,275428.4,539163.5,729739.28,1019671.8799999999,833570.9600000002,874857.5,1279932.72,940519.8000000002,1160477.0000000005,1079499.7,788583.7,823793.24,618438.8000000003,605288.54,561799.8,615928.34,609888.0000000002,701177.12,670182.0,625726.56,294898.04
18,508583.6000000001,264636.52,197332.76,222967.16,640665.6,654660.72,1086861.6,185128.32,783871.3999999998,193008.2,576132.68,410118.72000000026,551943.8,566694.0,489973.7200000001,541205.7599999997,381458.56,348316.0000000001,569193.2000000001,826627.6000000003,1154811.560000001,980998.6,966845.0,1406104.4,1020838.4000000005,1217153.8,1229254.84,909350.84,1016702.68,664482.8,614518.0799999997,580279.08,684355.88,689071.6,727369.84,682641.6,666787.88,404686.24000000034
19,610396.5200000001,267121.84,205316.19999999992,227192.48000000013,809099.2400000003,757011.72,1202624.4799999995,218772.22,924855.2,201128.64,624579.84,549387.0,574709.96,671893.0,568590.1,582304.98,550560.1999999997,529785.6,685653.7999999999,903836.6,1529572.8800000004,1116143.2799999998,1092268.5,1665908.1200000003,1207895.08,1388595.3999999994,1348052.7200000002,979690.6,1257164.16,696267.44,676108.5,584897.68,691471.86,697316.0000000001,724272.24,692771.0000000001,670899.36,528937.4400000002
20,723004.4000000005,273949.4,235343.8,238200.00000000012,925533.0,894400.2,1311822.6,221852.2,1067722.7999999998,227443.4,654412.8,568924.8,593941.2,825600.0,616449.6000000001,669453.3999999997,572865.2,566801.0,832199.0,1088855.4000000006,1720434.8000000003,1235615.6,1247818.0,1832853.2000000004,1347311.0000000002,1581617.0,1499001.2000000004,1086886.6,1439066.2000000004,722703.8,694336.4,654939.6,698900.7999999999,707446.0,821120.8,705930.0,687685.9999999999,579745.4
21,841325.4800000007,279759.4,237924.99999999997,282707.28,1054094.46,1005957.24,1426314.3000000003,224421.58,1226353.0799999991,238063.08,694830.8399999997,571798.5599999999,656222.86,855134.4,768171.72,868817.12,691402.6399999997,617870.6000000001,871529.7,1315197.3600000006,1928813.44,1383203.6,1361482.0,2057610.8,1476240.4,1816691.7,1637827.48,1256558.1,1637499.7,731260.54,701057.22,725035.4399999998,729795.74,722451.8,828131.4000000001,713649.7,690405.84,601283.16
22,1013364.6,326268.72,260566.76,333109.04000000044,1214069.24,1140343.2,1611688.4,226029.92,1379982.48,239620.68000000005,771358.9600000002,576475.08,695733.28,886819.2,874735.52,893632.0,842461.44,744336.4,882472.4,1508906.2400000002,2096975.76,1499758.64,1500433.0,2195796.76,1501084.28,2051300.2,1813644.600000001,1451630.36,1810878.96,728802.4,717750.16,791299.56,743372.24,745269.8,942692.2,732033.0,712150.92,633050.56
23,1162361.6800000002,387200.6399999998,274009.31999999995,433434.88000000047,1391141.3,1265831.88,1743063.8200000003,229529.62,1506027.4399999997,246051.44,866058.3600000001,586625.3999999999,701676.88,904854.2,896015.02,910603.94,857032.56,853462.0,887523.4,1724900.9600000004,2112096.52,1594622.7599999998,1644921.5,2211976.76,1670002.480000001,2152323.0000000005,1997087.820000001,1563788.02,1952323.8400000003,737216.94,715826.34,821619.2,739027.42,743222.8,1088649.2,756269.4,766725.92,680831.44
24,1265068.9200000002,478347.8000000002,275490.04,513984.8,1539267.7200000002,1383841.639999999,1845687.080000001,247325.04,1544470.56,252155.88,930679.5999999995,644188.28,715808.3999999998,908661.8,902340.84,921751.28,868212.6,891442.4,889364.2000000002,1801962.56,2179994.56,1669274.32,1807082.0,2221611.2,1872243.8400000003,2193447.4,2132858.0000000005,1661738.12,2137447.200000001,735736.84,711637.16,923612.2,829492.64,782154.0000000001,1201058.12,867409.8000000002,794685.0400000002,727490.04
25,1372770.0,572627.0,281897.0000000001,604997.0,1676694.0,1581513.0,2057296.0,267939.5,1685951.0,281046.0,1020340.0,697449.0,765080.5,969190.0,906865.5,969643.5,898640.5,900024.0,960937.5,2150506.0,2185203.0,1710063.0,1994106.0,2337427.0,2018111.0,2207192.0,2179205.5,1758239.5,2197092.5,799408.0,707897.5,1020700.0,963237.5,906949.0,1344568.0,1008840.5,926356.0,766518.0
26,1513183.0800000003,637847.72,288162.08,710972.4400000002,1744835.64,1694517.2799999998,2241664.72,272674.64,1751848.28,329057.8799999997,1075549.32,738983.28,848820.6799999998,989515.7999999996,911600.36,1022487.64,1022488.16,904947.8,1008199.4000000005,2194721.96,2201936.64,1867274.84,2075437.0,2442003.2,2115348.24,2235789.8000000003,2203962.2,1903420.88,2210564.44,871126.4,786090.3199999998,1214142.4800000002,1099314.64,997632.0,1501340.7999999996,1074271.0,1095648.08,806888.0
27,1662801.0400000003,744031.3999999998,341418.39999999944,816790.76,1752173.12,1836196.76,2375779.24,293060.12000000005,1860842.68,384275.28,1204289.8399999996,762279.96,929227.4,1056824.6,992120.0,1134627.34,1083467.16,909464.6,1126445.5,2202501.36,2209328.16,1926529.8,2170717.0,2600376.6,2163309.4800000004,2434228.0000000005,2215295.42,1985512.38,2217062.12,1016881.2200000008,873047.2,1284441.92,1224011.2999999998,1119707.0,1627896.9199999997,1173172.3,1228830.84,804487.52
