,14_1_www.b-tu.de,14_3_www.b-tu.de,14_4_www.b-tu.de,14_5_www.b-tu.de,14_6_www.b-tu.de,14_7_www.b-tu.de,14_8_www.b-tu.de,14_9_www.b-tu.de,14_10_www.b-tu.de,15_1_www.b-tu.de,15_2_www.b-tu.de,15_3_www.b-tu.de,15_4_www.b-tu.de,15_5_www.b-tu.de,15_6_www.b-tu.de,15_7_www.b-tu.de,15_8_www.b-tu.de,15_9_www.b-tu.de,15_10_www.b-tu.de,16_1_www.b-tu.de,16_2_www.b-tu.de,16_3_www.b-tu.de,16_4_www.b-tu.de,16_5_www.b-tu.de,16_6_www.b-tu.de,16_7_www.b-tu.de,16_8_www.b-tu.de,16_9_www.b-tu.de,16_10_www.b-tu.de,17_1_www.b-tu.de,17_2_www.b-tu.de,17_3_www.b-tu.de,17_4_www.b-tu.de,17_5_www.b-tu.de,17_6_www.b-tu.de,17_7_www.b-tu.de,17_8_www.b-tu.de,17_9_www.b-tu.de,17_10_www.b-tu.de
10,52326.0,56815.6,48718.0,46276.8,51912.39999999999,21579.2,21127.0,40280.0,57050.4,7509.200000000003,6598.800000000001,8334.000000000005,7021.6,51589.99999999999,15625.2,21503.4,7115.4,31180.999999999916,47549.6,55753.4,25631.00000000004,47446.60000000001,21795.800000000007,64973.400000000096,53661.0,20565.0,21059.4,16589.199999999993,72335.6,22150.4,20823.40000000002,51174.0,16578.2,21353.6,53528.2,21178.6,23145.0,15166.4,13627.200000000026
11,56400.08,55571.32,56270.2,48015.48,51390.52,36331.88000000001,57417.10000000001,52368.79999999999,57455.96,8695.72,9668.600000000006,21415.04,6341.159999999999,55222.94,20559.36,39569.4,8361.08,51650.62,47686.64000000001,55225.92,53391.28,57972.40000000001,32638.80000000008,100776.68,70253.9,52833.4,22633.4,22381.12,100702.94,49201.63999999997,21682.60000000001,53044.20000000002,47336.32,53083.42,70173.60000000003,41590.15999999999,52359.0,14442.54,21184.64
12,60548.35999999999,61586.32,65551.00000000009,68936.92000000001,55301.64,57074.48,56265.8,62189.44,59165.96,11019.8,21350.92,23057.80000000001,8026.280000000002,53909.52,52352.68,50756.79999999999,9098.199999999997,50636.28,51798.16,56273.48,57033.71999999997,68924.32,54375.44,99271.92,75167.99999999997,63299.99999999997,52037.8,54288.68,100702.24,52560.52,52577.36,68018.4,51022.32,53829.36000000002,99143.76,51471.88,50891.0,29459.199999999964,39957.640000000014
13,72026.58,61586.68,72453.20000000001,72508.83999999997,55289.36,55778.64,57790.60000000003,72779.31999999999,61579.76,21069.72,21328.8,43128.680000000015,19171.439999999984,56543.36,51682.59999999999,71547.23999999999,17276.48,53836.48,69565.48000000001,72038.48,70057.56,88044.24,54284.92,109162.24000000002,100806.7,68398.8,53792.94,55648.76,104631.48,54273.58,55152.24,69742.6,82398.8,56578.32000000001,97607.48,54859.88,65230.0,52676.34,55364.68000000002
14,74177.76,102319.63999999993,75570.59999999999,96389.72,55610.31999999999,57946.76,59410.6,73419.31999999999,63035.12,21189.60000000001,52524.28,50590.28,21773.24,90104.68,55202.36,85301.04,18407.4,56093.43999999997,85155.08,73525.56,74996.12000000001,86651.52,55975.96,136756.15999999995,99564.6,69675.6,64110.56000000004,55515.04,115994.32,53189.92,57074.2,72658.4,94653.16,100182.36,101119.32,55808.12,68631.0,51823.32,80668.04000000002
15,81153.00000000001,103808.8,78923.0,106921.2,56624.19999999998,61435.00000000002,63709.5,76284.6,81326.2,51874.00000000002,66842.8,59074.400000000096,42000.39999999999,90393.8,77185.5999999999,87131.2,46960.8,58739.4,117435.39999999985,75476.6,101315.2,94738.2,64957.400000000096,139209.6,101323.5,68784.0,70213.7,70472.79999999999,140294.2,54945.599999999984,92335.80000000003,103064.0,93266.2,98340.9,105563.2,99561.2,70752.0,53459.7,84634.4
16,105598.16,104893.04,78842.00000000001,130975.11999999994,60113.59999999999,63791.44,63237.8,80431.76,97849.39999999998,51653.48,86282.08,71180.84,52466.64,94393.4,99659.96,85866.68,48051.32,74181.75999999991,160445.35999999993,93321.88,99706.44,98141.16,101675.64,158949.0,105718.4,72796.2,77089.40000000001,71804.24,171088.11999999994,57021.44,98761.64,154863.60000000006,91953.08,97963.48,124306.11999999994,98051.12,91459.0,52998.56,86258.16
17,104394.18,108262.28,82189.2,182701.76,92218.2,65153.11999999997,65414.1,89598.20000000003,144272.31999999998,55637.24,85041.48,70346.06,59722.39999999999,140101.9,98213.36,91330.16,52025.16,81426.52,207666.68000000005,108246.8,98852.80000000002,100209.04,100533.28,198060.0,114039.19999999992,75453.6,100777.78,70914.12000000001,211943.43999999992,60449.68,97669.24,169717.2,118314.52,109700.94,189324.08,99221.72,135682.0,54792.34,85985.64
18,106094.12,122635.04,87317.40000000004,238597.0800000001,120433.43999999992,65100.72,108484.60000000014,95014.4,178481.92,55506.84,86794.76,71993.04,67420.08,165812.19999999998,97068.92,90714.75999999997,51863.56,83094.43999999999,241068.08,142114.4,102894.64,103055.16000000002,101826.48,234711.72000000012,143332.0,92449.6,100031.88,78659.75999999997,253583.2,61313.68,123179.64,188743.20000000004,120678.52,124237.76,253945.51999999996,98870.72,178082.0,56750.44,100798.72
19,133638.07999999993,148802.68,110626.8,321539.52,149848.63999999996,98628.24,171526.79999999993,98953.84,245607.27999999988,55808.12000000001,90069.84,88764.08,86605.64,203021.36,107118.47999999998,94014.08,51224.84,110497.3999999999,278591.8399999999,177822.44,107212.12,103539.32,103937.04,278967.0000000001,194603.39999999985,92367.8,100852.48,79936.88,295747.8000000001,92340.58,127269.28,204714.8,141469.08000000002,124544.11999999994,313035.11999999994,123524.0,214368.0,56833.04,101080.56
20,147945.8,191428.0,128867.0,369094.4,174808.19999999998,99320.2,233327.0,112131.0,296752.99999999994,55339.2,95105.79999999994,88358.6,85406.6,235813.79999999987,117844.8,94251.6,50738.4,144134.4,316763.19999999995,211294.6,109146.6,107676.6,117924.8,311021.2,226581.0,95876.0,104134.80000000003,87872.79999999987,332194.80000000005,114941.59999999998,129412.4,218523.0,149293.8,167122.59999999992,356106.8,131030.8,227618.0,61009.6,99239.6
