,198_1_siteorigin.com,198_2_siteorigin.com,198_3_siteorigin.com,198_4_siteorigin.com,198_5_siteorigin.com,198_6_siteorigin.com,198_7_siteorigin.com,198_8_siteorigin.com,198_9_siteorigin.com,198_10_siteorigin.com,199_1_siteorigin.com,199_2_siteorigin.com,199_3_siteorigin.com,199_4_siteorigin.com,199_5_siteorigin.com,199_7_siteorigin.com,199_8_siteorigin.com,199_9_siteorigin.com,199_10_siteorigin.com,200_1_siteorigin.com,200_2_siteorigin.com,200_3_siteorigin.com,200_4_siteorigin.com,200_5_siteorigin.com,200_6_siteorigin.com,200_8_siteorigin.com,200_9_siteorigin.com,200_10_siteorigin.com,201_1_siteorigin.com,201_2_siteorigin.com,201_3_siteorigin.com,201_4_siteorigin.com,201_5_siteorigin.com,201_6_siteorigin.com,201_7_siteorigin.com,201_8_siteorigin.com,201_9_siteorigin.com,201_10_siteorigin.com
10,58943.0,40140.4,38237.8,45101.8,30491.800000000007,56638.0,24248.2,24931.0,31244.2,43151.600000000086,56598.2,41205.6,61602.8,31818.799999999992,55249.00000000002,51132.40000000006,44831.400000000096,24220.2,48673.0,118298.0,208987.19999999966,88912.99999999996,118256.8,134162.59999999998,170883.7999999999,117899.6,155431.00000000006,116741.8,456047.0,457623.0,482744.0,462185.0,420796.0,279897.0,417036.0,457738.2,482719.6,419876.5999999999
11,65084.8,59254.52,55637.02,61430.4,62183.84,62122.19999999998,39797.42,29049.2,32161.32,56346.200000000026,54984.54,55544.58,67499.08,31589.640000000007,58472.34,60078.64000000002,57248.86,23347.88,58574.4,166223.82,305062.52,132307.07999999993,171967.56,175876.56,255472.92,181580.56,169244.04000000007,124833.94,488377.4,489407.4,487803.4,496976.08,465073.8,409325.6,488324.6,484639.2,488122.88,471296.2
12,68634.40000000001,62453.12,56967.4,63207.79999999999,64004.76,65800.99999999999,57255.12,40749.6,48320.4,59310.80000000002,59499.400000000016,61367.48,67243.12000000001,44754.48,59968.88,65225.88000000003,60596.88,38835.52,66717.60000000003,173467.08,342227.8,188985.64,248802.52,220958.12,259715.8,257324.56,201704.68,168263.44,492823.8000000001,494331.00000000006,504570.8,502041.04,498195.0,471897.08,495160.2,489936.2,507221.92,481323.28
13,68790.8,64321.52,63840.56,71554.22,64855.72,65403.6,60750.84,58013.2,65797.31999999999,63351.38,66310.02,66268.06,87134.2799999999,62887.80000000001,65532.44,66031.12,65715.98,39174.4,66872.9,216899.44,417589.2,202440.11999999968,297453.7,284755.88,338744.75999999995,295189.92,263945.8,187002.52,513282.8,516447.0,534033.2,521822.76,507030.0,501343.64,512109.2,507580.64,532521.92,487508.48
14,114158.39999999998,68219.96,65391.200000000026,112217.72,70656.12,91008.39999999985,62302.56,59870.2,68188.2,66191.68,66354.64,66614.52,115536.2,67548.28,66122.28,70818.56,66101.12,56805.47999999999,66636.2,238567.9600000001,436541.84,272942.2,296944.8,298416.60000000003,409935.44,296790.08,342203.24,315563.48,541157.4,538777.6,544924.0,547931.32,520715.8,519140.0,541191.8,508805.12,546617.2,521895.44
15,118257.0,75874.4,68642.39999999997,115696.2,76413.2,114897.0,66089.8,62683.0,78013.20000000008,66230.7,70686.3,68231.1,122665.4,71729.90000000001,85050.00000000009,96578.20000000011,66126.3,57804.6,90467.50000000012,365623.4,447223.6,295207.2,317562.99999999994,416619.6,427108.00000000023,358895.00000000006,412070.2,356847.4,545254.0,545410.0,564825.0,554934.0,522008.5,543103.0000000001,542846.0,522934.4,563728.0,528985.6
16,125265.2,83862.6,94005.56,114527.76,75282.68,116371.99999999994,67770.31999999999,71256.4,84602.88,86246.92000000003,94266.80000000008,79715.72,122769.72,94547.95999999998,95828.64000000004,114848.68,94104.16000000002,61514.56000000001,107612.20000000004,416969.16,452277.68,399242.04,409714.4,417686.24,443332.48,416603.44,415735.08,415669.56,555885.4,562889.0,711141.5999999999,568197.44,524507.8,551596.52,556864.3999999999,558769.4399999997,673111.0,541461.04
17,159679.99999999985,115653.24,115036.38,115800.86,100196.6,122593.9,78482.92000000003,73128.4,85710.08,113717.38,107479.4,113350.32,123202.15999999995,105090.52,115511.84,121971.64,113004.2,64715.32,116050.9,436753.84,494525.6,423218.04,417831.24,437940.76,446909.16,436649.58,444210.48,442960.2,574591.0,655219.6000000001,725897.6,691402.4400000002,584899.1,561107.36,614649.6,648616.6,725796.92,557514.48
18,223411.59999999992,117326.56,115416.76,123727.96,129899.72,144336.6,114688.36,81555.8,101020.32,117571.56,116694.64000000006,116103.08,131384.63999999998,122297.36,121648.48,129202.24,115963.48,64831.44,122919.6,440134.88,503799.6,444679.96,444441.48,446641.36,449775.36,440950.32,447061.4,445565.72,677887.2,736481.8,739807.4,736878.56,699336.6,623127.4800000002,728064.6,682289.7999999999,740327.44,606574.6400000001
19,266566.8,124141.04,122513.98,192325.24,129715.04,171997.79999999993,117419.15999999992,83010.4,127863.2,126405.66,118612.06,123303.14,149962.15999999995,155512.15999999995,126335.46,142599.88,122643.86,66399.52,124755.7,443866.96,512729.64,452899.68,447039.88,452864.24,485328.55999999976,451583.88,451118.8,451767.78,734433.6,737849.4,746612.8,747739.48,738776.3,730954.4000000001,756162.8000000002,735065.96,758038.16,665897.36
20,317023.0,129683.5999999999,137786.20000000007,219838.19999999992,146363.4,207817.0,122577.4,90956.0,133830.40000000005,128991.80000000008,141946.00000000006,128541.6,211427.8,184456.59999999992,158883.00000000006,143225.80000000002,139192.4,68990.6,133656.0,447142.8,564583.3999999999,459294.99999999994,454019.6,498915.4,500400.8,490022.0,498695.8,482449.0,743827.0,748048.0,765459.0,750576.6,778460.0,736034.6,763121.0,759210.6,811274.6,675682.6
21,369489.0,189460.04,174118.58,245853.16,181253.96,307477.19999999984,127307.16,104043.79999999994,211109.44,174227.86,158069.46,155580.86,239094.24,234295.84,164248.8600000002,145949.04,153895.03999999998,78474.47999999997,158207.4,496461.32000000007,625060.72,489981.48,461907.44000000024,516605.92,567139.9200000003,499181.86,502700.18,502571.66,758725.2,762994.6000000002,848856.0,779965.44,879553.9,744217.16,772016.2,762252.72,862885.52,707924.92
22,384061.4,191062.0,183086.92,273366.12,181612.68,380788.6,159453.27999999985,124805.4,212006.48,190685.52000000022,190162.52,159149.6,267321.68,275959.75999999966,196848.9200000004,175278.84000000005,174916.12,112201.39999999998,178711.0,511785.48,630608.12,510864.52,504462.08,573495.4400000001,633222.08,516653.24,585832.8800000001,559327.2000000001,764687.2,814898.2,935374.0,859257.08,886171.2,745599.16,799347.8,769594.36,946392.2,713326.2
23,456170.4,195959.92,227606.55999999985,292173.08,220327.72,392250.5999999999,171100.9,179254.80000000008,290756.3600000001,243894.58,205300.46,194141.22,294051.12,335404.8399999998,256509.84,195345.20000000004,210390.52,121217.27999999994,230180.4000000001,514566.68,676756.72,523563.44,583150.5199999998,633874.44,646220.4,518944.7,643824.16,632734.7,793096.0,874976.0000000001,982015.6,976148.1999999998,904972.7,782303.72,903644.0,891940.4,994337.24,762596.08
24,542373.9999999999,216829.96,307256.12,322412.04,254324.04,461993.8,196042.9199999999,197538.2,372604.55999999976,337495.84000000026,211723.76000000015,219165.56000000008,318571.19999999995,352397.68,325552.04,214068.96000000005,256156.55999999985,122626.68,302088.2000000003,515813.24,683039.2,527196.84,634632.92,645202.76,650598.88,520714.84,646602.4,645147.56,856614.9999999994,937197.0000000001,984503.4,995569.2,1048207.3999999996,842493.88,982258.5999999994,960677.2399999999,996661.72,874301.2399999999
