,258_1_www.samsung.com,258_2_www.samsung.com,258_3_www.samsung.com,258_4_www.samsung.com,258_5_www.samsung.com,258_6_www.samsung.com,258_7_www.samsung.com,258_8_www.samsung.com,258_9_www.samsung.com,258_10_www.samsung.com,259_1_www.samsung.com,259_2_www.samsung.com,259_3_www.samsung.com,259_5_www.samsung.com,259_6_www.samsung.com,259_7_www.samsung.com,259_9_www.samsung.com,259_10_www.samsung.com,260_1_www.samsung.com,260_2_www.samsung.com,260_3_www.samsung.com,260_4_www.samsung.com,260_5_www.samsung.com,260_6_www.samsung.com,260_7_www.samsung.com,260_8_www.samsung.com,260_9_www.samsung.com,260_10_www.samsung.com,261_1_www.samsung.com,261_2_www.samsung.com,261_3_www.samsung.com,261_4_www.samsung.com,261_5_www.samsung.com,261_6_www.samsung.com,261_7_www.samsung.com,261_8_www.samsung.com,261_9_www.samsung.com,261_10_www.samsung.com
14,1133181.48,1564016.64,1183059.0,1573865.12,1139613.0,1310976.1999999995,1361252.7200000002,1612966.2,1213673.36,1126848.0000000002,458365.68,551558.3999999999,545254.3200000001,441010.32,547693.4,226399.1999999998,539866.9999999999,483881.8,1636895.1999999997,839591.6,788475.2,1461611.0,860596.5600000003,1102255.68,1282691.6400000004,758808.04,744252.3199999998,2698203.0,574108.72,481906.12,512968.32,1230657.2,515769.96,515382.2,359331.96,368665.44,337677.0,612615.8800000001
15,1190596.8,1587345.4,1291420.0,1601584.4,1200123.0,1389460.0,1391840.0,1620734.0,1304797.2000000004,1223881.7999999998,530639.0,561369.2,548887.1,531957.4999999999,554172.0,264198.0,553775.0,546006.3,1876525.0,837004.2,909858.2000000004,1563315.5,1005949.6,1172178.8,1365578.0,892925.9,834727.6,2970339.0,608654.3999999999,482468.7,519436.0,1278993.0,516040.2,520345.0,434582.5999999999,448106.4,413539.0,737251.8
16,1235990.64,1608299.92,1386997.0,1607333.48,1328989.0,1422007.4,1518143.4,1728086.3999999997,1377304.16,1398258.08,553644.44,585653.64,578557.52,547239.88,561390.6,351145.6,563295.2000000001,550328.92,2061561.4,938520.44,991404.92,1748683.0,1128406.28,1197459.24,1488325.52,1035101.24,980662.96,3295590.0,608757.52,509664.88,519771.2,1414722.0,571022.7600000001,621244.7999999999,512343.4,519301.36,487815.0,793557.64
17,1323970.16,1616376.32,1411927.0,1618791.0,1405337.0,1567740.3,1592015.18,1854293.7999999996,1437131.7800000003,1412725.56,554841.6,704732.4400000002,687929.4,560418.2,582865.0,463657.7999999997,667295.2000000001,593048.5800000001,2240265.8000000003,1005451.44,1051362.62,1886897.0,1159604.64,1283967.7599999998,1577555.6,1035830.66,1040226.4,3491218.0,688972.96,514868.74,541935.4,1516767.2,694499.0,724751.0,528215.44,579198.56,514942.5,797490.18
18,1390920.56,1640256.6,1408213.0,1681798.44,1538521.0,1585487.4,1596319.84,2069620.0,1571379.56,1519639.96,646089.0000000002,764977.0,724391.3200000002,656620.5199999999,753823.6,532809.0,756554.4,672167.6400000002,2451000.8,1021912.12,1167028.92,2048907.0,1196387.56,1418173.44,1717755.5999999996,1042804.0,1045354.04,3588417.0,757429.32,550226.12,608242.6400000001,1664506.6,776601.04,785693.0,562493.9599999997,613920.2799999999,545890.0,801053.2000000002
19,1506712.4400000004,1715858.88,1415721.0,1776739.3199999996,1603234.0,1606388.7,1607051.18,2207708.0,1574534.94,1588251.16,755746.8,807046.56,798903.88,687292.92,766259.2,535772.0,791914.0,718684.4800000002,2678184.5,1053864.8,1190218.1,2269802.0,1235705.8800000004,1470585.1599999997,1855911.2,1124375.16,1126431.28,3657915.0,799168.46,618302.3600000001,720823.9600000002,1669217.0,855972.48,824828.5999999999,655717.8799999998,682423.44,608476.0,827100.56
20,1577859.6,1810695.4,1420105.0,1902925.8,1602009.0,1605852.0,1608181.6,2404735.0,1599374.8,1594461.4,762757.6000000003,809243.4,801299.6,776084.0,807891.0,555535.0,800744.0,787194.2000000002,2918765.0,1162615.8000000005,1239744.0,2424641.0,1296436.2,1554691.0,1918949.0,1190496.6,1152733.6,3667945.0,876604.8,694222.2000000001,796744.6000000002,1761084.0,858999.0,853486.0,731019.2,772309.5999999999,688096.0,865124.7999999998
21,1578553.4,1946171.52,1492000.0,2006941.66,1619527.0,1604160.4,1615956.4000000004,2507450.1,1597491.88,1602600.24,800966.16,812307.12,802120.92,801346.34,809348.2,556477.2,799841.8,800675.54,3171835.800000001,1333830.7400000002,1318843.42,2623498.5,1355387.9200000009,1729448.96,2074053.32,1219228.7600000002,1228496.7599999998,3685823.0,915114.18,791107.0800000002,860919.12,1782383.7,897019.2800000001,885944.0,823208.7199999997,814399.1599999998,771729.0,863628.86
22,1592851.48,2042161.68,1563449.0,2088690.08,1623704.0,1670623.8,1683330.4,2640307.0,1604266.48,1605311.16,800872.16,809259.28,801680.92,807309.76,812883.4,588084.8,804070.2,803412.8,3389957.6000000006,1398660.44,1352599.6,2931622.0,1447504.0,1768860.159999999,2246990.8800000004,1303275.88,1275239.72,3725782.0,953854.68,848999.48,863086.32,1788005.2,909107.6000000004,909936.1999999995,854116.72,848718.12,851292.0,899229.3200000002
23,1605756.28,2251436.12,1605402.0,2214677.34,1624831.0,1690269.0000000002,1783877.48,2787909.6,1628266.32,1621355.5200000003,801366.0599999998,818423.24,805557.1799999998,809541.8200000002,813593.2,668793.7999999999,809231.8,804740.18,3500626.4,1529405.7600000002,1490043.4,3175348.0,1509918.7200000002,1865451.62,2315889.2800000003,1383017.86,1376857.48,3730345.0,992672.92,852290.72,903135.8,1793828.0,1037125.28,990506.9999999995,851764.1599999998,909415.82,852602.5,991904.22
24,1617996.92,2366602.16,1614852.0,2306165.04,1646895.0,1783045.0,1878524.8,2967653.4,1678878.4000000004,1643586.4,804547.04,822576.16,810464.36,813702.24,817240.6,736862.3999999998,816994.8,810030.24,3590063.2,1665412.4400000004,1613388.7599999998,3425302.0,1600155.8,1939334.4,2481584.2,1450720.76,1498606.16,3891580.0,1044028.04,892892.9600000002,1009059.2400000005,1808213.0,1094472.16,1054013.7999999998,892578.2,913415.6,862153.0,1072691.9600000004
25,1619960.0,2478058.0,1643612.0,2420422.0,1708261.0,1846855.0,1973099.5,3060755.0,1817865.5,1716231.0,809444.5,833246.0,816335.5,815114.5,853456.0,768980.0,845996.0,814011.0,3650347.5,1766608.0,1707143.0,3533942.0,1729794.5,2022529.0,2626083.0,1469034.0,1571115.0,3966228.0,1059802.0,977264.0000000005,1116407.0,1829618.5,1169703.0,1065995.0,946546.0,914488.5,896757.5,1174836.5
26,1646871.52,2578645.2,1740876.0,2551559.48,1803383.0,1911544.0,2047364.2,3108046.6,1964926.6400000008,1818345.24,845132.04,830302.6,825783.72,814507.84,856705.2,806987.6,847715.4,818096.96,3653880.8,1882908.64,1822592.96,3602775.0,1824811.12,2114408.28,2804210.72,1565498.4,1658645.7999999996,4176192.0,1141056.7599999998,1021310.6,1165104.96,1830019.0,1221892.96,1158877.8,989823.64,932169.52,894442.0,1220930.88
