,238_1_www.nist.gov,238_2_www.nist.gov,238_3_www.nist.gov,238_4_www.nist.gov,238_5_www.nist.gov,238_6_www.nist.gov,238_7_www.nist.gov,238_8_www.nist.gov,238_9_www.nist.gov,238_10_www.nist.gov,239_2_www.nist.gov,239_3_www.nist.gov,239_4_www.nist.gov,239_5_www.nist.gov,239_6_www.nist.gov,239_7_www.nist.gov,239_8_www.nist.gov,239_9_www.nist.gov,239_10_www.nist.gov,240_1_www.nist.gov,240_2_www.nist.gov,240_3_www.nist.gov,240_4_www.nist.gov,240_5_www.nist.gov,240_6_www.nist.gov,240_7_www.nist.gov,240_8_www.nist.gov,240_9_www.nist.gov,240_10_www.nist.gov,241_1_www.nist.gov,241_2_www.nist.gov,241_3_www.nist.gov,241_4_www.nist.gov,241_5_www.nist.gov,241_6_www.nist.gov,241_7_www.nist.gov,241_9_www.nist.gov,241_10_www.nist.gov
22,162418.83999999994,130915.4,151078.2,158355.68000000002,221405.2,319367.4400000002,136296.2,235969.84000000003,171719.76,260220.0,33836.48,50896.8,49780.60000000001,49535.6,39826.2,135599.64000000013,34164.12000000003,33169.12,45414.00000000005,416655.0,436634.24,308519.92000000004,295816.12,395758.2,315859.0,398043.96,350023.67999999993,325430.56,447249.04,56470.64000000002,51326.52,65967.20000000001,180122.4,97101.8,90272.35999999996,59402.52,60506.44,65544.99999999997
23,196952.12,170088.91999999998,172178.40000000008,197217.12,244852.64,395382.78,217175.80000000005,274391.24000000005,187193.1,321053.0,41409.4,52568.42000000001,49496.99999999999,50694.92,41951.5,149873.55999999985,50120.67999999999,46192.0,49051.00000000002,436882.64,440408.66,349437.1600000001,337123.92,394103.0,347606.4,400927.52,392681.28,379127.64,451113.98,58192.48,53256.16,74651.74,185356.5,98475.2,117999.31999999992,58380.62,60573.16,75553.8
24,260367.15999999977,193826.8,236799.60000000003,212197.2,298263.4,474390.55999999976,250393.52,336210.04,202319.6,394146.0,51709.64,54345.59999999999,51523.2,51342.76,46274.60000000003,176112.6,52951.4,51454.24,51647.2,444892.4,445227.4,379503.92,374405.2,423770.0,392937.36,424368.7599999999,395569.72,399025.52,520298.68,60444.96,68269.48,77483.64,210047.5999999999,98971.5999999999,147780.43999999994,60857.44,59585.08,78038.8
25,309805.0,245777.0,263610.0,258462.0,337502.9999999998,536910.0,309765.0,386497.0,241081.0,435467.0,51435.0,61923.0,55814.0,55914.999999999935,58032.49999999999,186264.0,70141.0,51750.0,51077.0,454591.0,507670.0,397268.0,399169.0,424386.0,403566.0,430481.0,405340.5,403776.0,545824.0,71003.0,70361.5,81542.0,224805.0,119320.0,179522.0,83671.5,74773.0,89055.0
26,370252.88,300914.8000000001,332201.0,305498.2,374480.7199999999,616987.08,365041.8400000001,411675.84,286104.08,479655.0,51663.36,71486.40000000001,64365.99999999999,70831.79999999997,59260.4,183517.32,69094.08,51162.95999999999,52016.80000000002,543643.2,537045.48,409268.64,413611.6399999998,424789.6,422266.32,435778.5999999999,424240.2,423237.6,642157.76,79473.72,88193.15999999992,119883.08000000006,239916.0,139666.6,180861.68,90354.51999999992,85921.4,102430.39999999997
27,417588.28,349944.5199999998,379363.00000000006,365432.2000000003,431484.56,665451.74,401770.2,458695.00000000023,325083.8,521753.0,51243.74,72861.14,69713.99999999999,80436.59999999998,59730.3,185314.3,80266.84,51469.52,86435.20000000006,572212.1199999996,541495.9400000001,425748.44,425151.6,440728.4,428778.84,444187.92,426543.62,432951.88,757684.9600000004,90922.36,116206.97999999985,123174.56,252824.6,178830.0,178510.36,115526.86,117168.79999999994,109819.2
28,489674.76,403996.6,432666.4000000001,413816.2,502899.56,735234.5599999998,417247.64,492164.84000000026,377242.08,591257.0,68874.55999999995,85843.52000000018,93172.60000000006,89411.19999999998,59382.4,186302.64,105394.28,69546.56000000017,91476.2,678410.72,639534.0,437564.6,432874.76,451162.0,435579.76,514170.16,435116.96,440123.04,877338.6,89751.52000000006,129006.64,127257.80000000002,257297.4,182153.2,183001.88,134199.24,132228.72,115616.19999999988
29,528184.76,433603.28,464447.9000000003,441059.2,571181.9599999997,775729.86,459326.4,557223.5600000003,452119.08,651935.0,93401.76000000002,113641.2799999999,124888.4,105255.92000000004,78076.00000000004,187101.0,134443.80000000002,99015.48,123036.1,825220.2400000003,724318.5599999998,442014.56,438025.88,514885.79999999923,440150.2,538275.88,444812.58,444229.68,1010670.6,128099.83999999998,146332.64,165541.59999999998,275746.8,184025.0,188619.36,149047.56,131475.32,128504.8
30,589169.0,471342.00000000023,528039.0,456039.00000000006,619138.9999999999,845317.2,525918.0000000001,587741.0,479738.8,718456.0,124580.6,124583.4,124790.0,123890.6,98529.0,193011.2,138849.8,124665.6,122056.0,981067.8000000002,830551.7999999998,444216.4,440647.0,579408.0,475654.79999999993,538935.0,502802.79999999976,516583.59999999974,1127528.0,149453.40000000017,153818.8,180242.6,280299.0,202317.0,203507.8,162912.39999999985,171313.0,154193.0
31,634270.84,530289.16,590817.5,494714.12,681753.64,881641.08,561853.6799999999,614701.52,540546.0,776079.0,123990.14,128758.94,127499.8,123204.28,131856.00000000006,194777.86,139820.36,126177.07999999994,124010.70000000008,1104736.36,961021.72,514174.3599999999,448082.2,692491.6,516512.24,593640.4,535958.26,538801.56,1241093.28,164536.87999999998,170830.80000000002,179075.86000000004,279896.1,221150.6,229791.84,186849.3,188012.4,180869.6
