index,156_3_www.icann.org,156_4_www.icann.org,156_5_www.icann.org,156_6_www.icann.org,156_7_www.icann.org,156_8_www.icann.org,156_9_www.icann.org,156_10_www.icann.org,342_1_www.alternate.de,342_2_www.alternate.de
25,8289.080000000009,5035.48,5133.360000000001,4924.360000000001,5189.8,5023.36,7800.119999999999,4910.72,741617.92,514194.07999999996
26,10294.0,4892.0,4778.5,4569.5,5446.0,5409.5,7561.5,4544.0,769594.0,567167.0
27,10160.279999999999,4536.36,4654.52,4445.52,5394.76,5269.24,7290.119999999999,4214.719999999999,858619.12,637667.2000000001
28,9802.26,4403.54,4530.28,4321.28,5151.76,5049.86,6903.82,4292.08,917596.32,715206.0200000003
29,9572.48,4288.920000000001,5321.0399999999945,5112.0399999999945,5093.48,5131.04,6786.359999999999,3963.84,982641.52,800584.5599999999
30,9291.48,5026.719999999996,6558.92,6349.92,5003.4800000000005,4837.040000000001,8700.539999999999,5821.44,1009202.24,862766.7000000001
31,8914.800000000001,7247.399999999997,6422.8,6213.8,4690.400000000001,4547.200000000001,11293.199999999999,6124.8,1016160.7999999999,944823.4
32,8787.720000000001,8578.88,7144.079999999998,6104.0199999999995,4419.96,4451.58,11108.18,5932.92,1049671.0799999998,1040250.7599999999
33,10433.600000000006,8449.12,8577.44,6181.44,4503.12,4417.320000000001,11070.52,5933.88,1090132.5999999999,1105483.96
34,12931.72,8326.86,8654.86,7002.439999999991,4239.96,4262.959999999997,11140.08,6009.72,1106003.84,1147401.76
35,12743.519999999999,8404.28,8683.32,8474.32,5401.959999999997,6121.079999999998,11012.52,7485.240000000002,1158078.44,1157033.96
36,12712.1,8435.800000000001,8563.1,8354.1,6369.400000000001,7979.199999999999,10713.899999999998,8256.6,1214255.9999999998,1181394.7000000002
37,12786.28,8318.76,8422.12,8213.12,6269.08,8620.52,12934.24,8096.5199999999995,1224653.3599999999,1225646.88
38,13560.320000000007,8171.54,8499.539999999999,8290.539999999999,6273.279999999996,8505.78,12742.859999999999,8035.08,1227267.8,1288896.46
39,14093.88,8248.960000000001,8579.84,8370.84,8176.719999999996,8364.64,12717.68,8110.92,1284063.2,1290777.84
40,16335.76,8329.02,8669.02,8321.42,8418.039999999999,8429.42,13341.20000000001,8192.039999999999,1289549.16,1291930.96
41,16141.199999999999,8292.199999999999,8632.199999999999,7919.2,8484.4,8494.199999999999,14841.2,8279.4,1289536.4,1296040.4
42,16122.26,7877.38,8103.9800000000005,7894.9800000000005,8483.44,8464.12,16160.440000000006,8139.96,1293702.96,1302656.22
43,16231.48,7865.760000000002,7993.1999999999925,7784.1999999999925,8376.76,8333.480000000001,16210.48,7622.5199999999995,1295406.64,1300415.56
44,15962.819999999998,7702.800000000001,10021.800000000001,9755.960000000001,8218.48,8223.539999999999,15941.819999999998,7643.800000000001,1305971.68,1315499.8
45,15845.36,9649.199999999997,12001.679999999997,11176.68,8284.84,8288.32,15824.36,9137.79999999999,1310548.52,1329339.24
46,15725.500000000005,11034.400000000001,13632.400000000001,11035.999999999998,8351.199999999999,8353.1,15704.500000000005,11180.79999999999,1310564.0,1329582.6
47,17581.4,12719.919999999996,15123.12,10616.599999999997,8425.24,8426.52,17560.4,13326.239999999994,1323755.68,1355734.28
48,20382.02000000001,14875.84,15038.84,12620.840000000004,8501.68,8160.9400000000005,20361.02000000001,14713.68,1330037.28,1373428.46
49,21094.68000000002,14791.56,14932.0,14181.56,8376.52,7945.76,20113.999999999996,14631.12,1329405.52,1403166.6799999995
