index,132_2_www.debian.org,132_3_www.debian.org,132_4_www.debian.org,132_5_www.debian.org,132_6_www.debian.org,132_7_www.debian.org,132_8_www.debian.org,132_9_www.debian.org,132_10_www.debian.org,153_2_www.icann.org
22,14752.360000000006,22431.58,15278.24,15820.499999999998,15865.6,17115.5,13989.300000000003,15751.420000000011,21623.82,391653.58
23,15613.72,21578.88,15784.48,22603.68,15471.999999999996,22397.0,15795.6,15633.999999999996,21062.32,395892.56
24,16625.20000000001,21085.06,15508.000000000002,21712.18,15677.0,21859.200000000004,15377.400000000003,15547.500000000002,20606.12,410399.8999999999
25,22014.48000000001,20681.72,16184.0,21298.84,22658.0,21483.88,18657.200000000037,22509.0,20101.559999999998,472176.3199999999
26,21819.0,20223.0,22823.0,20703.5,21945.999999999996,20648.5,22561.5,22135.0,22145.5,481295.0
27,21529.16,22226.96,22018.56,20458.12,21625.6,20255.120000000003,21772.2,21660.36,22367.279999999995,510095.96
28,20767.68,22101.18,21740.879999999997,22334.760000000002,20839.8,20886.95999999996,21466.6,21046.46,26669.16,516289.02
29,20468.48,24347.88,21100.76,23495.24,20503.799999999996,26103.640000000003,20734.6,20719.08,26506.96,542594.92
30,20139.64,24209.86,23418.32,24003.579999999998,20144.399999999998,27903.76,20421.199999999997,20421.079999999998,26300.3,599618.6999999997
31,22162.6,26468.8,22892.0,24191.6,20638.0,27927.8,20100.0,22313.2,28584.800000000032,635809.3999999999
32,21954.88,26318.54,22867.920000000002,26461.440000000002,26092.4,27845.900000000005,22268.499999999996,22354.920000000002,32876.96,687485.78
33,23959.44000000001,27064.04,26950.120000000014,29220.4,26625.400000000012,29855.88,22151.8,23123.920000000002,32807.16,710505.9599999998
34,26639.60000000001,29966.29999999999,31567.64,29144.66,27769.999999999996,31895.38,24015.499999999996,28327.839999999997,35579.74,723820.2
35,30661.2,32468.28,31362.88,31522.44,30005.2,31994.56,28157.400000000012,29943.16000000001,35279.56,742920.3999999998
36,30539.8,31738.899999999998,31189.600000000002,31130.4,32366.0,31798.1,29325.5,30201.5,33782.1,798812.5
37,31380.120000000017,31496.96,30883.84,33078.68,33063.0,33872.68,29334.4,30426.640000000014,34992.119999999995,853559.9599999998
38,32743.600000000002,30962.960000000003,30507.36,32903.74,34976.6,35030.42,30699.2,32485.699999999997,35627.08,912462.9
39,32456.92,32437.68,29534.640000000014,34876.799999999996,35058.6,34310.04000000001,30505.2,31903.28,37553.0,945436.2799999994
40,32069.799999999996,34076.03999999999,31607.8,35695.62,34857.200000000004,34967.659999999996,31799.700000000008,32988.20000000002,39518.66000000001,969959.4399999998
41,31506.399999999994,33934.6,31495.8,35020.600000000006,36313.0,33991.8,32973.0,33805.799999999996,39881.0,1028810.7999999996
42,34698.12,34556.36,31467.44,34642.78,35860.6,35927.44,32347.00000000002,34600.38,41121.98,1088921.0799999998
43,34962.92,36364.96,33473.32,33624.560000000005,36618.4,35789.12,35488.4,34010.23999999999,40925.48,1131807.24
44,33731.92,36522.98,34085.84,34228.73999999998,36663.799999999996,35487.42,36048.7,33495.520000000004,42402.03999999999,1154913.0999999999
45,33634.44,35802.880000000005,34890.560000000005,35605.159999999996,36062.799999999996,35990.03999999999,36910.4,34505.84000000001,42335.08,1180306.9999999998
46,34248.200000000004,36043.50000000001,34976.6,39927.899999999994,36131.00000000001,36840.299999999996,36358.5,35368.4,43124.4,1195736.1
47,35285.48000000001,37561.47999999999,35187.32000000001,40721.04,36372.0,37454.72,35428.6,36070.400000000016,45091.28000000002,1218445.0
