,350_1_de.napster.com,350_2_de.napster.com,350_3_de.napster.com,350_4_de.napster.com,350_5_de.napster.com,350_6_de.napster.com,350_7_de.napster.com,350_8_de.napster.com,350_10_de.napster.com,351_1_de.napster.com,351_2_de.napster.com,351_3_de.napster.com,351_4_de.napster.com,351_5_de.napster.com,351_6_de.napster.com,351_7_de.napster.com,351_8_de.napster.com,351_9_de.napster.com,351_10_de.napster.com,352_1_de.napster.com,352_2_de.napster.com,352_3_de.napster.com,352_4_de.napster.com,352_5_de.napster.com,352_6_de.napster.com,352_7_de.napster.com,352_8_de.napster.com,352_9_de.napster.com,352_10_de.napster.com,353_1_de.napster.com,353_2_de.napster.com,353_3_de.napster.com,353_4_de.napster.com,353_5_de.napster.com,353_6_de.napster.com,353_7_de.napster.com,353_8_de.napster.com,353_9_de.napster.com,353_10_de.napster.com
10,657106.2,563288.4,587324.0,572445.0,866921.2,645107.6,526007.0,668330.6000000001,838351.0,180405.4,147583.0,248153.8,183735.8,199013.0,202205.4,250039.0,190433.2,206135.0,196506.8,128263.40000000002,8340.000000000004,57133.6,18113.8,18228.2,174887.0,16286.2,19661.199999999983,17627.6,118695.20000000006,167696.19999999995,27106.6,26477.0,143376.8,15900.4,67694.8,24828.4,109473.6,104037.8,115083.39999999994
11,801666.5599999998,609756.52,594870.0,658712.4,979597.12,717104.52,620484.52,819587.6,919139.48,189098.2,194725.0,245298.82,203765.36,244035.72,264212.6000000001,258359.5,231828.62,258368.72000000003,232621.6,171605.7,13731.179999999995,75020.10000000003,23476.24,23557.36,176940.92,16478.599999999995,26359.46000000001,17859.2,143245.56000000006,180492.96,28886.36,28134.8,180274.24,21878.1,105957.12,23916.92000000001,162887.9,122664.3,146881.51999999993
12,966671.28,723274.72,743246.2000000002,770098.0000000001,1081047.28,775353.08,711186.8,910748.0,1013186.8400000004,241981.6,233649.0,252399.44,243131.24,277832.19999999995,315130.76,299569.99999999994,267299.96,276520.88,250060.72,175582.72,16790.719999999998,85459.44,21916.56,22046.84,179264.36000000004,25917.08,28462.640000000007,23369.680000000004,176550.76,179396.63999999996,33550.08,43017.4,182651.72000000003,26439.64,139061.4,29335.16,180277.68,143869.84,173393.52
13,1087923.1199999996,772647.96,764466.4,904338.5,1163775.52,841744.6,809053.2000000002,1068395.04,1044861.16,245974.38,261804.0,265027.54000000004,263631.8799999999,325666.43999999994,339151.72,321381.1,302215.58,280467.58,261634.84000000003,178936.96,22081.32,113212.58,25340.2,23662.88,183509.6,30629.28,43053.10000000001,21958.24,182296.72,182056.16,59643.27999999999,57842.56,186409.08,33915.72,187904.56000000008,33206.559999999976,179573.24,158945.32,177883.38
14,1127450.24,853478.56,804982.4,1052754.2000000002,1187109.24,901002.16,941699.12,1139509.04,1087965.68,247783.76000000004,264067.0,284252.2,272752.28,334563.84,373504.56,348796.8,325297.72,303924.28,270273.1200000001,180194.52,20879.16,141661.4,27547.04,25795.64,192514.84,29479.36,65380.44,23636.96,185816.92,186559.4,82877.68000000004,78714.96,192886.4,32045.84,187720.84,57055.71999999997,184255.12,190202.2,179197.48
15,1148556.8,879751.7000000002,842808.0,1147687.5,1217673.6,946637.4,1008464.2,1142944.0,1147631.0,252069.5,267209.0,315168.8,289762.2,338065.1,374849.6,381786.0,359219.9,345121.1,297658.0,182374.4,22676.5,158816.19999999998,29649.4,30629.599999999955,207761.0,40569.79999999994,65024.1,26653.999999999996,184925.6,194813.0,87293.59999999999,115749.4000000001,211939.2,33790.9,193517.8,70935.79999999996,186922.50000000003,192068.6,181956.6
16,1164761.72,922916.9599999998,903525.8,1175123.8,1228234.84,991432.4,1030911.2000000004,1182911.2000000002,1192176.2,280314.44,306881.0,358518.96,322268.24,349780.6,378443.48,426388.0,376590.64,378162.24,318341.6,187148.52,24882.72,179818.16,41282.4,46490.6,234516.24,47092.2,74185.76,37879.96,189065.48,222181.76,136559.2400000001,171854.48,251030.76,36059.80000000002,196671.2,81343.44,195075.36,197187.52,184887.52
17,1220570.66,998427.56,975367.8,1211847.7,1285193.8,1092995.44,1105410.6,1223824.28,1264497.16,320505.94,344306.0,391532.9,349909.56,359040.4,383195.3,478909.8999999999,379567.58,385577.36,343555.2,192184.8,26554.72,181528.18,49348.8,58404.16,272019.42000000004,55127.44000000001,102996.91999999988,43207.23999999998,196704.20000000004,249256.52,172263.96,177635.4,302967.48,54485.3,202197.88,117600.84,217891.1,204757.08,186012.1
18,1279399.52,1094173.88,1049310.4,1246596.2,1303263.24,1135753.56,1158522.08,1293479.8,1329352.36,346601.08,375492.0,406008.92,378247.04,375588.8,399047.4,516037.0,386547.48,387162.04,354698.8,194511.08,40228.88000000001,182995.6,58345.12000000003,59135.599999999984,320519.84,67975.64,109781.56,61439.75999999997,199089.04,251329.8,177354.24,179016.68,338211.16,80559.72,227740.0,159875.2,247741.8,257374.68,204585.4
19,1317345.08,1158103.2,1155033.6,1289478.7,1361680.2,1189477.3199999998,1216853.0400000005,1358765.36,1412891.0799999996,401271.66,394407.0,486380.3600000002,386619.76,387698.88,438122.20000000007,552372.4,391238.62,394541.74,369009.96000000014,213921.3,48126.3,183173.2,85925.0,80363.56,378556.58,92518.08,132383.75999999998,80127.76,218062.08000000005,256783.32,180312.28,180006.68000000005,343076.4,89480.28000000004,268956.15999999986,175892.28,277291.4,283158.16000000003,216538.4
