,270_1_www.transfermarkt.de,270_2_www.transfermarkt.de,270_3_www.transfermarkt.de,270_4_www.transfermarkt.de,270_5_www.transfermarkt.de,270_6_www.transfermarkt.de,270_7_www.transfermarkt.de,270_8_www.transfermarkt.de,270_9_www.transfermarkt.de,270_10_www.transfermarkt.de,271_2_www.transfermarkt.de,271_4_www.transfermarkt.de,271_5_www.transfermarkt.de,271_6_www.transfermarkt.de,271_7_www.transfermarkt.de,271_8_www.transfermarkt.de,271_9_www.transfermarkt.de,271_10_www.transfermarkt.de,272_1_www.transfermarkt.de,272_2_www.transfermarkt.de,272_3_www.transfermarkt.de,272_4_www.transfermarkt.de,272_5_www.transfermarkt.de,272_6_www.transfermarkt.de,272_7_www.transfermarkt.de,272_8_www.transfermarkt.de,272_9_www.transfermarkt.de,272_10_www.transfermarkt.de,273_1_www.transfermarkt.de,273_2_www.transfermarkt.de,273_3_www.transfermarkt.de,273_4_www.transfermarkt.de,273_5_www.transfermarkt.de,273_6_www.transfermarkt.de,273_7_www.transfermarkt.de,273_8_www.transfermarkt.de,273_9_www.transfermarkt.de,273_10_www.transfermarkt.de
33,3611087.92,3139261.38,2730666.42,2947678.9,3159257.6,3181632.44,3150313.2800000007,2443057.72,3344348.36,2859868.24,4232228.36,3303909.4,4324792.96,4429854.2,4403302.84,4566546.7,4574869.52,4549311.64,2745280.04,3028416.800000003,2869334.62,2802963.2,2806640.68,2982807.56,2783765.76,2892726.0000000005,3641500.92,2765988.68,3020507.76,3177799.5,3130916.96,3243685.78,3008286.78,3120618.38,2988679.24,3392224.36,3087076.24,2888054.0
34,3666151.68,3160887.84,2783741.1599999988,3010148.8,3184541.6,3377121.76,3354094.1600000006,2503143.24,3412449.16,2899028.4,4250565.88,3339737.4,4345108.76,4442708.56,4417382.12,4665515.2,4591003.84,4586847.36,2786605.96,3075633.600000001,2886894.76,2811824.999999999,2855007.36,3025390.4800000004,2861732.2,3044859.28,3737795.8,2774930.48,3033578.92,3201849.0,3153286.56,3372249.24,3061303.6,3158842.04,3041052.8,3409438.24,3101026.44,2908370.0
35,3689882.4,3207674.7,3131558.399999998,3050424.5,3202706.0,3389968.9999999995,3551528.6,2545142.6,3544281.8000000007,2984662.6,4292773.599999997,3354828.0,4370849.4,4467274.8,4439895.8,4764761.0,4612783.9,4726039.000000001,2796605.6,3107362.0,3001457.2,2856858.0,2938543.4,3104472.6,2883127.3999999976,3076948.0,3784194.0,2793862.3000000007,3149660.2,3249003.5,3276236.3999999994,3420380.4,3080575.1,3189032.3,3071791.8,3453138.2,3109506.2,2933410.0
36,3715280.6,3282738.0800000005,3280681.64,3084072.2,3213927.2,3439713.52,3646353.36,2652970.32,3582334.28,3052126.6,4363066.84,3375376.2,4370232.84,4484632.32,4530626.92,4916712.2,4719550.4,4780505.84,2865606.76,3137845.2,3075722.16,2979915.6,3066035.32,3135538.64,2921812.48,3427187.88,3871909.88,2901270.08,3240789.92,3337030.0,3322034.84,3491326.68,3097619.16,3266093.28,3088471.72,3518810.72,3315311.04,2944083.0
37,3795468.68,3327991.72,3295316.86,3126013.1,3223222.2,3462977.4,3735455.48,2984142.4,3649621.56,3198319.48,4379239.1,3397944.2,4435400.92,4570608.54,4552647.36,4971066.3,4887185.72,4803938.66,2894360.4,3208760.6,3078823.34,2992630.2,3095878.92,3272679.64,3034047.56,3649666.96,3866117.1600000006,2930671.8000000007,3259066.84,3470753.5,3418482.76,3541644.08,3135254.98,3412960.98,3133335.36,3549167.1200000006,3421439.96,2955897.0
38,3804096.32,3345554.16,3304727.12,3177723.999999998,3241648.2,3559181.76,3772339.08,3039594.880000001,3777693.12,3220041.4,4461830.08,3422489.6,4509428.08,4603905.159999996,4670453.36,4985775.000000001,4912166.28,5053479.64,3037715.24,3339124.8,3180675.68,3039311.6,3106289.44,3325762.52,3063538.08,3661680.92,4028856.12,3034460.56,3262695.28,3595758.0,3443000.12,3591345.08,3207778.68,3573654.12,3227207.92,3676491.48,3527050.760000003,2957900.0
39,3977185.92,3364781.72,3330076.28,3310308.9,3261357.4,3589164.28,3785551.92,3075490.36,3796791.32,3307649.08,4716779.399999999,3522257.6,4579758.68,4690781.66,4731518.52,5144280.5,4989501.6,5089532.42,3102176.36,3348652.4,3192973.7,3124716.6,3114293.08,3405759.58,3073076.24,3684735.6,4149818.92,3078400.78,3304152.2,3755131.5,3616469.68,3646570.62,3236711.7800000007,3731595.48,3330403.360000001,3823797.68,3574342.44,3044059.0
40,4008347.4,3389957.8,3604991.2,3331573.0,3297526.0,3617745.0,3957516.2,3153119.600000001,3837210.8,3340237.2,4808020.8,3530152.0,4600747.4,4706458.199999998,4959481.800000007,5165490.0,5015379.2,5118734.0,3117439.2,3475089.0,3308017.2,3137188.0,3129347.8,3434394.0000000005,3168033.2,3809655.6,4194041.8,3093400.2,3356473.0000000014,3764371.0,3638064.6,3699020.800000003,3252442.6,3808147.6,3482640.399999999,3836037.4,3583639.4,3069809.0
41,4212464.479999999,3439529.78,3655923.34,3427818.6,3305546.2,3633977.32,3985283.64,3216982.44,3875014.68,3339750.8,4976292.6,3551421.8,4720663.24,4816241.92,5039959.52,5184926.9,5038152.66,5159384.9,3188500.360000001,4155657.8,3392273.1599999974,3203817.7999999993,3208307.36,3844414.38,3180695.28,4217961.320000004,4371344.68,3104826.02,3373271.6,3841197.5,3830572.9599999986,3732871.4,3323278.24,3820581.8,3845367.36,3843955.72,3606728.28,3089152.0
42,4280272.8,3453356.8000000007,3683739.0399999986,3569681.6,3354987.2,3800732.6400000006,3987290.92,3258076.4800000004,3902477.28,3358337.64,5400390.64,3630190.0,4765779.44,4832701.28,5046477.44,5206071.4,5053734.6,5239822.32,3831472.920000002,4363874.6,3428829.56,3249314.8,3413706.24,3896540.24,3193395.76,4591323.56,4391113.84,3198541.4,3389412.68,3950310.0,3888113.28,3862388.4399999967,3347784.08,3825178.84,4704759.239999998,3864243.16,3735421.24,3122784.0
