,173_1_us.norton.com,173_2_us.norton.com,173_3_us.norton.com,173_4_us.norton.com,173_5_us.norton.com,173_6_us.norton.com,173_7_us.norton.com,173_8_us.norton.com,173_9_us.norton.com,174_1_us.norton.com,174_2_us.norton.com,174_3_us.norton.com,174_4_us.norton.com,174_5_us.norton.com,174_6_us.norton.com,174_7_us.norton.com,174_8_us.norton.com,174_10_us.norton.com,175_1_us.norton.com,175_2_us.norton.com,175_3_us.norton.com,175_4_us.norton.com,175_5_us.norton.com,175_6_us.norton.com,175_7_us.norton.com,175_8_us.norton.com,175_9_us.norton.com,175_10_us.norton.com,176_1_us.norton.com,176_2_us.norton.com,176_3_us.norton.com,176_4_us.norton.com,176_5_us.norton.com,176_6_us.norton.com,176_7_us.norton.com,176_8_us.norton.com,176_9_us.norton.com,176_10_us.norton.com
10,729447.4,672073.0,725006.0,994669.0,723052.2,725852.0,713507.1999999995,653019.0,704038.4,705945.7999999998,784601.5999999999,680440.0,607881.9999999998,646700.0,677767.0,653405.0,558290.0,603655.6,551385.0,543559.0,580985.4,489200.0,479039.2,621968.2000000002,705898.2000000002,502650.2,476687.0,547416.0000000003,659621.0,550178.0,503026.0,514089.0,629149.8,367669.19999999966,453996.0,510743.6,520965.8,477776.8000000001
11,736068.66,726070.44,731820.96,1000220.2,730857.2799999998,731901.0,739758.62,727516.24,769702.16,743652.54,970520.44,776606.2,708234.74,788800.8,928266.9999999992,766133.6,692421.5599999999,649317.9,671512.5999999997,675681.28,753557.96,650375.7999999999,532391.4,696388.1200000001,741183.6799999998,555788.9599999997,500368.04,669099.74,679982.8,704086.0,525242.24,544644.5,785180.48,406138.32,510650.0,530349.3,562086.52,519168.52
12,766747.2000000002,732624.92,808151.96,1057652.0000000002,939413.0400000005,793548.0000000001,820964.48,735324.28,858091.4400000008,770006.48,1088904.080000001,881362.6,794202.72,958867.0,1048014.5999999995,894337.3999999998,883613.32,711935.28,750076.2,739703.1199999999,898486.44,766375.4,595360.8,814680.96,792734.8,748324.6799999996,520347.32,751199.88,706576.2,795424.0,686100.4,658205.0000000001,833806.24,461771.84,519453.0,678568.88,757688.5199999993,554694.64
13,940624.92,794060.1599999998,854058.68,1124647.0,957577.14,911796.7,933209.4399999992,741897.7199999999,973929.76,827727.6599999998,1223177.5200000005,970912.8,874219.58,1217813.4,1158662.7999999998,1062977.6,1120629.92,727005.58,853331.2,867069.9599999998,988929.72,791867.0,687793.9199999999,924367.16,884312.32,904848.42,532205.32,830510.9,746235.0000000001,831132.0,834437.2000000002,716062.8,845236.1599999998,494260.56,540959.6,817954.88,837280.08,684972.5599999996
14,966346.2,908049.24,969612.72,1275469.4,968755.12,974571.8,975388.0,928852.72,987177.32,841942.24,1377494.6,1029232.4,932847.72,1383961.8,1224453.8,1202049.0,1253848.6,763901.28,1003276.2,1002452.48,1022324.76,890680.5999999999,808960.6000000002,1024367.6000000002,946878.6,975167.04,534235.24,877911.76,835127.2,839618.0,845308.24,764694.7999999998,879117.28,519563.12,593670.2,833705.6,846014.48,824305.2
15,978254.9,974408.6,980763.8,1291733.0,987267.8,986276.5,994172.2,970989.7,993689.8,881039.1,1532688.2,1062759.0,967894.0,1491000.5,1348814.0,1329032.0,1427403.8000000003,780245.5,1159144.0,1070653.6,1117737.0,925937.0,914874.4,1169155.8,1028741.2,1054556.3999999994,553398.8,892337.1,878714.0,893959.0,862962.7,767718.0,936426.2,558082.8,703621.0,834603.0,871698.3999999998,837554.8
16,991243.76,985439.08,989668.08,1446167.2,990303.92,991117.2,999569.72,985220.64,1000671.32,939471.88,1592979.32,1073381.4,996656.36,1609900.8,1441256.2,1422494.3999999997,1610156.72,806297.64,1228635.2,1206290.44,1165781.8400000005,939928.8,1075526.96,1221663.24,1090280.32,1279156.92,579320.44,917338.48,952246.0,925787.0,917367.52,805837.8,994654.68,703277.12,812627.5999999999,839557.84,911533.1999999998,847218.04
17,998399.62,991045.4,999224.12,1479548.0,1005104.48,1001896.3,1012764.2,990969.02,1011529.88,994243.86,1658879.8,1113782.4,1033923.92,1744712.6,1561850.9999999998,1572640.8,1796259.3,852561.66,1309617.9999999998,1338841.5199999996,1234407.0800000005,950789.5999999995,1223648.8,1249093.2400000002,1182448.4,1452826.16,595199.7599999998,961114.62,1029086.8,983958.0,942945.24,832585.9,1004579.84,811571.12,841167.3999999998,848455.82,988377.72,943360.96
18,1013510.64,999743.72,1021149.12,1502818.8,1018533.04,1055576.8,1049291.04,999886.04,1056238.36,1058920.4799999995,1796862.4,1135831.8,1095229.4,1904763.0,1696951.6,1673194.399999999,1927633.24,886015.3999999998,1426550.2,1473596.1199999996,1295321.7600000002,1056643.2,1359181.2,1303399.04,1325634.6,1495905.72,663765.56,1023351.44,1082527.2000000004,1000593.0,994148.56,895635.0,1051070.0799999998,837733.16,864780.2000000002,857161.52,996797.52,971030.36
19,1020892.8,1006741.64,1045197.76,1514599.2,1164180.28,1144904.0,1064050.98,1020275.82,1107337.68,1149885.72,1902630.6,1191132.4,1166550.6,2136068.5,1730706.6,1785770.8,2143166.28,930690.22,1483285.4,1586817.8,1359810.08,1208675.6,1472818.6,1365274.12,1468024.8,1499852.02,705046.6,1072244.48,1149575.2,1044026.0,1036101.26,924397.4,1061071.1999999995,844841.08,891226.2,868256.0800000002,1057348.9999999998,990683.48
