,137_1_www.office.com,137_2_www.office.com,137_3_www.office.com,137_4_www.office.com,137_5_www.office.com,137_6_www.office.com,137_7_www.office.com,137_8_www.office.com,137_9_www.office.com,137_10_www.office.com,138_1_www.office.com,138_2_www.office.com,138_3_www.office.com,138_4_www.office.com,138_5_www.office.com,138_6_www.office.com,138_7_www.office.com,138_8_www.office.com,138_9_www.office.com,138_10_www.office.com,139_1_www.office.com,139_2_www.office.com,139_3_www.office.com,139_4_www.office.com,139_5_www.office.com,139_6_www.office.com,139_7_www.office.com,139_8_www.office.com,139_9_www.office.com,139_10_www.office.com,140_1_www.office.com,140_2_www.office.com,140_3_www.office.com,140_5_www.office.com,140_6_www.office.com,140_7_www.office.com,140_8_www.office.com,140_10_www.office.com
33,274236.04,209625.92,208672.14,314266.8,313534.59999999986,365127.88000000006,120409.62,315678.4799999998,404529.04,177586.68,1017469.14,1058008.18,1076573.1999999995,1102263.52,1073648.04,1065608.36,1102919.0,1013771.52,1004540.3600000001,982823.0,79806.0,101932.92000000004,241799.3,236087.6,105439.11999999997,165874.75999999998,74259.0,67982.40000000001,238345.81999999995,149834.24,195439.3,197201.88,183133.2,192239.12,201976.8,194163.96,178926.0,203336.44
34,275514.80000000005,220009.44,241852.6,380888.99999999953,348211.39999999985,385153.92,166813.12000000005,348121.24,404570.92,180176.8,1018377.4,1156223.32,1132995.16,1169625.799999999,1107578.6,1109305.96,1125984.0,1042820.96,1064382.7200000002,1042505.0,84767.0,122188.12000000002,263026.2000000001,237666.44,132104.5599999997,185306.8,74435.0,74165.08,255667.28,173408.67999999982,212062.52,232560.72,182115.4,200204.23999999987,202375.52,214390.96,181515.0,203142.8
35,280206.0,221813.0,289844.6,416180.5,381441.0,388704.9,208119.99999999997,391586.1,410189.2,198933.4,1034761.8,1241991.8,1206802.1,1234159.4,1183154.2000000002,1145054.0,1149267.5,1071264.5,1111402.2,1106508.0,110737.5,137423.00000000006,289668.5,239096.7,170433.49999999994,213353.0,82487.5,74383.2,280070.09999999986,206561.99999999977,229900.0,257919.8,197753.19999999995,236816.5999999999,201898.4,228834.0,217029.0,216385.5999999999
36,278229.88,262078.1200000001,333046.9599999997,422857.2,401317.6,398045.08,222583.4,392788.68,414962.72,234119.80000000005,1070678.04,1282595.3200000005,1275033.96,1294870.4799999995,1239217.64,1211913.5999999996,1171865.0,1092309.9600000002,1118821.64,1134429.0,130556.0,155704.56000000008,317196.80000000016,241021.24,198678.47999999972,243814.12,91357.0,82412.76,318781.6000000001,235724.4,291910.24000000005,256840.8,226902.56,290513.8800000001,200014.92,253207.2,249003.00000000003,259929.4000000001
37,284730.6,293964.24,370819.08,428503.1,402276.2,398860.58,239908.7400000001,398757.54,429909.6,248009.52,1113022.8,1383905.9599999995,1337598.3,1365854.12,1314672.8,1302225.4400000002,1180103.0,1173375.38,1153158.08,1142814.0,165395.5,185138.64000000016,335122.5,279929.52000000025,235678.37999999995,244253.08,123439.0,102737.43999999996,359387.23999999993,235747.2,306586.38,268228.6,249552.59999999983,303868.24,202889.6,256059.0,280399.1,262525.4
38,304972.84,340565.96,386881.88,429306.4,405370.2,418968.0399999999,256892.52,401437.28,444356.16,259286.36000000013,1178249.4799999995,1466727.16,1383705.4,1392392.2,1401130.0000000005,1373730.48,1204828.0,1229375.2,1215249.2,1194637.0,190660.0,206088.64000000004,382794.6,315730.8800000001,235633.8,246251.2,145324.0,128295.83999999994,401034.88,238572.24,308431.08,308456.12,287584.28,305961.2,268673.4799999998,291868.16,293235.8,269872.5999999998
39,348773.5200000002,374413.3999999999,406890.28,433126.7,411213.0,473197.32,260841.18,402198.98,483339.5999999997,271839.2000000001,1219123.4,1505346.7,1451181.3399999996,1445429.6,1462179.1,1432927.6799999997,1256738.5,1289051.48,1271761.0,1259516.0,201641.0,228841.8,407568.3000000001,343420.52,238417.4,276321.43999999994,163120.0,155280.56,440744.2799999999,247008.95999999988,317527.60000000003,311119.84,302559.44,309130.74,307526.44,305339.52,295121.3,312598.84
40,389587.8,395940.4,407863.4,442117.0,412959.0,492170.4,295279.8,407924.4,569402.6,336390.40000000014,1267204.0,1542385.6,1519623.7999999996,1477119.9999999998,1505457.2000000004,1498257.7999999996,1261808.0,1354173.8000000005,1338681.8000000012,1331070.0,222191.0,236107.0,428253.0,368927.00000000006,243391.99999999985,291741.0,191820.0,188870.4,485294.4,264784.7999999999,350383.7999999999,315006.8000000001,305684.59999999986,313551.8,309343.2,307186.4,300439.0,315523.8
41,390807.88,396444.88,408964.74,447977.8,421987.2,519071.88,341303.74,409214.62,595865.88,369268.64,1315012.72,1581565.4,1576345.72,1515603.4,1575700.82,1576077.08,1269268.0,1421861.32,1384723.2,1373569.0,236393.0,237453.32,458478.70000000007,391145.0,274719.11999999994,313408.36,221201.5,220551.27999999985,527189.54,290792.6399999999,391322.1999999998,343605.32,322856.36000000004,314128.55999999994,314427.4,332615.7999999997,336169.0,319640.6
42,394899.64,403034.2,414411.36,472352.3999999999,428432.0,540887.16,346637.12,410407.96,598116.8,396806.16,1382679.0,1600705.64,1576368.32,1553236.4799999997,1602774.84,1605139.36,1304797.0,1531443.44,1471625.64,1452826.0,236540.0,240028.08000000005,488977.0,421179.0,303412.35999999987,323321.4,236000.0,235977.4,528857.64,324278.24,449572.56,353216.75999999983,350249.64,346442.4,357252.2,351776.44000000024,349441.2000000003,347861.12
