,9_1_www.heise.de,9_2_www.heise.de,9_3_www.heise.de,9_4_www.heise.de,9_5_www.heise.de,9_6_www.heise.de,9_7_www.heise.de,9_8_www.heise.de,9_9_www.heise.de,9_10_www.heise.de,10_1_www.heise.de,10_2_www.heise.de,10_3_www.heise.de,10_5_www.heise.de,10_6_www.heise.de,10_7_www.heise.de,10_9_www.heise.de,10_10_www.heise.de,11_1_www.heise.de,11_2_www.heise.de,11_3_www.heise.de,11_4_www.heise.de,11_5_www.heise.de,11_6_www.heise.de,11_7_www.heise.de,11_8_www.heise.de,11_9_www.heise.de,11_10_www.heise.de,12_1_www.heise.de,12_2_www.heise.de,12_3_www.heise.de,12_4_www.heise.de,12_5_www.heise.de,12_6_www.heise.de,12_7_www.heise.de,12_8_www.heise.de,12_9_www.heise.de,12_10_www.heise.de
10,657730.0000000006,749326.2,494012.0,498556.6,446179.0,841520.8,784800.4,1038262.2,565385.8,942767.7999999992,793773.4,974357.8,798604.8,937656.4,1024003.4,922805.5999999995,1022611.4,847795.0,398007.0,574346.0,646155.2,427547.2,546744.4,634432.8,465832.00000000006,581518.2,590465.0,620107.6,427687.0,449137.8,548946.6,391489.2,624993.2,492038.0,608749.0000000001,381675.0,600935.2,566319.0
11,778879.62,857304.22,527568.8,561571.8399999996,461471.0,944222.9599999995,859489.8,1051697.94,707948.2000000002,1048970.28,798801.7399999999,1034662.64,803266.36,953277.46,1029900.02,948757.7,1042776.98,937937.5,424859.0,663322.4,727168.1599999998,502774.6,567227.6,701636.96,544296.94,676425.56,640554.7999999999,715465.7599999999,503657.2,525476.94,566423.92,413938.78,718554.68,504285.2,643279.64,399264.06,609232.32,639380.0800000002
12,829702.3600000001,956569.3600000008,554926.8,624043.8399999997,469608.6,987150.92,1038970.5599999998,1115343.92,757367.9600000002,1059153.6,856964.88,1067655.16,867803.72,958505.56,1062308.76,1004581.44,1094668.08,950790.0,467831.2,725181.2,765830.64,515947.96,731254.8,796699.04,547290.2,754947.48,734252.4,818180.88,534922.6000000004,532660.08,615843.28,475908.72,752966.96,511645.6,727905.32,408729.36,655467.0800000002,730728.88
13,1033639.34,1063175.04,557831.9,649250.44,481644.4000000001,1011020.52,1049737.38,1186270.6,825899.36,1184867.34,856397.02,1122787.72,901874.56,960840.22,1094359.84,1009761.52,1166703.72,955197.5,477737.8,802694.4,870218.72,587315.86,789240.58,898214.44,557176.82,829594.8,818396.3999999998,909988.02,577076.2,576277.4,681533.4,480568.22,834801.36,513047.6,802544.76,472101.6,723694.76,848261.6400000001
14,1050051.96,1162804.24,642691.6,738634.3599999999,509418.0,1086883.28,1124526.84,1260371.24,844327.28,1213169.28,905164.9199999996,1283827.64,972410.76,1005887.36,1191503.1600000004,1014748.92,1421914.28,960846.0,486348.0,866548.8000000002,934308.92,593551.28,862405.6799999998,947169.4,624568.8,878036.64,872833.2,953822.28,613026.6,609878.04,770564.72,483716.56,869696.32,594163.4,869642.4,534184.28,799978.48,866689.16
15,1061141.6,1197277.0,692826.0,853140.2,604211.0,1100089.6,1190864.6,1277614.4,870782.8000000005,1278223.2,920121.1,1433569.0,1025393.6,1031566.5,1390794.7,1016912.1,1435389.2,962514.5,507469.0,938724.0,970487.9999999992,621521.1,925220.6,961597.0,668240.7,911428.5,938985.5,967190.8,631788.0,653007.1,824994.0,550218.2,883742.9999999999,615852.0,887661.1,538845.1,864110.2000000002,907066.4
16,1120315.68,1271566.08,753933.3999999998,991422.1199999995,712800.2,1280125.28,1211015.16,1302894.76,1058585.12,1290272.48,936151.88,1516113.24,1029543.92,1063938.76,1494022.4,1024207.4,1519628.4,1026579.0,509566.8,976938.8,991681.48,683643.6,943342.8,992936.52,731602.6,974240.92,943595.2,994697.76,722260.2,720504.8,872599.6,564534.84,918442.08,637115.0,921907.68,541866.84,885777.12,918641.44
17,1236725.38,1281410.12,783498.9999999999,1092935.76,769608.6000000002,1318788.88,1270861.86,1326717.72,1152428.36,1353962.32,985732.3999999998,1541041.08,1034919.88,1107429.6,1516105.08,1046294.98,1546155.7,1048278.5,528848.6,984059.8,1000040.36,731013.64,982935.82,1006725.64,812151.4,990699.22,954042.1,1010960.84,759050.6,728805.7,901466.6,587028.06,927751.64,751655.6,931497.52,544804.82,898975.44,934752.64
18,1264227.96,1295173.8,922570.0,1104005.56,786806.9999999997,1319947.64,1280280.76,1385555.2,1217294.72,1373624.24,1027266.96,1605404.5200000012,1057346.32,1157940.36,1540118.92,1103017.76,1621499.32,1059755.0,595814.6000000004,997147.2,1011622.28,781959.8000000002,993106.8,1013771.56,820774.52,1001382.28,982264.8,1012043.52,807295.8000000002,790997.72,922945.44,593317.7200000004,935022.04,805603.7999999998,970850.68,612591.92,930338.36,981535.1199999995
19,1273059.14,1352989.78,1012899.0,1105205.32,842754.2000000002,1337139.16,1296075.94,1392587.44,1232334.72,1374303.86,1047075.18,1620420.84,1060938.7999999998,1389472.44,1608333.94,1119230.96,1627024.56,1114322.5,668365.2,1004920.2,1015280.68,846791.6,1002592.76,1027039.52,875100.66,1010904.28,1012103.3,1068837.8199999998,842139.3999999998,797851.82,931803.76,683829.2,942258.72,812074.8,984518.02,677516.66,938832.2,1020935.32
