,318_1_derbiokoch.de,318_2_derbiokoch.de,318_3_derbiokoch.de,318_4_derbiokoch.de,318_5_derbiokoch.de,318_6_derbiokoch.de,318_7_derbiokoch.de,318_8_derbiokoch.de,318_9_derbiokoch.de,318_10_derbiokoch.de,319_1_derbiokoch.de,319_2_derbiokoch.de,319_3_derbiokoch.de,319_4_derbiokoch.de,319_5_derbiokoch.de,319_6_derbiokoch.de,319_7_derbiokoch.de,319_8_derbiokoch.de,319_9_derbiokoch.de,319_10_derbiokoch.de,320_1_derbiokoch.de,320_2_derbiokoch.de,320_3_derbiokoch.de,320_4_derbiokoch.de,320_5_derbiokoch.de,320_6_derbiokoch.de,320_7_derbiokoch.de,320_8_derbiokoch.de,320_9_derbiokoch.de,320_10_derbiokoch.de,321_1_derbiokoch.de,321_2_derbiokoch.de,321_3_derbiokoch.de,321_4_derbiokoch.de,321_5_derbiokoch.de,321_6_derbiokoch.de,321_7_derbiokoch.de,321_8_derbiokoch.de,321_9_derbiokoch.de,321_10_derbiokoch.de
10,58834.6,54070.0,55535.0,64272.0,59419.4,54310.4,60838.6,59520.2,44272.2,55360.6,41520.2,41753.6,87941.19999999997,44531.00000000001,48599.0,53349.4,44479.00000000001,48426.0,45880.8,41759.0,47370.4,42447.8,40895.39999999998,48689.8,36959.0,57452.6,34524.4,135804.40000000002,35219.599999999984,36575.2,74508.6,59042.0,75381.2,54308.99999999996,39628.0,39412.0,56788.0,51680.0,185550.4,97341.19999999994
11,66668.56,63735.0,60073.54,100987.2,68193.24,55363.72,61305.24,58087.62,57831.63999999999,59861.60000000001,43355.48,54467.66,95637.7,72533.31999999999,55143.43999999998,123106.2,77854.12,68525.0,50104.72,40229.0,82466.79999999999,98071.92,44126.86,50647.72,36782.7,92838.31999999998,53584.72000000006,199974.64,44132.04,35086.619999999995,156695.80000000002,58278.6,101793.32000000004,76637.92000000003,44932.60000000001,54744.99999999998,72289.2,56119.88,206771.18,121130.7
12,104737.24000000003,71697.0,62102.80000000001,120191.2,69085.84,69701.24,62693.88,66687.92,70778.79999999999,63961.52,65129.60000000001,81632.68,138985.08,115843.23999999989,85669.95999999985,182506.68,91773.12,70409.0,58587.2,44325.2,89528.12000000002,129735.95999999995,67187.48,70830.8,71951.40000000001,143149.08,87563.28,205976.6,49479.4,36433.88,204967.88,98070.8,191417.52,115468.72,47856.2,56452.4,134735.39999999985,93130.76000000011,212598.76,130356.84
13,161421.32,75661.0,69736.52,120869.3,100543.4800000002,103086.48000000008,65788.84,97052.6,130546.2,118807.15999999995,74882.92,106577.67999999996,171295.52,189589.2,107145.16,211288.86,94952.64,154868.0,92515.20000000016,46256.2,134177.80000000002,183466.40000000005,131281.8,117994.4,126314.84,209426.4,91651.92,211756.12,51589.6,53606.1,214224.48,130515.20000000006,205067.16,159908.1,60181.8,74280.99999999999,161096.4,132080.98000000007,215190.28,133360.68
14,185823.60000000012,105143.0,102986.91999999998,121671.0,176453.04000000004,155991.95999999993,71074.04,100371.12,169906.3199999999,156740.44,73794.8,124297.96000000002,191846.28,204121.8,147975.15999999995,219723.28,120273.6,185672.0,149401.88,50335.6,158598.32,207051.6,176611.24,165286.92000000025,171518.20000000013,217022.04,92793.32,217900.28,67213.83999999997,58056.36,212983.84,203626.6,212868.28000000003,180211.52,69474.60000000003,111169.79999999973,209591.8,182677.4,244115.44,146818.6
15,219000.2,135478.0,171746.0000000001,131132.0,219507.0,191359.2,115440.6,121407.3,203127.79999999996,180293.8,129289.39999999985,160803.50000000006,227294.3,219979.2,161137.4,220879.6,132225.8,219649.0,214310.60000000012,79639.0,167472.3,211271.2,209929.7,212320.00000000003,202709.9,217811.7,107564.4,219826.2,119570.0,73084.20000000004,214949.4,207047.0,215309.1,207556.0,88238.0,169152.0,213864.0,210226.9,246631.3,185789.3
16,259938.36,179645.0,217755.72,216480.8,224495.16,220582.36,189706.83999999997,174522.0800000001,212941.08,199906.64,167087.63999999998,208493.2400000001,230066.48,220694.08,159787.32,221803.04,174716.87999999998,230332.0,221574.2,89804.19999999992,220716.27999999985,211127.48,209539.04,218024.36,207651.16,245492.8,107807.28,237164.96,157900.43999999994,102533.36,242449.84000000003,210147.8,215089.24,212046.84,122845.4,197430.19999999995,214282.8,211747.92,247444.68,185203.44
17,263130.88,183104.0,219490.52,219957.1,224373.72,249366.48,219310.04,205600.24,222186.04,220563.76,205024.88,234174.82,253262.1,240532.8,197632.76,250914.76,237288.44,230132.0,225824.48000000004,115638.8,245157.02,227855.76,210004.32,219129.32,211602.24,259466.68,113239.7,251079.84,201837.72,104461.12000000016,246454.12,211344.00000000003,245691.22,214472.34,195199.0,232830.8,215894.2,213445.24,281870.3,211399.00000000003
18,265020.4,193619.0,251262.44000000012,257815.2,245652.6,253980.24000000005,220257.52,223786.6,252137.16,234651.08,226745.52,233685.36,266433.24,253116.84,227190.68,257949.52,256373.12,260113.0,252252.56,131871.99999999994,246087.0,252016.32,227301.44,231680.4,210589.72,260478.92,120966.88,259318.72,210194.36,135441.48000000019,254179.28,211956.2,247091.36,232514.36,215017.00000000003,244661.2,218523.6,214893.32,288611.92,241538.15999999997
19,270650.84,229633.0,260992.32,263667.1,267842.80000000005,270202.84,252665.83999999997,237567.14,266785.92,263894.1,228030.16,250288.5600000001,269963.94,258028.92,255353.04,260919.5,267882.04000000004,262072.0,254134.88,136563.2,249244.4,255012.0,237546.74,240223.88,224458.51999999996,269452.73999999993,150247.54000000007,263532.3200000001,209980.08,186894.00000000003,261596.16000000012,216053.4,250473.02,244620.06,217547.6,243781.8,236795.2,240558.96,287985.64,248500.02
