,126_1_www.oracle.com,126_2_www.oracle.com,126_3_www.oracle.com,126_4_www.oracle.com,126_5_www.oracle.com,126_6_www.oracle.com,126_7_www.oracle.com,126_8_www.oracle.com,126_9_www.oracle.com,126_10_www.oracle.com,127_1_www.oracle.com,127_2_www.oracle.com,127_3_www.oracle.com,127_4_www.oracle.com,127_5_www.oracle.com,127_6_www.oracle.com,127_7_www.oracle.com,127_8_www.oracle.com,127_9_www.oracle.com,127_10_www.oracle.com,128_1_www.oracle.com,128_2_www.oracle.com,128_3_www.oracle.com,128_4_www.oracle.com,128_5_www.oracle.com,128_6_www.oracle.com,128_7_www.oracle.com,128_8_www.oracle.com,128_9_www.oracle.com,129_1_www.oracle.com,129_2_www.oracle.com,129_3_www.oracle.com,129_4_www.oracle.com,129_5_www.oracle.com,129_6_www.oracle.com,129_7_www.oracle.com,129_8_www.oracle.com,129_9_www.oracle.com,129_10_www.oracle.com
10,176273.19999999995,223469.4,283539.4,216758.0,223100.0,239608.2,193850.0,231798.00000000012,250680.4,219317.4,218851.0,475258.2,218210.2,218391.2,490979.0,221247.6,201732.39999999997,654505.0,174703.4,177643.6,579615.0,540946.4,524194.5999999999,620551.0,437569.4,563644.7999999998,576059.8,559500.4,453396.6,232251.4000000001,408112.0,572593.0,402832.0,406123.6,496400.8000000001,257354.60000000012,402204.2,476442.0,415305.4
11,218098.76,252635.88,287739.76,233309.5,245632.0,269534.92000000004,231595.0,253218.54,286120.76,231090.52,230239.2,644656.9199999999,231006.48,229683.4,627950.6000000003,232524.6,214939.98,673565.14,189832.4,222899.64,626663.52,563769.6,565937.96,625558.6,500735.22,577459.0599999999,592683.48,569775.6,501735.8,280527.48000000004,415805.0,625212.8,424385.16,413192.16,627480.2000000001,353541.76000000007,412252.52,551059.0,423597.68
12,225035.32,286627.6,322747.56,282614.0,267206.0,285949.28,254131.0,286811.72,290025.04,266184.68,312117.6000000004,678997.64,272661.64,297597.08,701755.2000000001,396563.32,226296.6,690582.32,225038.64,225975.84,633074.16,594572.84,575787.4,696592.7999999999,562595.16,622845.48,632798.32,585522.88,569405.6,308271.2,465927.6,670618.0000000003,445238.72,435545.96,670475.8,413826.12,422749.92,663890.2,466324.48
13,253498.76,289190.16,396136.92,287934.5,293595.0,291370.56,292398.0,322879.03999999986,388945.28,294598.88,430469.8000000001,703393.8,339208.8,380772.04,726711.4,473308.56,368162.0800000001,839436.2000000002,232290.76000000004,244619.60000000003,664585.4800000001,618722.36,585969.84,764579.7,571648.8,625905.52,636145.28,625239.56,582687.5999999997,344899.52,468854.8,734901.4,467740.36,467533.28,788333.2799999998,425159.68,467553.08,751571.6,523846.04
14,278751.1999999998,350092.6,506230.76,289736.0,296307.0,324276.60000000003,295565.0,403515.2,506397.24,356196.48,472233.00000000006,725610.48,453093.32,434227.92000000033,861824.4000000006,519010.72,462993.72,999577.28,327388.31999999995,382327.16,705577.8,624931.88,618714.76,774178.6000000002,583231.52,628740.12,741492.1599999998,628543.24,629615.08,359660.64,536148.2,808405.8000000003,468586.84,470167.44,860705.16,436272.96,470583.32,856063.7999999998,535306.12
15,295934.4,394673.2,528282.7999999999,355283.0,343927.0,433391.40000000026,340777.0,498198.00000000006,536688.0000000001,421540.0,562786.0,800846.2,494287.40000000026,498914.20000000024,1075633.0,616309.2,524775.7999999999,1054555.2,466859.00000000006,474690.4,794562.2000000002,633602.0,634845.4,815352.0,598379.0,641919.3,788437.9999999994,630950.6,634423.6,412889.20000000007,570384.9999999999,897799.0,539390.4,502453.2,874058.3,476198.2,513899.00000000023,875630.0,640471.3999999999
16,302976.8,503095.76,584466.44,458598.0,433319.0,528938.88,451099.0,528707.24,575639.4,508185.16,633229.4,969481.2,581522.56,659533.44,1092650.0,660539.32,665269.32,1089144.48,523136.88,574294.7999999999,830622.16,658933.32,635797.2,829956.8,633551.92,679006.64,822711.52,667766.16,641014.96,440739.16,628996.0,918300.0,648526.4,586879.56,899255.5599999998,479167.68,580510.44,927446.4,663180.96
17,449369.4,529166.84,649810.7599999997,527208.0,498820.0,573561.3,534218.5,572304.6,722639.62,536624.44,668357.2,1071818.8,672581.16,676069.6,1155090.2000000002,680003.04,670919.58,1101303.34,602770.8399999997,632943.2,851233.1600000001,674869.6,706846.5599999998,834580.1,639106.34,702307.68,832058.08,797616.68,644575.62,482817.88000000006,642270.2,963505.0,658054.88,630803.36,963118.94,534132.7200000001,605596.8,969058.3,715012.3200000002
18,522632.32,604628.1600000003,738344.84,529188.0,535632.0,659795.5599999998,578752.0,709960.1199999995,740944.3200000002,625551.48,697923.4,1114631.84,688718.2,699321.28,1161441.0,689414.8,685737.68,1136995.24,679225.24,677132.68,952686.36,756462.96,766225.96,844687.0,640289.8,710310.7199999999,868892.5199999998,821948.92,693662.72,547235.32,659043.0,981007.4,751674.28,671789.92,977732.32,625809.8800000001,618838.2000000001,982613.6,767788.4399999998
19,539188.06,735858.16,769660.3199999995,603873.0,553648.0,738414.4400000002,634941.0,732887.2000000002,887072.8400000002,669203.68,706418.3999999998,1155646.16,696748.4,715256.04,1196395.4,699431.92,695380.48,1157221.3,684407.6000000001,679840.28,992062.76,773636.32,792756.7999999998,923965.0,740957.6000000004,720223.3,904544.32,825128.96,803907.36,551551.08,692986.3999999998,1011335.2,858723.52,688386.1199999999,991078.88,665322.44,638362.8,1001871.0,861089.72
