,310_1_www.bild.de,310_3_www.bild.de,310_4_www.bild.de,310_5_www.bild.de,310_6_www.bild.de,310_7_www.bild.de,310_8_www.bild.de,310_9_www.bild.de,310_10_www.bild.de,311_1_www.bild.de,311_2_www.bild.de,311_3_www.bild.de,311_4_www.bild.de,311_5_www.bild.de,311_6_www.bild.de,311_7_www.bild.de,311_8_www.bild.de,311_9_www.bild.de,311_10_www.bild.de,312_1_www.bild.de,312_2_www.bild.de,312_3_www.bild.de,312_4_www.bild.de,312_5_www.bild.de,312_6_www.bild.de,312_7_www.bild.de,312_8_www.bild.de,312_9_www.bild.de,313_1_www.bild.de,313_2_www.bild.de,313_3_www.bild.de,313_4_www.bild.de,313_5_www.bild.de,313_6_www.bild.de,313_7_www.bild.de,313_8_www.bild.de,313_9_www.bild.de,313_10_www.bild.de
11,1959608.72,2074224.84,1109333.8,1590032.0799999991,2024668.96,1880979.7,2128032.24,1076867.32,2293900.86,677102.72,513170.32,651115.9,576314.04,617584.2,738397.46,647696.1999999997,708324.8000000002,705005.8,705485.8,1116931.5,1150505.3,1201424.1000000006,1290775.7,1267052.14,1219445.96,1283185.56,1242844.6,1100482.08,397860.72,377574.0,391369.34,318960.96,396527.56,387776.44,397820.64,382511.28,392741.24,398463.82
12,2082217.96,2221935.96,1389999.88,1894645.28,2248903.12,2097949.0800000005,2282779.36,1211055.88,2397762.28,684409.4,658672.76,717324.5999999999,591167.2,668723.52,749618.8,718785.4,762073.0000000001,733543.6000000002,693878.64,1240992.4,1211798.0000000005,1305875.2,1354961.0,1292947.36,1313971.4799999995,1367880.0799999998,1318960.24,1241473.92,401854.8,390281.8,400782.08,362499.2,402183.68,391415.32,401451.12,390121.24,398853.44,406901.92
13,2207061.04,2390205.16,1719360.7199999997,2115911.600000001,2336105.56,2305549.38,2422393.38,1438210.3200000003,2527500.96,754782.22,666980.0800000001,776187.1,644514.7599999993,752276.64,837847.5599999998,770715.4,801495.9,780229.9999999999,783193.5000000001,1379953.2,1355082.2000000002,1433349.6,1369669.4,1353026.6400000004,1445353.6000000003,1490549.76,1411559.32,1376872.6799999995,409316.76,393615.8,409454.22,398810.88,413738.36,394475.52,413146.20000000007,396570.28,406131.34,413990.26
14,2361245.92,2524846.4,2036115.3200000003,2294326.24,2461706.36,2426222.32,2540576.7999999984,1675904.96,2611816.16,788129.36,673676.88,776761.6000000004,830763.96,817652.56,845166.84,925924.28,944805.4,903595.2,917013.0399999996,1510387.0,1497091.0,1482511.2,1629139.8,1407060.68,1644800.56,1627834.52,1556709.0800000003,1489465.68,419944.6,399298.4000000001,412534.68,405222.04,425774.44,404466.76,424119.68000000005,405528.84,423603.96,419006.12
15,2441808.2,2621435.8000000003,2208444.8000000007,2410319.3,2518055.4,2545617.0,2676256.1,1786269.2000000004,2643509.2,877135.1,695768.4,880575.0,910751.5,836664.4,989369.9,927987.0,972199.5,975255.5,945345.1,1595829.5,1588922.0,1533431.5,1702796.0,1620614.7999999996,1675662.4,1704051.2,1712825.3,1515492.0,472079.0,408172.0,438019.6,406181.4,441042.4,412504.4000000001,439553.0,427386.2,502144.7,423547.6
16,2618586.24,2706563.12,2351651.04,2484707.88,2687460.12,2625145.96,2721669.36,2069104.1200000003,2745071.6,948937.04,760079.12,941320.4,924257.84,968149.32,1036696.9600000002,950414.72,991462.4,989934.4,961932.16,1723332.0,1703699.8000000003,1569949.0000000002,1770493.4,1682486.92,1756813.64,1730518.88,1731096.32,1588969.9199999997,474967.96,420812.4,442229.88,409891.04,490509.12,414092.76,446540.0,431626.4,504837.08,441964.16
17,2671635.88,2739535.36,2382533.48,2567188.94,2742554.96,2698048.56,2794871.4799999995,2284102.8800000004,2826238.12,1012548.32,862429.7999999998,967866.1,942976.16,998469.96,1084750.82,983017.16,1019281.2,1015097.6,984942.2,1843284.7,1801697.8000000003,1585283.1,1839249.0,1766427.98,1778976.2000000004,1793295.84,1775814.16,1633328.7999999996,485744.04,430660.20000000007,490320.58,430102.92,496286.36,416734.4,464578.92,431959.64,510374.06,457427.58
18,2721893.08,2777521.56,2473144.08,2623766.56,2828546.24,2723989.32,2872243.32,2595186.48,2846725.92,1090354.24,879051.1999999998,1073954.2,1066211.52,1065231.36,1102489.88,1043675.1999999998,1051727.2,1076528.6,1053707.52,1858854.4,1863018.8,1632453.2,1856666.8,1792372.2,1817458.48,1849889.28,1800591.76,1665152.92,525225.52,456617.6,528163.9199999999,438409.72,518732.6,437314.4,468394.16,436616.44,519786.36,506832.44
19,2771041.2,2827312.64,2497786.48,2665559.38,2895020.88,2755023.92,2906317.06,2752074.72,2899919.7,1203848.2400000002,948888.12,1127028.1,1104731.86,1111883.72,1174513.34,1115509.68,1103747.5,1095532.4999999998,1152588.5199999986,1910289.9999999998,1908658.1,1698789.9,1951345.0,1877851.76,1940739.8,1929153.24,1915313.0,1742432.88,544913.1599999998,471814.6,546487.42,472391.2799999999,648457.16,484021.84,502996.32,477724.12,526416.46,515212.38
20,2820666.0,2870375.400000001,2516940.2,2709992.6,2998398.8,2799056.6,3005454.2,2898714.4000000013,2979835.8,1215069.6,967715.4,1229052.0,1220655.8,1223372.4,1231917.6000000006,1208559.2,1222344.0,1176155.0,1219031.8,1951716.0,1965997.0,1767040.0,1986473.0,1946163.4,1959724.4,1949721.8,1990849.6,1810091.2,556161.6,531555.0,574776.4,490779.4,664533.6,490180.2,513030.4,495493.2,647296.6,524414.6
21,2891946.2,2897472.32,2746835.12,2733394.48,3111471.9999999995,2849234.22,3013947.8,2936158.72,3041951.74,1227067.48,980909.76,1239869.9,1222974.56,1237526.88,1249595.86,1220238.2,1232398.3,1222526.1,1233222.96,2062963.7,2014115.1,1853351.9,2084246.8,2012223.94,2122422.36,2048417.24,2018127.78,1869698.92,672090.84,535108.8,670008.26,523992.9599999999,675226.84,503115.08,528074.72,500395.04,651308.18,531749.42
22,2974033.92,3002082.76,2898706.32,2768295.84,3184138.72,2887110.84,3074611.04,2948955.84,3128788.08,1255245.12,1081839.52,1256212.5999999996,1241760.64,1259943.84,1279723.36,1245739.44,1249760.6,1243572.4,1264197.68,2107495.6,2033281.2,1983610.4,2190835.8,2028044.44,2146455.4000000004,2171316.04,2063665.64,2002515.96,683232.24,542100.8,677459.08,539665.68,678252.92,508054.92,534334.7999999999,506860.32,661244.68,572599.64
23,3016398.28,3112737.4,3071280.6,2824685.7999999993,3234609.76,2972624.2400000007,3088044.58,2972414.0399999986,3166504.6000000006,1354406.32,1093158.92,1327733.8,1272655.62,1287572.24,1325251.4000000004,1252902.1999999995,1292735.3,1275753.8,1287034.72,2233613.9,2214955.2,2008819.7,2209704.4,2076581.48,2204037.92,2192159.52,2192962.34,2020230.64,697602.6,577258.8000000003,680993.5600000003,560862.12,693971.04,517294.32,575762.76,520173.84,677535.0599999999,588654.34
24,3083916.52,3173475.92,3202707.08,2896925.56,3252328.36,3096503.400000001,3121855.16,3003367.28,3322340.04,1376851.96,1118331.7999999998,1320408.4,1315365.56,1336530.44,1346022.0,1300509.28,1321722.4,1302141.4,1326011.88,2244702.2,2250665.0,2116921.0,2246409.8,2231275.24,2244714.96,2212332.3200000003,2228536.08,2142816.4,698818.48,664674.6000000003,682651.08,658604.48,707883.72,531393.04,620626.6000000001,552596.64,680046.32,699243.84
