index,49_1_www.instagram.com,49_2_www.instagram.com,49_3_www.instagram.com,49_4_www.instagram.com,49_5_www.instagram.com,49_6_www.instagram.com,49_7_www.instagram.com,49_8_www.instagram.com,49_9_www.instagram.com,49_10_www.instagram.com
30,1179006.4400000002,763694.2000000004,478489.5,472498.7199999996,792623.62,701943.1200000005,402146.44000000024,518290.91999999987,922611.4,567353.4
31,1252755.4000000001,811157.8000000002,561079.6,586067.3999999997,795141.6000000001,774966.8000000002,462556.4000000001,614583.0,1004885.0,629459.6000000001
32,1279864.64,904882.7800000007,652997.1600000001,681178.5400000002,841319.36,863845.8400000001,568874.2800000004,641551.04,1035124.3200000001,704973.2800000001
33,1284361.72,929288.4,734092.96,761674.2,907923.4400000001,953400.7200000001,661213.1600000003,670069.88,1069371.9200000002,787883.52
34,1286819.56,944050.24,790115.5199999999,804201.4399999992,967426.5600000008,1005407.04,744583.8,730197.72,1070386.92,818564.2000000001
35,1321933.2800000003,1015384.84,860121.1600000003,857742.5999999997,1001498.04,1060732.32,764654.9200000004,780410.0000000002,1073699.48,940574.24
36,1323860.3,1073024.7,925528.2,920887.9999999999,1075390.6,1074445.6,859208.8000000002,828595.8,1078595.4,1024844.1999999998
37,1322986.92,1074345.92,974375.8,973340.9199999999,1088137.68,1075912.76,920551.6800000005,861385.2799999999,1079977.16,1049682.1199999996
38,1328902.02,1076108.48,1047966.6000000001,1024273.0999999996,1094581.64,1075208.92,981495.4399999998,924134.6,1078815.72,1083714.38
39,1332751.92,1076309.28,1062982.4,1080632.36,1129712.6800000002,1086000.08,1078336.68,967134.24,1105749.6,1085170.44
40,1335012.26,1082652.7400000002,1075971.74,1084480.1,1163613.2600000002,1099556.6,1079875.88,1019650.7200000001,1206422.32,1084107.3
41,1337205.4,1084178.6,1077544.0,1087624.2,1210825.0,1130892.6,1081313.8,1075065.4,1273527.2000000004,1100675.0
42,1335460.8,1083274.36,1077410.24,1091571.48,1287088.3599999999,1188248.36,1082755.72,1076687.98,1280936.36,1129128.4
43,1338126.32,1124902.32,1078876.68,1091829.76,1291539.36,1271351.1600000004,1085488.16,1075279.36,1282900.16,1258297.24
44,1340316.28,1160145.52,1077965.72,1106140.4,1292567.62,1276342.52,1091339.6000000003,1074237.96,1320006.92,1285560.54
45,1342483.2,1208196.24,1077059.84,1124826.72,1331036.56,1279530.52,1121231.12,1106100.92,1320329.72,1285527.88
46,1344629.0,1275303.1,1131292.2000000002,1150758.6,1334917.0,1280402.4,1120327.6,1129717.4,1321077.8,1291832.4
47,1346814.64,1284605.64,1218089.0399999996,1276814.3599999999,1335620.12,1284472.4000000001,1138321.8800000004,1145913.32,1321202.1600000001,1290736.28
48,1349074.98,1286681.4000000001,1278077.58,1292747.14,1341628.8,1317124.48,1192820.92,1204358.5599999998,1326544.6,1327892.32
49,1351335.32,1292612.08,1280551.64,1295510.44,1343590.24,1317414.64,1228569.8800000001,1245492.32,1329670.08,1332197.36
50,1353595.66,1291780.46,1298520.42,1299795.5999999996,1345752.62,1315978.16,1309285.1200000006,1297518.24,1330274.16,1327761.98
