index,209_1_www.playstation.com,209_2_www.playstation.com,209_3_www.playstation.com,209_4_www.playstation.com,209_5_www.playstation.com,209_6_www.playstation.com,209_7_www.playstation.com,209_8_www.playstation.com,209_9_www.playstation.com,209_10_www.playstation.com,210_1_www.playstation.com,210_2_www.playstation.com,210_3_www.playstation.com,210_4_www.playstation.com,210_5_www.playstation.com,210_6_www.playstation.com,210_7_www.playstation.com,210_8_www.playstation.com,210_9_www.playstation.com,210_10_www.playstation.com,211_1_www.playstation.com,211_2_www.playstation.com,211_3_www.playstation.com,211_4_www.playstation.com,211_5_www.playstation.com,211_6_www.playstation.com,211_7_www.playstation.com,211_8_www.playstation.com,211_9_www.playstation.com,211_10_www.playstation.com,212_1_www.playstation.com,212_2_www.playstation.com,212_3_www.playstation.com,212_4_www.playstation.com,212_5_www.playstation.com,212_6_www.playstation.com,212_7_www.playstation.com,212_8_www.playstation.com,212_9_www.playstation.com,212_10_www.playstation.com
15,3189855.0400000005,2176416.600000002,1954685.8,2425023.7200000007,1915354.080000001,2192292.4,1933574.6,1734692.2,2370280.2399999993,1034536.5999999997,5214.76,5521.839999999999,5988.68,9465.399999999994,4966.4,3872.8399999999997,11037.840000000004,6411.6399999999985,8161.12,8632.800000000001,6249529.479999999,6219433.4,6063199.12,5394638.680000002,5267236.08,6234975.0,7529677.6,7005343.68,6461728.24,6630568.0,7584285.199999998,8114384.2,7241162.5200000005,9210315.8,9133528.24,8349538.44,8444327.24,8431639.0,8589623.84,2980163.36
16,3477928.8000000007,2603392.4000000004,2214090.0,2930015.0,2282527.0,2410092.5,2038419.0,1901246.0,2690236.5999999996,1229038.0,4946.200000000001,5289.3,8138.000000000001,10205.6,5093.0,4131.9,12626.6,8697.6,8369.8,7933.5,6899801.399999999,6654749.600000001,6673289.5,5726846.8,5672694.2,6886974.5,8216896.0,7664307.8,7103746.2,7289220.0,8462863.0,8889288.0,8004028.800000003,10080243.0,9968639.999999998,9226364.9,9293672.600000001,9067932.0,9633673.8,3364301.199999999
17,3570546.92,2940978.920000001,2434277.8,3097958.24,2609384.8,2648447.0,2185115.68,2053497.6,3042638.04,1323080.4,4620.44,4840.96,8058.92,10484.64,5297.4,5435.119999999999,13151.92,8484.800000000001,7767.5199999999995,12616.400000000012,7634074.6,7087459.640000001,7273568.079999999,6262298.76,6516338.640000001,7590938.0,8503142.600000001,8287612.96,7689706.0,7880817.0,9259901.599999998,9587852.6,8772750.760000002,10695350.0,10609380.639999999,10182746.719999999,9979886.72,9863853.0,10526213.16,3883400.76
18,3877177.1199999996,3275864.64,2748191.0,3259052.68,2907808.6,2731694.7,2403512.44,2319302.2000000007,3404058.52,1346501.4,4780.519999999998,4679.14,7781.3600000000015,11937.239999999994,5285.2,5533.42,14930.72,8594.92,11209.800000000007,19794.8,8259786.0,7254786.64,7883596.959999997,6483343.280000002,7583174.56,8285964.0,9089508.800000003,8745839.44,8335151.56,8408279.0,10060761.2,10416425.0,9637083.12,11168161.2,11108876.72,11122086.58,10825294.88,10548370.400000002,11371225.52,4470290.8
19,4321877.6,3598339.16,3052650.199999999,3385199.96,3128284.76,2849647.1999999997,2679019.0800000005,2556558.4000000004,3648029.64,1468196.8000000003,8542.079999999998,5308.040000000003,9791.44,13027.320000000002,4949.8,5234.76,14521.160000000002,8179.679999999999,19611.72,19539.0,8661520.36,7761543.840000002,8423696.759999998,6946999.0,8099583.4799999995,8746556.0,9807434.200000001,9117725.76,8843240.880000003,8906926.0,10953371.0,11086150.8,10502320.16,11624300.399999999,11495802.279999997,11493240.399999999,11326026.44,11164339.2,12110606.159999998,4973364.319999999
20,4589027.64,3922833.2800000017,3440389.6000000006,3552326.56,3359133.2400000007,3051314.0,2936720.88,2785309.3999999994,3784868.3200000003,1637207.4,8607.7,8841.52,12643.839999999973,12634.560000000001,4799.800000000001,5149.56,13937.719999999998,9426.799999999992,19347.88,19198.0,9280213.4,8213589.680000002,8871435.599999998,7141347.14,8624702.52,9272500.0,10210494.8,9489088.84,9501003.4,9510483.0,11329519.6,11323759.0,11088946.72,12126130.2,12282793.78,12185308.639999999,11723906.6,11702375.6,12291877.36,5418287.6
21,4795926.8,4258231.0,3788637.0,3661074.5999999996,3756455.8,3280148.0,3337083.0,2978858.0,3934652.2,1663607.0,8589.8,8622.0,15189.0,12265.2,4304.0,4722.200000000001,15533.800000000001,16702.399999999983,19092.8,20040.0,9779936.0,8625217.2,9469258.2,7610121.0,9086589.0,9852372.0,10630687.0,10080399.400000002,10012520.000000002,10195715.0,11811090.0,11782029.0,11324147.6,12305850.0,12396532.8,12346690.6,12293241.6,12257470.0,12677673.2,5975890.6
22,4950012.34,4581692.64,4179368.3999999994,3819057.4,4111820.68,3564845.7999999993,3690504.0,3179808.400000001,4181663.16,1860602.8000000003,8589.36,8617.22,18314.559999999983,14248.72,4250.200000000001,4662.219999999999,17779.8,19721.12,19780.52,21192.900000000005,10486641.84,9207109.480000002,9635017.559999999,8038461.640000001,9579625.640000002,10318781.5,11523504.400000002,10758070.6,10307246.420000002,10846904.0,12291293.0,12281404.7,11802900.32,12697385.1,13215367.12,12834425.319999997,12417433.48,12305887.6,13360434.559999999,6635663.040000001
23,4986620.28,4592450.12,4580900.6,3965290.0400000005,4329472.68,3839438.2,4047697.6,3474919.6,4407961.52,2112819.6,8375.08,8625.76,19001.4,14065.16,5833.799999999994,4317.280000000001,17591.719999999994,19526.2,19654.920000000002,34513.400000000016,11171119.52,9759277.200000001,10481298.799999999,8526230.0,10021220.0,10780768.0,12246297.200000001,11314642.8,10910839.88,11494167.0,12601042.799999999,12463990.4,12281120.24,13431542.199999997,14028002.92,13583536.879999999,13008736.48,12637297.400000002,14344706.639999997,7189174.56
24,5170725.02,4836865.760000001,4606959.199999999,4253645.32,4534756.4,4023394.4,4374027.399999999,3674662.1999999997,4588357.96,2455824.8,8508.38,8713.86,19703.2,16380.36,6164.000000000001,6557.64,19648.600000000006,19237.96,35492.80000000001,51546.4,11582077.56,10290364.8,11191021.68,8950430.66,10603568.68,11324210.0,12779921.7,11964812.92,11428973.08,11999585.0,13634829.0,13168431.199999997,12458110.320000002,14466132.799999995,15081935.399999999,14464541.159999995,13619426.16,13373923.2,15164621.2,7779168.88
