index,223_1_web.de,223_2_web.de,223_3_web.de,223_4_web.de,223_5_web.de,223_6_web.de,223_7_web.de,223_8_web.de,223_9_web.de,223_10_web.de
17,671367.2000000001,644110.48,633961.5999999999,836937.4,1362709.4800000007,942505.6,920562.4400000002,636766.52,510244.6,517628.4400000002
18,707802.7200000001,656211.8,639054.24,848426.08,1789850.7600000007,1269726.3599999992,955352.4,657018.7200000001,596029.44,602054.72
19,810220.24,677762.24,660182.36,926970.4000000001,2144920.7600000002,1655876.2000000002,1171453.2,668037.9199999999,642767.4,645877.32
20,814281.0400000002,694851.08,679465.4,962246.12,2507277.3200000003,2060955.3599999994,1504437.9599999995,685076.48,647307.08,674239.64
21,823443.4,704732.2,783047.1999999993,1115836.600000001,2866168.0,2548417.6000000006,1879120.7999999993,693824.4,684246.8,689325.6
22,837166.36,766343.7200000001,789528.64,1339303.22,3290948.8800000004,2984194.6799999997,2154351.64,787792.8800000007,687582.64,695296.12
23,845243.4,814499.44,794060.96,1530093.6,3692825.16,3421967.7600000007,2613022.8400000003,818160.76,693703.84,699308.6000000001
24,957297.96,817213.44,801434.52,1768208.4000000001,4097246.38,3744794.84,2878939.3200000003,824541.2,784590.4800000001,709395.64
25,1144476.04,824393.6000000001,805021.36,1798537.12,4538726.48,4131574.0,3212968.16,829479.6000000001,799336.5599999999,739436.8
26,1358462.0,905843.0,817669.0,1836784.0,4651364.5,4403429.0,3462641.0,945210.0,810464.0000000001,816459.0
27,1630044.0,939993.12,934192.32,1845321.96,4780508.16,4643370.0,3832206.48,948845.4000000001,816746.48,819198.48
28,1892706.3200000003,992347.7599999999,945314.4000000001,1913458.5,4801582.68,4718785.36,4204150.8,1055323.32,832271.84,900057.6799999996
29,2052612.8400000015,1196767.6400000004,1116802.16,1920204.28,4815544.4799999995,4741189.12,4568390.32,1282533.7999999998,928803.9200000002,936500.7200000002
30,2314485.360000001,1456741.6799999995,1338210.3999999994,1922207.86,4821937.98,4753754.28,4717691.56,1598560.080000001,950320.04,942301.2
31,2485785.800000001,1699085.6000000003,1552325.1999999988,1948101.6,4830692.4,4757264.6,4804043.2,1830723.6000000003,972898.8000000005,1021456.0000000001
32,2797273.360000001,1986188.5199999993,1791089.639999999,1980394.12,4847662.76,4772940.28,4819774.72,2063494.1200000015,1114828.1999999997,1128509.0
33,3057684.6400000006,2131685.68,1909311.0,2037963.3200000005,4916227.48,4785279.92,4851900.96,2337280.04,1331324.4800000007,1302550.8800000004
34,3273066.4800000004,2353580.4400000004,2146536.5199999996,2056066.08,4955614.32,4879031.18,4869017.12,2751661.52,1540440.1200000015,1512118.72
35,3516527.04,2579070.28,2413573.4,2055029.16,4959180.92,4887018.88,4874158.04,2942774.6800000016,1764969.8800000001,1785729.8399999999
36,3596033.8,2873770.0,2739177.3999999994,2055658.1,5025221.2,4883816.2,4885636.4,3142872.0,2006322.4000000015,1857871.3999999997
37,3853423.24,3041689.7199999997,2924141.84,2060629.24,5089976.48,4905166.28,4893825.72,3361148.720000002,2124721.0400000005,2091720.96
38,4182407.72,3186057.3200000003,3121812.44,2072472.6000000003,5280485.96,4927228.02,4903903.92,3625917.240000001,2385915.6800000016,2351881.040000001
39,4529754.600000001,3458019.48,3277622.1199999987,2121174.3200000008,5300050.08,4946778.36,4945494.44,3846037.4400000004,2622474.1600000006,2571660.72
40,4717908.36,3722212.48,3521397.959999999,2145164.88,5315237.02,4985163.92,5251820.920000001,4065594.840000001,2818746.1600000015,2729946.6000000006
41,4730808.6,4018417.3999999994,3607316.999999999,2162155.6,5344579.8,5032416.4,5556146.6,4286091.4,3117944.6000000006,2910067.0
42,4738042.48,4218717.92,3876051.679999999,2160195.92,5365937.12,5191881.68,5558745.32,4423567.88,3330656.8000000003,3139819.44
43,4775016.88,4518699.040000001,4134022.399999999,2197647.36,5370350.96,5432745.919999999,5570166.4799999995,4649944.000000001,3560981.8800000004,3359511.28
44,4780688.4799999995,4638988.52,4388718.3999999985,2379917.3200000003,5500128.040000003,5598140.64,5573845.32,4702213.6,3761879.7600000002,3542095.1199999996
45,4850159.44,4699045.04,4629418.64,2612225.6000000015,5695757.12,5726498.12,5582321.5600000005,4757897.52,3923690.16,3738586.9600000014
46,4878375.8,4705930.2,4712331.0,2810599.8000000003,5825479.9,5771924.8,5596796.8,4777866.6,4118341.800000001,3928670.2
