index,45_1_twitter.com,45_2_twitter.com,45_3_twitter.com,45_4_twitter.com,45_5_twitter.com,45_6_twitter.com,45_7_twitter.com,45_8_twitter.com,45_9_twitter.com,45_10_twitter.com
22,135308.56,102587.36,426781.3,26542.46,100316.56,100774.56,98998.48,105100.08,362599.60000000003,94405.0
23,135848.12,102104.0,526582.4000000001,25657.72,100335.08,100246.56,98781.88,110956.44,427454.04000000004,99223.0
24,168160.5599999999,102253.24,587325.4,25057.139999999996,100149.98,114028.40000000002,104874.07999999997,112387.76,482166.2000000003,103339.5
25,218337.8000000001,168050.4,598961.2,26735.92,136246.24,179624.84000000023,177447.31999999998,139214.8000000002,517729.4,104033.0
26,271467.0,235227.0,636197.0,28852.5,194634.0,244837.0,233741.0,214998.0,586671.5,103955.0
27,340301.32,239941.23999999987,663466.04,30488.079999999998,209179.16000000024,304037.08,289607.84,254701.60000000003,652129.1600000003,104039.0
28,407583.64,307667.4800000002,667228.66,29802.64,259680.31999999998,338869.02,355258.52,310237.7600000001,664261.34,145364.0
29,446198.7200000001,375393.7200000001,668875.12,31959.88,323749.4800000002,355216.60000000003,396956.04000000004,337792.8,686720.72,203800.0
30,516924.95999999996,429361.72,685617.3000000002,35001.360000000015,358766.8,370122.16,438132.16,350646.4,692509.64,238249.0
31,573315.1999999998,460585.19999999984,692878.8,36294.2,410126.2000000001,420577.00000000006,504984.0,363215.2,718445.2,246634.0
32,639595.4400000002,507831.4400000002,694343.06,37899.04000000003,443828.95999999996,504110.11999999994,517983.60000000003,374865.60000000003,720596.02,258634.0
33,663973.48,569486.0,695809.32,38325.72,505367.4,540534.1200000001,576921.1200000001,469473.44000000006,722063.44,268003.0
34,666744.12,604197.6799999999,696673.4,42701.18,517497.60000000003,591697.2800000004,616697.4400000002,522648.72000000003,723532.86,333611.5
35,687830.76,658380.6400000001,701723.32,42531.64,584661.84,662038.76,662709.64,584599.9200000004,728050.64,359655.0
36,688960.4,665857.6,705404.7,42827.1,633889.4000000003,663582.6,664284.2,642650.0000000001,730125.8,418770.0
37,688646.56,667607.76,734715.68,42769.88,661271.72,665884.36,686627.5599999999,676655.72,746958.48,490835.0
38,689749.92,670893.16,734297.58,42800.02,662998.78,687707.76,688000.44,678257.04,744035.78,496804.0
39,692492.3200000001,673992.28,739082.4,42717.32,688592.88,689506.76,689722.64,681455.84,745356.68,524191.0
40,695296.24,696028.16,756298.26,43599.200000000026,688801.64,691093.66,689003.5599999999,687102.0800000002,747744.38,549937.0
41,703295.2,696100.6,752466.8,45609.6,688996.8,692819.4,691053.2,706949.2,749296.0,591098.0
42,723460.64,698692.48,753253.64,45423.28,690510.76,692263.46,693866.6,706295.24,751710.68,620157.0
43,724314.6,700610.72,756210.92,44891.28,692318.92,695573.4,720816.16,707940.84,752277.56,669255.0
44,725624.8,701967.72,758417.5,46634.40000000003,696044.2200000001,722137.1000000002,722728.84,709710.56,753222.06,690829.5
45,726731.2,703612.92,760670.36,72919.16000000003,709729.2000000004,724981.4,725470.6799999999,712864.48,756476.8,693141.0
46,731641.6,722741.0000000001,763460.6,110438.20000000004,725111.2999999999,724451.9,726644.0,725943.0000000001,761171.2,692615.0
47,732802.6,732980.1599999999,765359.76,147074.24000000002,725103.76,727780.52,746552.32,742655.36,764849.92,694519.0
48,749481.84,742517.64,766764.22,182139.24,727343.4,735339.9600000002,747032.76,745688.96,766248.74,695958.5
49,747624.28,751985.96,767223.92,209716.64000000013,730128.92,749168.5599999999,743563.32,747618.84,766536.64,695663.0
50,747094.96,748497.2,769781.42,248575.9400000001,732806.3800000002,749290.6,744512.72,747701.72,769289.14,698758.0
