index,198_1_siteorigin.com,198_2_siteorigin.com,198_3_siteorigin.com,198_4_siteorigin.com,198_5_siteorigin.com,198_6_siteorigin.com,198_7_siteorigin.com,198_8_siteorigin.com,198_9_siteorigin.com,198_10_siteorigin.com
22,369489.0,189460.04,174118.58,245853.15999999997,181253.96,307477.19999999984,127307.16,104043.79999999994,211109.44,174227.86
23,384061.39999999997,191062.0,183086.91999999998,273366.12,181612.68,380788.6,159453.27999999985,124805.4,212006.48,190685.52000000025
24,456170.39999999997,195959.92,227606.55999999985,292173.07999999996,220327.72,392250.5999999999,171100.9,179254.80000000008,290756.3600000001,243894.58
25,542373.9999999999,216829.96,307256.12,322412.04,254324.04,461993.8,196042.9199999999,197538.2,372604.5599999998,337495.84000000026
26,620515.0,271627.0,367017.0,384912.0,321240.0,554614.9999999995,285696.5,208344.0,446255.0,376543.0
27,675504.1999999998,302051.36,424741.32,423314.95999999996,354175.1599999999,664677.2,344425.76000000007,243127.19999999998,532627.4400000002,444224.28
28,716935.8,351482.1199999997,454922.4400000002,475213.73999999993,451504.31999999954,714080.8,415227.7999999998,256951.59999999992,595359.64,480280.4
29,736500.4,427983.92,524019.92000000004,510033.88,550766.5599999999,733007.7999999998,435566.2399999999,313907.6,604851.64,528971.3600000001
30,738993.3999999999,480927.1999999999,594598.5599999999,537546.84,629266.0399999999,734219.3,487205.98,347817.3999999999,624863.7600000001,604383.2
31,742687.0,546949.8,643815.2,565059.7999999999,703101.0,751810.0,528620.3999999997,407299.0,702331.8,627950.6
32,749895.0,604017.8,695955.24,600369.12,726404.6,761692.3,617860.5999999999,474101.8,717718.68,690448.88
33,769927.6,668747.9199999999,712636.8,630989.72,742978.44,768406.8,678515.8399999999,552003.3999999999,736312.52,722887.1200000001
34,771868.4,719869.3999999998,734343.48,660301.8399999999,746402.2,768069.7,710416.38,661247.4000000001,738905.68,735616.86
35,778882.6,736107.16,746046.7999999999,688741.64,761038.96,854438.7999999999,714678.36,713046.0,742539.84,748686.52
36,794159.0,738959.3999999999,759694.3,731594.3,770724.6,881310.0,733600.7,715880.0,744224.8,758588.8
37,834155.8,762248.68,761984.04,734393.3999999999,795169.44,885954.5999999999,738003.7600000001,735627.2,760164.0,762037.96
38,871258.7999999998,767348.8,767806.08,736206.32,799522.28,909617.8,758963.5599999999,736991.4,772762.6,768887.36
39,915208.6,769180.52,774660.92,740196.16,844567.0799999991,913443.6,761127.84,740348.8,775259.48,768037.24
40,919814.7999999998,806061.3599999999,819398.4800000001,756393.5,912511.72,915111.7000000001,764921.2999999999,743365.4,808524.92,802844.16
41,922283.0,860711.0,887651.4000000001,781893.2,913136.6,916337.0,767156.8,747476.0,873497.6000000003,856949.6000000001
42,924975.8,905743.12,904237.7200000001,789242.78,915615.64,920266.7,800566.9,757977.4,904125.76,904590.82
43,925584.6,907282.68,907011.08,792677.88,920929.68,923675.4,840587.48,768164.4,913180.32,906181.92
44,927083.6,908306.72,908042.14,796733.1799999999,920320.44,925894.5,902532.86,769865.4,914072.32,909036.68
45,930169.2,909837.88,911449.08,844268.68,922511.84,927840.6,905020.64,776667.4,915846.16,911832.16
46,931739.0,915623.8,914269.8,898729.3999999997,923660.2,929973.5,909845.9,775658.0,921534.2,914963.8
47,934738.0,917251.4,915892.32,909277.08,926674.24,932352.4,909618.48,798728.0,923179.28,916134.84
48,935242.4,918616.88,916844.54,912486.42,931408.3999999999,933906.6,911759.86,840388.9999999998,924564.12,917551.18
49,935242.4,920571.76,919073.72,913970.84,933180.04,933875.4,913959.04,907908.7999999998,926608.84,919431.76
50,935079.2,921477.84,919870.08,919797.02,934586.88,933796.2,914518.76,914035.2,926816.64,920103.52
