index,322_1_www.tagesschau.de,322_2_www.tagesschau.de,322_3_www.tagesschau.de,322_4_www.tagesschau.de,322_5_www.tagesschau.de,322_6_www.tagesschau.de,322_7_www.tagesschau.de,322_8_www.tagesschau.de,322_9_www.tagesschau.de,322_10_www.tagesschau.de
38,1390956.220000001,1349957.0,1534687.4,1517481.3200000003,1356379.48,1560186.2,1552156.8800000001,1368866.9,1341613.9999999993,1448992.8399999996
39,1415472.92,1422733.0,1605709.32,1624492.3600000003,1399772.0,1641575.6,1605251.000000001,1411677.44,1377219.88,1486861.44
40,1455634.72,1504186.0,1677239.52,1673625.6800000002,1445373.6,1716270.5,1661270.4800000002,1439168.44,1434847.36,1517363.7999999998
41,1503141.8000000003,1583813.0,1736640.2,1736109.4000000001,1498170.4000000001,1774882.0,1732225.6000000006,1487594.2,1467969.0,1572537.2
42,1569613.52,1640764.0,1808163.6,1768924.4800000004,1554554.4000000001,1856233.5999999999,1751511.6800000002,1537168.0,1510331.24,1619542.48
43,1616472.76,1687320.0,1860767.88,1873366.2,1692144.8000000003,1904036.5999999999,1801001.1600000001,1597736.2800000003,1550829.7200000002,1703505.32
44,1657752.96,1744618.0,1915539.6,1957849.9200000002,1740565.6,1945029.2000000002,1885317.2400000005,1654947.1,1658417.16,1757185.8
45,1730817.2000000002,1850025.0,1975608.2399999998,2060104.04,1835609.6800000013,2011113.7999999993,1938614.8,1761433.24,1754330.4,1817829.8399999992
46,1817598.5,1900039.0,2060214.0,2146730.0,1920103.600000001,2077229.0,1999261.2,1859734.8999999997,1790607.6,1911060.5999999999
47,1899030.4000000001,2000341.0,2131213.3200000003,2166763.24,2005706.7600000002,2122574.8,2039582.6,1919468.68,1862810.28,1944580.24
48,1927470.4200000002,2098688.0,2206717.48,2226858.64,2118912.48,2204104.1999999997,2064260.2,1959702.639999999,1939936.76,2003374.4
49,2005186.4000000001,2132145.0,2283934.68,2279776.3200000003,2147688.48,2278075.1999999993,2117127.28,2024204.6,2005755.2800000003,2087051.3999999997
50,2080109.56,2160116.0,2289071.16,2291944.56,2220836.4,2294634.2,2186850.36,2145601.3200000003,2092607.16,2139676.56
