index,356_1_www.deezer.com,356_2_www.deezer.com,356_3_www.deezer.com,356_4_www.deezer.com,356_5_www.deezer.com,356_6_www.deezer.com,356_7_www.deezer.com,356_8_www.deezer.com,356_9_www.deezer.com,356_10_www.deezer.com
36,979366.6000000001,880535.8,906954.9,986780.0,956043.4,1041894.8,970611.9999999999,961818.0,1237182.0,931575.6
37,1000366.56,916947.48,935267.84,1072725.4000000001,959661.76,1074568.1599999997,1009509.32,1032688.52,1242508.08,933159.4
38,1033817.8,951316.6,936651.4,1133785.8,1014864.7200000001,1124165.2799999998,1012134.08,1035423.34,1250128.86,950973.12
39,1091617.8,955675.04,956995.8,1188085.6,1032881.08,1155675.4,1016976.2000000001,1045243.4,1253717.16,1008877.96
40,1170367.3200000005,1027094.76,1010014.0400000002,1198708.3,1039458.52,1174331.2,1023234.16,1075019.28,1256988.42,1010496.8799999999
41,1204022.8,1029377.3999999999,1014790.4,1201813.0,1051125.0,1200361.2,1084256.0000000002,1145454.3999999992,1264728.2,1012976.8
42,1207468.72,1035174.48,1020528.58,1208384.2,1105030.32,1215489.72,1155901.2,1204706.3599999999,1274993.98,1022036.88
43,1212060.64,1041493.04,1027676.2000000001,1213477.0,1148473.2800000003,1218037.16,1193232.92,1214655.24,1286088.8,1093602.56
44,1216852.56,1104343.0399999998,1089581.9200000002,1241625.1,1201221.56,1225172.56,1197750.12,1218250.76,1290050.82,1123781.5999999999
45,1247537.88,1127163.5999999999,1140704.4000000001,1242773.2,1214851.28,1241491.2,1197587.72,1220152.08,1293916.4,1169157.8399999996
46,1250773.8,1204791.2,1166904.5,1246944.0,1216322.2,1258120.4,1201414.2,1226663.1,1296833.6,1188546.7999999998
47,1256295.92,1212537.24,1195963.64,1252022.6000000003,1222492.48,1262042.36,1203925.8,1249835.12,1300041.52,1196269.52
48,1265078.32,1210727.56,1197861.18,1259440.9,1224922.32,1266944.52,1214034.48,1262041.44,1303175.8,1197526.56
49,1283427.64,1214940.48,1201705.52,1279109.4000000001,1227686.48,1292355.04,1230277.48,1263318.36,1305326.48,1204320.64
50,1283359.48,1219415.04,1208102.7200000002,1282641.2,1234040.4,1292280.72,1246679.08,1268613.72,1307868.68,1218901.3999999992
