index,3_1_www.google.com,3_2_www.google.com,3_3_www.google.com,3_4_www.google.com,3_5_www.google.com,3_6_www.google.com,3_7_www.google.com,3_8_www.google.com,3_9_www.google.com,3_10_www.google.com
23,389572.76,107129.08,384294.64,391607.4,482108.84,392893.8,386079.32,398720.64,187339.84,402966.0
24,392005.76,106869.46,386022.16,395825.64,509401.96,441742.6,395926.64,395679.92,191100.44,404784.5
25,392043.92,136681.60000000015,392879.52,396011.56,530308.3999999999,594287.12,398322.32,405009.51999999996,198679.88,515169.0
26,398173.0,178503.0,396864.0,399148.0,571476.0,628346.5,404981.0,409199.0,203378.0,614505.5
27,396966.68,207395.52000000005,403046.88,405542.68,608889.24,637793.88,403336.72,409764.16,202605.92,625451.0
28,414199.4000000001,211508.36000000007,409970.76,408483.84,625553.52,644979.02,474755.9999999999,548660.68,217999.56,623781.0
29,415723.64,212408.44,482625.76,418577.8399999999,706427.7999999999,717634.76,583792.5599999998,618195.7999999999,237417.88,686500.0
30,414938.44,211339.74,485358.8,513623.60000000003,821116.1999999998,720541.86,639709.6,627715.42,276039.48,857411.0
31,412538.4,210838.40000000008,527108.5999999994,616639.4,979035.7999999998,822025.8,686042.4,629320.0,292818.39999999997,965817.0
32,427915.88000000006,216367.02,679511.3199999995,619791.8,1087236.1199999994,943490.4400000003,694344.52,650114.68,336261.4800000001,1066791.0
33,501680.04000000015,247778.04,694962.6,673621.76,1223702.5999999992,1009947.08,734033.12,648468.32,379573.72000000003,1255693.0
34,566597.6400000001,266300.0400000005,722522.72,695789.08,1335218.5199999998,1137758.44,821902.8,649146.22,381279.8399999999,1374180.0
35,624745.6400000001,314336.32,723678.88,706091.16,1488004.2799999998,1220026.4800000002,875386.8,754463.5599999997,395789.08,1549678.0
36,698625.6000000001,368130.5,740436.2,706024.2,1566396.9999999998,1322141.1999999997,950209.2000000008,859385.7999999992,397022.2,1710391.0
37,742750.2,402149.7600000001,738783.0,733274.4,1690347.16,1471021.8,1131848.56,934210.56,399026.88,1904570.0
38,818783.4000000001,405952.68,782201.56,754092.7199999997,1805890.04,1610956.7600000007,1299043.3599999996,1056515.1600000001,405525.36,2079167.0
39,897097.0800000007,407862.32,892710.7999999992,792701.2000000001,1967647.719999998,1730756.2399999993,1450737.3600000003,1099636.8,404317.24,2124263.0
40,985233.5600000002,409835.42,1034356.0799999991,845553.76,2114491.079999998,1856619.4,1531358.64,1204160.5199999993,404573.63999999996,2231464.0
41,1013825.4000000006,416352.2,1177733.9999999998,937800.0,2259355.5999999987,2077688.4000000001,1593999.0,1292794.9999999998,443688.0,2335347.0
42,1128685.8800000001,415431.2,1343940.4,1040247.92,2329391.0,2158122.24,1685599.6800000002,1381074.2,510120.87999999936,2364273.5
43,1208993.2000000002,414989.72000000003,1531660.2399999993,1121108.64,2348219.28,2318856.2,1817970.8399999999,1421766.08,570691.2,2429693.0
44,1288280.8,450431.36,1670540.28,1198646.76,2352667.7600000002,2460260.8000000003,1945963.4799999997,1530269.2399999993,604501.5199999997,2475027.0
45,1410972.3200000005,515058.2,1812276.4,1261124.2,2359063.84,2617781.48,2033980.84,1698848.0799999996,663971.9599999998,2478291.0
46,1531188.8,587038.8,1922204.0,1335053.0,2377406.2,2737058.4,2089312.5999999999,1860635.6,686457.6,2478648.0
47,1629814.8800000004,663188.92,2123699.36,1447814.76,2381925.04,2738922.72,2245697.920000001,1980637.04,695827.0,2503204.0
48,1761607.28,695779.54,2205822.04,1515134.1600000001,2384639.96,2743762.82,2421840.2,2099582.1999999997,696859.5599999999,2507483.5
49,1901343.04,697805.96,2273331.24,1662003.4399999995,2388476.08,2767075.76,2576806.9599999995,2153803.6,697182.8400000001,2527288.0
