index,339_1_www.mindmeister.com,339_2_www.mindmeister.com,339_3_www.mindmeister.com,339_4_www.mindmeister.com,339_5_www.mindmeister.com,339_6_www.mindmeister.com,339_7_www.mindmeister.com,339_8_www.mindmeister.com,339_9_www.mindmeister.com,339_10_www.mindmeister.com
32,1740460.9599999997,1224015.56,1313726.1,1382477.7999999996,1495243.4,1668084.8799999992,1563618.8799999992,1406106.16,1314806.0000000002,1531424.4000000001
33,1840730.44,1323967.4,1402774.1199999999,1450787.4,1601051.24,1800707.92,1679265.92,1496368.1599999997,1400905.8,1634636.2
34,1925628.56,1407367.88,1464739.1400000001,1492069.0,1707342.4000000001,1900552.92,1820948.38,1600868.5199999993,1547868.7999999998,1648423.7
35,1929562.16,1530641.9999999995,1545052.2399999993,1531603.1999999997,1811983.3599999992,1929466.56,1937607.28,1645812.3599999999,1659725.2000000007,1756902.2000000002
36,1933610.4,1640583.1999999988,1703509.1,1561962.0,1901386.0,1981425.9999999998,1945221.2,1678022.8,1820870.0,1854488.5
37,2021955.6400000001,1749746.72,1790178.2399999995,1670512.2,1920701.4,2128051.28,2043723.56,1778443.72,1914899.0000000002,1931891.8
38,2098528.8400000003,1857542.52,1845822.96,1740555.7999999998,1929800.6,2297103.6399999997,2139054.1799999997,1863005.28,1922079.8,1939711.6
39,2240895.1599999997,1893656.48,1870831.12,1837018.2000000002,1933033.72,2505608.28,2318935.6399999997,1936571.32,1925897.0,1983408.3999999997
40,2384557.56,1925974.62,1916738.74,1871897.6,1941093.0,2576531.28,2536932.4799999986,1942065.58,1932675.8,2060146.5
41,2455313.0000000005,1931792.6,1947023.8,1957778.0,2011774.6000000003,2715388.5999999996,2621479.0,1946426.0,1965757.0,2185679.0
42,2473840.08,1958793.7,1979356.54,1998506.6,2179463.8799999994,2898077.96,2665294.32,1965669.6399999997,2017765.8,2334776.2
43,2476438.04,1993419.6,2006800.4,2010536.9999999998,2336471.8,3093065.64,2682779.84,2062642.76,2116282.4,2453114.0
44,2482263.48,1995453.26,2013774.82,2174388.4,2496349.94,3254712.899999999,2689921.32,2166316.919999999,2282179.4,2489366.1
