index,139_1_www.office.com,139_2_www.office.com,139_3_www.office.com,139_4_www.office.com,139_5_www.office.com,139_6_www.office.com,139_7_www.office.com,139_8_www.office.com,139_9_www.office.com,139_10_www.office.com
16,22403.5,23186.2,35514.0,31769.00000000001,24157.19999999999,28216.600000000002,20430.0,20400.399999999998,30372.5,24275.19999999999
17,23369.0,24893.8,40962.200000000004,41043.44,24644.92,29907.44000000001,23323.0,21748.920000000002,29862.2,24762.92
18,25061.5,24900.64,42606.1,42669.38,26691.859999999964,30745.16,23830.0,23035.88,40845.52,27437.139999999963
19,25193.0,30339.6,42984.000000000015,42468.479999999996,29966.800000000003,32364.44,24733.0,24971.48,42508.24,29537.199999999997
20,30555.5,33676.56000000004,47771.2,48153.68,40410.639999999985,33264.799999999996,25056.5,24843.36,42292.58,39277.11999999994
21,29901.0,40745.6,67460.0,49616.400000000016,40363.8,37249.2,30093.0,26707.800000000014,47980.8,41669.599999999984
22,40914.5,42585.6,69048.2,66109.28,42188.02,48293.44,31068.0,29826.199999999997,61340.43999999996,42366.02
23,42774.0,42604.44,68814.4,68230.32000000002,41887.36,50067.2,40939.0,29719.2,67148.76,42000.8
24,42732.5,42431.600000000006,74427.4,69173.38,47555.99999999999,49661.560000000005,41446.0,40669.72,68872.3,47822.76
25,41815.0,48043.12,75624.40000000002,69448.40000000001,47801.52,55539.92,42339.0,42577.64,68508.68,54993.91999999999
26,48035.0,48124.0,82639.5,74269.5,64663.0,55714.0,42030.5,42464.0,74397.0,67287.5
27,55203.0,66108.23999999999,102277.6,83085.2,67170.48,74664.48,45686.0,41940.8,74555.24,67269.48
28,66156.0,67005.92,127460.20000000001,105252.68000000001,68566.74,76280.16,47810.0,47892.88,86112.96000000002,68665.74
29,66951.0,68751.64,153187.99999999994,138187.36000000025,68294.64,76054.76,54978.0,48138.76,117937.43999999999,68393.64
30,68937.5,68513.68,175372.0000000001,160327.44000000003,74079.48,81828.36,67158.5,57475.47999999999,153132.84000000005,74178.48
31,68608.0,72401.00000000004,207097.0,171542.60000000006,74276.8,82869.99999999999,68970.0,67046.2,185170.0,74344.8
32,72404.0,73956.76000000001,235147.6000000001,199423.06000000003,82357.58,105560.87999999992,68769.5,68836.8,219480.12000000017,82731.59999999999
33,74022.0,82549.40000000001,236889.0,229904.44000000003,89085.59999999999,139497.83999999976,68482.0,68836.31999999999,235985.8,117087.15999999993
34,79806.0,101932.92000000003,241799.3,236087.6,105439.11999999995,165874.75999999998,74259.0,67982.40000000001,238345.81999999995,149834.24
35,84767.0,122188.12000000002,263026.20000000007,237666.44,132104.5599999997,185306.79999999996,74435.0,74165.08,255667.28,173408.6799999998
36,110737.5,137423.00000000003,289668.5,239096.69999999998,170433.49999999997,213352.99999999997,82487.5,74383.2,280070.0999999999,206561.99999999977
37,130556.0,155704.5600000001,317196.80000000016,241021.24,198678.47999999975,243814.12,91357.0,82412.76,318781.6000000001,235724.4
38,165395.5,185138.64000000016,335122.5,279929.52000000025,235678.37999999995,244253.07999999996,123439.0,102737.43999999996,359387.2399999999,235747.2
39,190660.0,206088.64000000004,382794.6,315730.88000000006,235633.8,246251.2,145324.0,128295.83999999994,401034.88,238572.24
40,201641.0,228841.80000000002,407568.30000000005,343420.52,238417.4,276321.43999999994,163120.0,155280.56,440744.2799999999,247008.9599999999
41,222191.0,236107.0,428253.0,368927.00000000006,243391.99999999983,291741.0,191820.0,188870.40000000002,485294.4,264784.7999999999
42,236393.0,237453.32,458478.70000000007,391145.0,274719.11999999994,313408.36,221201.5,220551.27999999985,527189.54,290792.6399999999
43,236540.0,240028.08000000005,488977.0,421179.0,303412.3599999999,323321.39999999997,236000.0,235977.4,528857.64,324278.24
44,239104.0,258220.56000000003,521370.6,449659.18,330795.95999999996,369595.19999999995,237946.0,236408.91999999998,529490.44,348199.5199999999
45,242276.0,273513.48000000004,527321.0,477158.0000000002,346035.67999999993,395062.24,237830.0,238548.44,529061.64,374025.68
46,262466.0,285615.2,529441.5,508282.40000000026,368990.99999999994,419476.3999999999,239987.0,248630.39999999994,530956.1,408056.6
47,275098.0,297076.76,540263.6000000001,527556.16,390286.68,452723.9999999999,240734.0,261298.44,531603.24,427293.88
48,293670.0,315819.44000000006,547097.2,539768.4800000001,410645.68,488752.11999999994,244124.5,274457.16,533298.24,455402.95999999996
49,307898.0,332492.88,549207.4,547578.68,441204.8,521976.7999999997,243680.0,289142.44,533274.2,500211.95999999996
