index,212_1_www.playstation.com,212_2_www.playstation.com,212_3_www.playstation.com,212_4_www.playstation.com,212_5_www.playstation.com,212_6_www.playstation.com,212_7_www.playstation.com,212_8_www.playstation.com,212_9_www.playstation.com,212_10_www.playstation.com
27,15168050.4,15405388.799999999,14629919.719999999,15597335.4,16143431.119999997,15532393.759999998,15169923.44,15411402.8,15885651.56,9280315.2
28,15441219.8,15422390.6,15382037.000000002,16109015.899999999,17252969.659999996,16344479.62,15448169.04,15439158.4,16779451.72,9721978.959999997
29,15892085.799999995,15560202.600000001,15427103.64,16669553.599999998,18174558.080000002,17233963.96,15853075.879999999,15670577.399999999,17660744.36,10176683.44
30,16968721.399999995,16403883.2,15466597.92,17610029.399999995,19229366.439999994,18135308.679999996,16750851.920000002,16536315.000000002,18686865.28,10759747.4
31,18119148.0,17299606.0,16245249.600000005,18528861.0,20340084.4,19095975.599999998,17750859.400000002,17662566.0,19750790.599999998,11417874.399999999
32,19189564.6,18231460.599999998,17086608.92,19526597.4,21273510.98,20203024.359999996,18808239.48,18753974.000000004,20813873.72,12019781.44
33,20209956.4,19189959.6,18472596.040000003,20517185.199999996,22294678.72,21073363.719999995,19898751.36,19671160.400000002,21902767.839999996,12433263.72
34,21253050.799999997,20140574.8,19444817.88,21252178.999999996,23336988.4,22105151.36,20865930.839999996,20659296.599999998,22880146.959999997,12812058.879999999
35,22251934.199999996,21263894.799999997,20799148.8,22201235.399999995,24378186.32,22886329.119999997,21603258.0,21632859.400000002,23514917.64,13204639.36
36,23305496.0,22314482.0,21663060.000000004,23177921.5,25470676.599999998,23273245.7,22571789.799999997,22423782.0,23894749.2,13210992.8
37,24149026.8,23667052.4,22609909.92,24306922.799999997,26502600.559999995,23742017.479999997,23626384.28,23367705.200000003,24399065.919999998,13536947.44
38,25033861.4,24536465.599999998,23606011.12,25378218.099999998,27584138.52,24214610.16,24658434.64,24330611.400000002,24975955.52,14185571.76
39,25930757.4,25400041.8,24473978.32,26414686.399999995,28647441.48,24879582.0,25445210.12,25596045.4,25805254.559999995,14819007.24
40,27001858.4,26404476.199999996,25343148.080000006,27419252.5,29709145.78,25811620.939999994,26519642.36,26405515.200000003,26846712.599999998,15279036.48
41,28005457.0,27299008.0,26205944.6,28455473.0,30795601.399999995,26881007.4,27342054.4,27303780.0,27671841.4,15286660.6
42,28937141.0,28437417.4,27103385.44,29447732.4,31639961.12,27942254.86,28168256.679999996,28473586.200000003,28413913.759999998,15307791.44
43,29926051.199999996,29287309.599999998,28055633.52,30475170.199999996,32551584.56,29025750.639999993,29073417.160000004,29582357.400000002,29545724.959999997,15428175.040000001
44,30937626.399999995,30172271.0,28911487.960000005,31451933.799999997,33623956.279999994,30127919.559999995,30138764.68,30532442.799999997,30650480.079999994,15455122.8
45,31895000.999999996,31131232.599999998,29839030.680000003,32329870.4,34654197.36,31196803.48,31206661.12,31495795.4,31760467.88,15472971.76
46,32918074.999999993,32095279.0,30638026.4,33006287.0,35020874.9,32237540.399999995,32200822.799999997,32425214.0,32856832.399999995,15486331.0
47,33851224.6,33038580.199999996,31540337.12000001,33871210.79999999,35068572.96,33235323.31999999,33205848.04,33363257.400000002,34001256.52,15508746.12
48,34787836.199999996,34169361.0,32456817.840000004,34377138.1,35133256.52,34283060.12,34257752.559999995,34303897.4,35010371.56,15534537.2
49,35028041.6,34993646.0,33278598.320000004,34995592.599999994,35014324.44,35034132.2,35013646.8,35009520.0,35068541.64,15584290.16
50,35115464.2,35028939.5,33346365.52,35046854.0,35158806.2,35124319.24,35043295.56,35039508.4,35131733.52,15639332.68
