index,207_1_java.com,207_2_java.com,207_3_java.com,207_4_java.com,207_5_java.com,207_6_java.com,207_7_java.com,207_8_java.com,207_9_java.com,207_10_java.com
29,207953.72,178888.32,218128.2,229056.2,227007.76,217116.59999999998,181271.6,156644.64,216263.96,227235.08
30,209661.88,180680.78,224488.5,230985.91999999998,230335.36,217513.8,217371.1999999999,159687.92,217303.02,230555.76
31,222071.79999999987,195442.80000000005,223949.0,232731.2,230735.2,224079.0,224857.0,198195.79999999993,223720.6,232505.6
32,226235.2,225199.78,225670.3,234103.08000000005,232775.78,227218.2,226947.2,208397.64,224743.64,231289.15999999997
33,227763.76,231745.84,229794.6,233796.76,233863.16,226488.8,228316.4,224165.36000000002,226893.96,234272.2
34,227822.4,233039.24000000002,230492.9,236498.80000000002,235153.86000000002,226733.59999999998,229924.4,225984.48,230605.59999999998,237675.26000000004
35,230481.88,234790.84,232262.4,243917.63999999998,240829.59999999998,231349.80000000002,235184.4,231239.71999999994,231136.28,241111.52000000002
36,232149.8,233599.1,232902.5,248410.2,243915.4,231192.0,240466.0,233576.0,232652.9,248565.9
37,233223.67999999996,235041.84,233682.6,252530.2,248034.28,243344.40000000008,241871.6,235096.28,234449.88,248348.92
38,235213.52,237150.34,235002.8,255881.80000000002,253387.6,247563.8,242768.2,235980.59999999995,233945.86000000002,251117.82
39,235608.44,237869.96,236244.4,262980.24000000005,256300.88,246412.6,246755.2,237861.68,235997.96,255659.8
40,236013.04,239924.92,238831.9,283957.72000000003,263876.3,248834.2,250757.4,237408.28,237714.98,255577.62
41,243926.8,242641.79999999996,239833.0,313159.8,270098.0,248292.0,250974.0,241720.4,248941.4,267976.99999999994
42,243177.2,243903.58,251305.40000000008,313205.96,303080.5199999999,248470.0,258326.79999999996,242570.28,247659.52,303447.12000000005
43,248590.48,252728.52000000008,253206.0,313305.4,312483.4,253896.4,261433.8,241128.88,249225.96000000002,312678.2
44,251706.75999999998,255608.96,252813.0,319036.88000000024,314131.56,255564.4,264222.0,245752.31999999995,253507.88,314152.8
45,257141.19999999998,256926.84,257939.4,326372.28,359943.28,258741.8,298445.2,247818.52,256838.56,334648.72000000003
46,257359.4,259515.59999999998,263797.0,338410.4,405269.1999999998,258359.0,310290.0,256455.80000000002,264005.0,359360.99999999994
47,265677.9199999999,264136.92,276985.6,340358.80000000005,409640.12,260604.0,310725.0,255299.52,291440.12000000005,390424.7600000001
48,286207.3199999999,266791.08,313948.6,365689.6,409116.12,262261.00000000006,313946.6,259720.31999999998,312406.62,409903.12
49,313811.4,276425.6400000001,314364.60000000003,369604.04,410593.24,273819.20000000007,316493.6,264658.44,313862.72000000003,409136.56
50,312913.12,289557.4800000001,321327.5,375225.72000000015,412105.28,289704.20000000007,324114.0,263934.5999999999,312982.3,410990.66
