index,152_1_opensource.org,152_2_opensource.org,152_3_opensource.org,152_4_opensource.org,152_5_opensource.org,152_6_opensource.org,152_7_opensource.org,152_8_opensource.org,152_9_opensource.org,152_10_opensource.org
20,76590.76,44581.48,57526.89999999998,41342.15999999997,29148.34,48322.8,37744.999999999985,44176.12,42972.399999999994,62652.920000000006
21,78500.8,46432.4,61801.6,47658.6,31290.2,55827.6,41765.00000000001,42536.399999999994,48774.0,67679.4
22,90474.84,58106.92,63693.82000000001,55106.200000000004,43002.94,63472.320000000014,42073.44,46931.88,55731.4,69557.2
23,117024.44000000003,63251.76,63023.36,61332.56,45969.68,66525.28,42354.40000000001,46103.44,55209.6,95306.4
24,135572.80000000002,67608.28,93926.2,60229.58,45305.380000000005,66892.20000000001,53836.36,63168.23999999999,61258.799999999996,96659.68
25,141199.8,69517.28,96398.72,62002.19999999999,43696.75999999999,67988.92,55186.799999999996,74910.4,88862.0,94964.52
26,150853.0,67330.0,112174.0,92451.5,47186.0,86040.0,57472.0,84375.0,104854.0,112443.0
27,164406.6,68121.28,125330.43999999999,94383.6,51696.4,117582.28,58038.439999999995,88672.8,104955.00000000001,134179.6399999999
28,182119.27999999997,93631.27999999998,159268.33999999994,92119.64000000001,54284.50000000004,148541.4,90452.63999999993,86357.84,130512.00000000003,152309.80000000002
29,202045.55999999997,132912.43999999997,169975.08,103072.4,85618.07999999978,159145.36,95016.59999999999,91374.8,151381.00000000003,195762.52000000005
30,236684.76,165442.59999999998,173825.67999999993,123780.46,95361.04000000001,175948.91999999998,99214.32,110192.96000000004,164117.00000000006,205029.8
31,257570.00000000003,198473.4,214904.6,145355.0,94445.0,188009.59999999998,125283.0,127844.60000000006,175981.0,219004.8
32,268265.96,200896.4,229974.04,166848.59999999998,100855.79999999999,212623.4,151845.63999999993,170867.56000000003,180094.4,229451.68
33,269852.96,218338.5599999999,242500.23999999996,183036.67999999993,109043.59999999999,255399.28,180693.48,198333.72,194841.80000000005,258333.32
34,273909.32,234897.16,258075.02,190575.92,116695.66,256784.04,197577.40000000002,200079.96,212301.00000000003,263825.16000000003
35,278084.12,239244.59999999995,260251.76,195421.04000000004,136169.76,266851.51999999996,202427.56,219563.88000000003,235031.00000000003,276236.08
36,299036.0000000002,256404.4,261944.3,217802.79999999996,136774.1,275877.2,235399.0,244898.8000000001,239064.0,296496.4
37,321548.8,274984.24,276560.39999999997,218902.6,138444.96,276956.92,255466.32,248424.32,253027.6,299580.39999999997
38,347249.36,277276.96,282198.14,237244.84,147214.59999999998,283810.36,258694.2,267108.04000000004,257340.20000000007,303999.88
39,349724.60000000003,278030.75999999995,287637.04,240377.48,160360.47999999995,294209.04,274157.16,267860.24,272548.6,319486.44
40,358535.32,286824.6,298811.5999999999,244905.31999999995,197494.66,299226.76,274138.56,270241.72000000003,275102.0,324971.72
41,365738.2,301231.8,312104.9999999999,248201.8,226317.0,313168.00000000006,275873.6,272415.8,275274.0,334804.2
42,366781.36,312028.19999999995,325930.39999999997,264301.98,245888.12,332302.7199999999,280115.12,275200.80000000005,299483.4000000004,336359.4
43,367825.96,341026.2,338648.79999999993,269898.4,255125.2,364041.64,296092.52,284283.04,308739.0,362388.39999999997
44,374672.0,363927.55999999994,372951.41999999946,304001.14,257559.12,369104.56,299788.0,292135.1600000001,334844.5999999999,383929.16
45,392487.4,381518.88,380642.6,327432.88,257969.12,370462.68,315859.88000000006,312590.4799999999,361863.00000000006,387952.5600000001
46,401958.4,381581.8,383564.6,345275.4,272286.39999999997,378156.99999999994,339427.79999999993,340140.4000000002,372613.0,390946.8
47,404002.20000000007,380328.32,381869.44,353445.96,274921.52,409217.68,360125.92000000016,363605.95999999996,375692.0,404920.00000000006
48,422027.4,382199.36,383286.18,354889.34,278197.42,425774.0399999996,369449.12,371530.12,375098.6,408962.08000000013
49,454856.07999999996,401033.16,398527.07999999996,365361.3199999999,279594.04,433864.44,373218.27999999997,372965.44,376217.2,418871.44
