index,242_1_www.dmca.com,242_2_www.dmca.com,242_3_www.dmca.com,242_4_www.dmca.com,242_5_www.dmca.com,242_6_www.dmca.com,242_7_www.dmca.com,242_8_www.dmca.com,242_9_www.dmca.com,242_10_www.dmca.com
27,1144892.52,1143919.64,1209300.5599999998,1165246.1600000001,1207016.399999999,879411.8399999999,841954.04,1164680.36,1146793.6,950459.3999999997
28,1176873.9999999998,1150735.12,1261107.48,1243231.3200000003,1294227.16,1027551.8399999994,990231.6400000001,1192058.7199999997,1191480.9,1140665.1
29,1228643.04,1154525.72,1268593.44,1273706.4,1384144.52,1140927.8800000001,1085428.3599999996,1275435.96,1228711.0,1145782.8
30,1279074.32,1159717.62,1272485.52,1337275.080000001,1506870.96,1147031.84,1143330.88,1283106.44,1271493.0,1187454.9
31,1290843.4,1242647.9999999995,1289718.8,1487849.6000000003,1683848.6,1150713.5999999999,1169553.9999999998,1308821.3999999997,1329078.0,1265798.0
32,1349860.7999999996,1281371.1,1333709.7199999997,1690718.1200000015,1869257.72,1167942.44,1270944.66,1403138.02,1404839.5,1289518.7999999998
33,1395690.32,1298179.44,1446303.64,1902392.2800000005,1942495.76,1185950.64,1292439.0,1426805.44,1500446.6000000003,1371659.7999999993
34,1400699.36,1318110.78,1555314.6000000003,1909269.52,1947949.24,1190692.14,1349648.06,1428480.32,1699979.3999999997,1524848.3999999985
35,1421203.24,1383540.04,1725860.5599999998,1942675.0799999998,1954001.88,1240021.48,1385528.32,1596011.3599999992,1805343.8,1707709.5999999985
36,1475941.0000000002,1415713.1,1824239.4,1951631.6,1955859.2,1352697.4999999998,1391367.8,1778620.7999999993,1818213.0,1799745.0
37,1601925.5600000003,1436290.16,1926419.4000000001,1953612.92,1964830.84,1420390.68,1411367.92,1927489.0399999998,1819427.2,1905815.6
38,1739368.3199999998,1497891.2800000003,1952009.6,1960221.84,1998495.52,1430916.72,1416485.2,1962286.2,1825512.6,1921272.8
39,1901908.0799999991,1610435.56,1957974.88,1970786.36,2013318.96,1458242.12,1441465.24,1969667.48,1834973.2,1943691.8
40,1953778.72,1769771.439999999,1964301.64,1977446.96,2014484.08,1547097.1999999995,1485756.6799999997,1989160.799999999,1869985.2,1947754.9999999998
41,1958932.4,1967949.2,1973876.4,2016604.4000000001,2047516.6,1694769.0,1642344.6000000003,2018839.2,1988245.0,1951695.0
42,1962665.76,1971653.52,2005349.16,2019375.96,2059421.12,1849609.1199999996,1821522.7,2056457.3,1989103.1,1962878.8
43,1964562.88,1986276.24,2010478.96,2054332.0,2061307.36,1957807.56,1950168.24,2064042.76,1998323.6,1995470.8
44,1972628.6,1993306.78,2013067.92,2054439.16,2075178.84,1966694.54,1953394.82,2060350.18,2012239.0,2017476.7999999998
45,1973647.12,1998667.84,2054823.04,2069789.72,2126801.96,1996896.3599999994,1962331.72,2071323.4,2052318.8,2021662.4
46,1982029.9999999998,2032587.4,2059167.6,2074087.8,2146343.0,2007357.3,1962665.8,2124269.4,2079763.5,2054346.5
47,1998791.4399999997,2052916.1599999997,2068022.76,2124762.76,2148621.68,2015644.04,2007410.04,2126276.48,2113886.8,2055852.8
48,2027540.68,2071233.68,2122412.96,2132734.48,2155423.36,2030094.86,2009806.98,2131893.54,2116767.3,2058889.3
49,2060769.84,2075391.24,2129776.32,2132168.16,2225401.32,2053182.5999999999,2028547.8,2139482.36,2119737.6,2068411.9999999998
50,2072147.24,2088074.96,2130602.88,2132293.92,2372927.88,2061186.44,2053876.46,2140617.92,2119813.9,2124577.2
