index,387_1_www.netzkino.de,387_2_www.netzkino.de,387_3_www.netzkino.de,387_4_www.netzkino.de,387_5_www.netzkino.de,387_6_www.netzkino.de,387_7_www.netzkino.de,387_8_www.netzkino.de,387_9_www.netzkino.de,387_10_www.netzkino.de
33,7422137.199999997,6231673.800000001,9844605.36,8668310.759999998,15354278.2,7098906.199999999,8750231.48,7109912.799999999,7822766.84,7822464.159999997
34,7893071.599999999,6704006.0,10371255.48,9125458.159999998,16027862.78,7499250.8,9272546.8,7711901.4,8332499.839999998,8292554.6
35,8385782.999999999,7184939.56,10802339.76,9404770.999999998,16722794.239999998,7827529.68,9733538.0,8318916.199999997,8852631.319999997,8763267.799999999
36,8890900.0,7720421.600000004,11037202.200000001,9881056.0,17461695.199999996,8219275.999999999,10228825.799999999,8928561.0,9312792.0,9246826.0
37,9392425.599999998,8219494.2,11403234.16,10255480.4,18226046.799999993,8606378.0,10542980.04,9449879.399999999,9738312.440000001,9841124.879999999
38,9778754.6,8677262.72,11909569.719999999,10823614.279999994,19011512.8,9054769.68,10818960.76,9940119.599999998,10128143.66,10374128.7
39,10068019.4,9003134.360000007,12469484.559999999,11369712.359999998,19796512.84,9536758.36,11192946.88,10524479.600000001,10595198.24,10849429.04
40,10298508.999999996,9456265.8,13080485.2,11961892.2,20554777.02,9957390.399999999,11473965.92,11004933.0,10955289.7,11338613.799999999
41,10603908.0,9894446.800000003,13718419.0,12538111.4,21231367.0,10312912.6,11765521.4,11355298.0,11270872.6,11790522.2
42,10843764.6,10272574.520000001,14274831.8,12946531.159999998,21878101.28,10692251.3,12015797.999999998,11856325.799999995,11688424.44,12213785.46
43,10973748.6,10728669.44,14855031.36,13177922.479999999,21957261.04,11171347.2,12402267.76,12411448.0,12130084.64,12294654.32
44,11141964.4,11136057.960000005,15342226.520000001,13486796.36,21979206.86,11548513.799999999,12923056.52,12827047.1,12298263.06,12312891.58
45,11305100.999999998,11635876.6,15679614.76,13769363.52,22005186.24,11929256.44,13434088.0,12897591.2,12321945.48,12328160.76
46,11553843.0,11891983.0,16029127.0,14174642.999999998,22044549.6,12178780.1,14046241.2,12901842.0,12414593.4,12330561.8
47,11744936.0,12362065.4,16491135.639999999,14660993.04,22149208.88,12316281.92,14575458.559999999,12914286.2,12422022.76,12437731.6
48,11975988.2,12832697.840000005,16854393.8,14992920.6,22179741.66,12338185.14,15031204.96,12938469.6,12447375.2,12465895.52
49,12072707.2,13230594.560000004,17301808.759999998,15380168.6,22186263.759999998,12340925.6,15210877.079999998,12954726.2,12476965.44,12483863.92
50,12267992.799999997,13413816.84,17589010.4,15588912.959999999,22212751.04,12386890.12,15699275.48,12967640.3,12490821.56,12507556.239999998
