,374_2_www.kino.de,374_3_www.kino.de,374_4_www.kino.de,374_5_www.kino.de,374_7_www.kino.de,374_8_www.kino.de,374_9_www.kino.de,374_10_www.kino.de,375_1_www.kino.de,375_2_www.kino.de,375_3_www.kino.de,375_4_www.kino.de,375_5_www.kino.de,375_6_www.kino.de,375_7_www.kino.de,375_8_www.kino.de,375_9_www.kino.de,375_10_www.kino.de,376_1_www.kino.de,376_2_www.kino.de,376_3_www.kino.de,376_4_www.kino.de,376_5_www.kino.de,376_6_www.kino.de,376_7_www.kino.de,376_8_www.kino.de,376_9_www.kino.de,376_10_www.kino.de,377_1_www.kino.de,377_2_www.kino.de,377_3_www.kino.de,377_4_www.kino.de,377_5_www.kino.de,377_6_www.kino.de,377_7_www.kino.de,377_8_www.kino.de,377_9_www.kino.de,377_10_www.kino.de
27,1546680.56,1436811.68,1337604.4,1330563.2,1453941.9,1236370.96,1427116.52,1171502.54,3225653.38,3577615.96,3622673.08,3868969.84,3110378.1,3099782.1,3160288.54,3224623.84,3383786.08,3177513.0,3416898.12,3087689.32,3339459.22,3168350.68,3098453.12,3206895.2,2971755.68,3156361.56,3134027.48,3312632.26,1886773.68,1376128.68,1773128.12,1676621.8,1557582.12,1387244.5,1623230.62,1746090.46,1719987.5,1553798.96
28,1558126.72,1442972.12,1380370.4000000004,1346832.9999999998,1481216.0,1280070.84,1446648.56,1326851.36,3354308.72,3607433.36,3646006.24,4142748.6,3190129.4,3176449.08,3204838.24,3255208.96,3702751.56,3201100.4,3530171.64,3112343.16,3447030.68,3258590.12,3112848.56,3235573.72,2998215.44,3180747.0799999987,3158877.44,3349693.4,1929163.48,1389846.08,1810618.92,1691656.9999999998,1584258.88,1418214.0,1617521.24,1779811.0,1737422.0,1567224.04
29,1578736.96,1454771.88,1441266.96,1363417.8,1491088.9,1326874.52,1450594.34,1394249.2599999998,3428485.1199999982,3836586.24,3676491.44,5581274.92,3229330.7,3204216.44,3233482.18,3287926.5200000005,5135885.44,3229728.8,3727633.58,3125986.24,3485382.92,3269890.92,3144267.3999999994,3252079.12,3009067.16,3205104.44,3181470.66,3372324.42,1953903.8,1410855.02,1845096.64,1721270.2,1645110.0800000003,1460298.0,1656788.8799999997,1802412.8,1753983.5,1616672.54
30,1585115.2,1464496.4,1454184.2,1400973.0,1508860.0,1359179.2,1476163.2,1427894.4,3669663.2,5197386.400000001,3910306.6,5736409.0,3248388.0,3332061.8,3248039.0,3326478.4,5297156.2,3244572.0,3764948.6,3185869.8000000007,3495897.2,3278825.2,3187717.2,3308457.4,3015589.9999999995,3236008.399999999,3204306.8,3381286.0,1969401.4,1418974.8,1858390.8,1734774.0,1667585.7999999996,1481098.0,1721696.6,1859740.6,1779203.0,1624982.4
31,1616968.12,1503837.36,1465872.08,1408294.8,1520337.0,1366326.68,1518047.06,1449199.18,3715220.5799999987,5600920.760000002,5320408.759999999,5808324.1000000015,3283692.0000000005,3474867.160000013,3287224.3,3344512.36,5999693.3999999985,3262886.8000000007,3793629.86,3204852.96,3512431.74,3339421.12,3210509.32,3331665.6,3049569.8000000007,3269920.12,3251627.12,3395600.7800000007,1981053.04,1424992.94,1869100.64,1750166.6,1686376.4400000004,1498151.0,1750156.5,1872550.24,1791127.5,1645426.62
32,1645475.32,1510252.32,1500388.8,1425482.6,1549113.2,1409656.28,1529813.48,1463215.76,4706421.839999995,6758585.48,5976670.92,6948467.560000007,3332311.4,3989729.600000006,3320381.84,3368100.16,6914903.64,3383126.8000000007,3829475.92,3229942.32,3533805.48,3355198.24,3222749.36,3357048.28,3085254.88,3279637.36,3251910.68,3427773.1600000006,1998259.48,1477215.0,1876539.76,1767014.6,1707041.88,1511511.0,1806297.04,1892575.4,1802595.0,1655892.44
33,1651504.28,1522819.46,1505724.44,1442928.6,1560620.9,1462471.68,1555750.88,1481143.9,6118287.159999995,6792157.08,7167603.919999995,8425930.06,3536035.8,5331038.880000001,3423975.9200000013,3410714.76,7346387.440000012,3475505.4,3839847.86,3247550.32,3559455.12,3375734.56,3244456.6,3375314.24,3091629.8,3350016.8000000007,3290070.9,3457051.44,2021756.5999999996,1484296.8,1911093.36,1790612.6,1711466.64,1525364.0,1817117.76,1911016.46,1827377.5,1677122.94
34,1692073.6,1534080.4,1522938.84,1455893.2,1578014.8,1471035.36,1570813.08,1486543.12,6878926.72,8167542.679999992,8485768.2,8922945.88,3862496.800000003,6265509.48000001,3538874.44,3574699.9199999985,8398953.64,3638816.2,3844035.28,3273499.16,3570905.68,3388359.88,3270347.76,3407701.72,3096883.84,3357361.16,3303238.4400000004,3470589.9200000013,2046211.08,1491213.24,1939748.96,1818079.0,1727196.28,1527241.0,1830814.96,1926231.16,1861890.0,1684328.88
35,1701419.600000001,1557061.7,1535592.0,1467412.0,1584488.0,1492307.2,1584131.8,1502834.6,6934839.0,8801219.6,8567164.6,8979423.0,5060870.5,6801463.9,3770440.7,3651742.8,9951312.400000002,3806955.0,3872360.4,3300449.400000001,3593161.7,3423451.9,3279944.2,3517500.7,3110405.4,3374481.6,3331169.4,3587113.5,2067954.6,1506430.4,1959267.8,1838276.0,1762013.6,1633892.0,1851801.3,1947042.600000001,1899784.0,1710520.8
36,1711047.2000000004,1583883.84,1554400.68,1515752.6,1611823.8,1503593.32,1590805.32,1517865.4,7666786.879999999,9119105.24,8591619.44,9010502.36,5179382.4,7816819.8,3809084.359999999,4194421.560000001,11177239.72,4713699.6000000015,3917138.8,3315055.52,3619773.04,3419971.52,3284734.64,3542633.24,3130559.52,3399530.84,3335061.64,3597636.600000001,2092807.36,1517170.5599999996,1973899.24,1874683.2,1799985.32,1994834.0,1873173.16,1966031.64,1943377.0,1749152.12
