,110_1_www.xing.com,110_3_www.xing.com,110_4_www.xing.com,110_5_www.xing.com,110_6_www.xing.com,110_7_www.xing.com,110_9_www.xing.com,110_10_www.xing.com,111_1_www.xing.com,111_2_www.xing.com,111_3_www.xing.com,111_4_www.xing.com,111_5_www.xing.com,111_6_www.xing.com,111_7_www.xing.com,111_8_www.xing.com,111_9_www.xing.com,111_10_www.xing.com,112_1_www.xing.com,112_2_www.xing.com,112_3_www.xing.com,112_4_www.xing.com,112_5_www.xing.com,112_6_www.xing.com,112_7_www.xing.com,112_8_www.xing.com,112_9_www.xing.com,112_10_www.xing.com,113_1_www.xing.com,113_2_www.xing.com,113_3_www.xing.com,113_4_www.xing.com,113_5_www.xing.com,113_6_www.xing.com,113_7_www.xing.com,113_8_www.xing.com,113_9_www.xing.com,113_10_www.xing.com
10,21978.600000000006,19024.800000000007,28815.6,39597.6,31657.6,19639.00000000004,36689.0,26188.4,23699.6,391616.0,67688.79999999997,35311.0,20891.8,400440.6,30432.0,30106.8,298054.8,424207.3999999996,25769.0,22069.6,35647.200000000004,41720.2,29564.400000000005,40530.4,34770.6,22092.00000000001,34804.8,51561.6,25509.0,21473.6,62207.19999999998,42423.0,23837.0,56283.19999999998,18671.2,24491.60000000001,43389.0,23894.2
11,24519.34,17749.88,27557.66,50614.96000000001,30988.38,33255.56,41342.6,24762.08,25613.119999999995,502646.0,114259.07999999994,37451.4,31685.16,466251.08,55197.80000000003,38754.92000000004,421190.52,508456.4,31735.2,23351.72,56073.91999999996,48261.48,29967.72,65731.18,35455.68,30692.36,35451.240000000005,55895.16,32072.0,25592.42,68173.16,44096.3,32897.99999999998,69636.24,31986.679999999997,33914.72,58278.0,25902.74
12,23160.720000000005,21416.24,26607.04,53694.88,31869.76,31932.48,69408.40000000001,31400.52,32703.96,632296.7999999997,175671.28,81405.39999999997,29425.96,527498.36,95199.0,95469.6,580769.48,623151.5199999999,32803.799999999974,23488.76,67928.04,47906.72,33661.68,68070.88,52339.88000000001,28441.12,41432.76,76158.8,31228.0,25794.559999999994,72452.96,44886.6,33886.8,75186.84000000001,43617.48,36836.240000000034,61578.0,26744.08
13,30855.020000000004,26448.22,29872.24,54655.68000000005,34038.359999999986,30559.48,83620.0,34340.680000000015,38996.15999999993,774531.2,192105.8,135317.59999999998,38970.34,579513.8,161161.0,153104.72,686518.88,684886.32,40764.9,29099.28,71267.56,51672.36000000002,39334.15999999998,70914.71999999997,63193.75999999987,30915.559999999987,44232.96000000001,81138.48,32294.5,34997.119999999995,80934.95999999999,48316.3,52674.599999999984,108267.08,57796.56,42838.9800000001,72720.0,33597.82
14,31850.84,35052.43999999997,40015.16,80110.4,36690.08,32067.92,116555.19999999994,37462.36,79276.56,852094.4,245202.64,191235.0,43395.88,649924.4400000002,191749.0,192144.84,784319.1600000001,792002.52,39495.400000000016,37711.360000000015,75218.28000000001,55474.88,39802.72,76135.4,67672.15999999997,46425.68000000001,49054.84,113844.56,36865.0,37164.95999999997,122107.47999999982,52534.4,56676.2,128330.16,59521.72,45420.44,77282.0,39145.200000000135
15,41550.8,37467.4,41193.60000000002,88650.20000000003,38880.7,35909.8,150227.0,39558.6,135774.5,1012303.0,264351.2,250323.0,47489.79999999998,823172.6,234013.5,247348.00000000012,863472.4,909454.1999999995,51037.5,41119.60000000005,81523.99999999997,68681.20000000017,40698.60000000001,82438.90000000001,72395.6,49830.80000000002,69922.79999999996,133578.2,64337.0,41692.10000000001,134995.99999999994,72379.5,65716.5,135371.2,64024.8,50331.9,104480.0,71265.3
16,45413.72,44262.52,52513.04,153506.52,41464.72,39386.12,153601.8,41804.44,189162.68,1034674.0,266763.28,308473.2,101552.52,930932.4,286275.6000000001,298133.04,981524.16,1007612.12,71255.99999999999,46183.96,119063.27999999993,76622.24,44044.28,119592.96,75917.59999999999,53774.48,72734.92,144919.72,66334.0,69891.59999999999,147598.28,76912.59999999999,70164.8,151412.88,69561.68,70379.92,125793.0,78261.48
17,49942.06,46737.38,52525.42,155482.28,49007.72,43628.04,155547.80000000002,57593.39999999999,190668.86,1141729.0,332558.4,351918.0,170904.4799999999,1012724.44,332387.10000000003,319116.64,1022276.8,1030883.32,75875.99999999997,72336.76,132968.32,82821.71999999999,56398.40000000004,133992.24,80710.6,53593.06,75675.84000000001,158373.72,69554.0,72530.54,153827.27999999994,96442.2,75556.19999999997,158139.76,70176.68000000001,73644.84000000001,136009.0,109171.48
18,49982.24,62103.32,55028.68,173181.28000000006,63644.2,43661.16,189363.0000000001,73411.64000000001,193490.2,1223582.6,378502.2400000001,406889.7999999997,199052.08,1034737.36,336270.8,366135.32,1038827.2,1106676.7999999998,79669.40000000001,75994.84,142227.48,113764.2,83372.56000000001,143093.84,112655.92,64477.68,79915.28,159235.92,72926.0,77986.80000000003,175752.19999999998,116314.00000000006,111061.2,161736.12,74149.44,81234.64000000001,149565.0,127836.36
19,50316.32,62287.479999999974,56927.26,216222.7200000001,76547.3,44499.36000000001,225122.6,90162.88,221068.32,1330921.0,428340.9199999999,430563.2,278593.35999999987,1139115.36,340197.60000000003,391788.48,1051511.52,1254038.08,110976.19999999997,80040.20000000006,144866.12,132806.91999999998,88275.04,155142.28,130291.52,69321.28000000003,110098.28,163709.44,78353.0,113437.54,194355.12,128575.3,124879.9,169946.68,79924.52000000003,114518.06,154173.0,134784.12
