,58_1_www.microsoft.com,58_2_www.microsoft.com,58_3_www.microsoft.com,58_5_www.microsoft.com,58_6_www.microsoft.com,58_7_www.microsoft.com,58_8_www.microsoft.com,58_10_www.microsoft.com,59_1_www.microsoft.com,59_2_www.microsoft.com,59_3_www.microsoft.com,59_4_www.microsoft.com,59_5_www.microsoft.com,59_6_www.microsoft.com,59_7_www.microsoft.com,59_8_www.microsoft.com,59_9_www.microsoft.com,59_10_www.microsoft.com,60_1_www.microsoft.com,60_2_www.microsoft.com,60_3_www.microsoft.com,60_4_www.microsoft.com,60_5_www.microsoft.com,60_6_www.microsoft.com,60_7_www.microsoft.com,60_8_www.microsoft.com,60_9_www.microsoft.com,60_10_www.microsoft.com,61_1_www.microsoft.com,61_2_www.microsoft.com,61_3_www.microsoft.com,61_4_www.microsoft.com,61_5_www.microsoft.com,61_6_www.microsoft.com,61_7_www.microsoft.com,61_8_www.microsoft.com,61_9_www.microsoft.com,61_10_www.microsoft.com
11,23908.48,24447.2,26925.24,27308.32,45489.56,25340.84,26348.36,21356.6,270257.5,274062.80000000005,270162.38,273385.2,261895.82,434274.92,273224.19999999995,259795.6,256542.2,246247.6,262184.19999999995,254759.72,245466.51999999984,273538.2,272384.68,269723.44,273581.44,310857.64,269216.2,259358.8,56142.199999999844,52627.1,40865.59999999997,118919.31999999998,210344.96,47185.44,122947.72000000002,57012.240000000056,49815.64,187848.4399999999
12,27311.52,35359.200000000004,25366.04,28401.720000000005,78171.75999999997,28640.36,31906.079999999984,23392.88,292702.0,281225.6,310986.88,293639.32,269803.68,438593.92,280228.4,268736.96,263176.76,261926.44,281181.84,260650.44,262726.24,278799.12,278980.24,278169.32,278813.12,307995.88,276056.4,269458.4,112395.04,61617.2,40720.2,146561.79999999987,281900.6000000001,114356.84,143614.88,95015.31999999998,66197.20000000006,208036.96
13,50614.4,34580.4,26363.04,28322.279999999995,123706.83999999976,30910.239999999972,33812.44,30202.12,304071.5,300505.58,326931.52,300976.16,299641.14,435618.92,304646.54,272889.92,274579.4,260575.6,299440.96,269317.12,269646.8,295407.88,296343.48,298612.44,284787.64,333145.69999999995,284678.56,273357.60000000003,140454.52,80011.00000000003,41460.6,204581.23999999987,304382.16,182809.31999999992,179825.27999999997,108261.12,117521.64,283980.24
14,54208.4,44620.4,27082.439999999977,41874.24,187883.92,42476.92,39773.28,39056.88000000001,313759.0,320238.32,343213.8,321601.4,303338.88,476688.96,346686.16,299608.7600000001,294465.68,271890.28,336552.96,275027.36,278225.32,307958.64,308738.8,318167.0,304785.2,443309.44,292175.12,298086.84,179660.27999999997,114296.4,45501.8,252836.5999999999,302308.88,226982.1999999999,268823.28,119355.32,134133.36,300184.72
15,55299.8,53492.0,33288.4,44125.6,215711.0,45212.3,42496.2,40703.8,315506.5,367525.1,345607.6,340122.6,312907.3,642440.2000000001,371169.2,324918.2,302122.4,309940.0,337160.8,299242.10000000003,286438.2,318418.0,326170.0,363563.0,315966.0,550815.0,319530.2,315498.4,222254.59999999992,122438.0,47509.0,287193.0,325372.3999999997,290507.4,300465.5,194317.00000000012,188014.40000000008,312474.6
16,65768.64,93267.4000000001,37285.84,46188.56,220917.92,47619.92,46293.56,45055.84,337541.0,379826.72,348963.2,338198.4,336576.92,784419.4400000002,398058.44,338852.92000000004,310141.88,329151.92,335150.4,317841.80000000005,293193.48,338658.84,371627.24,373538.08,361614.56,781056.7999999998,348731.1600000001,354849.32,279290.12,174400.2,58653.999999999825,299747.88,341928.28,293353.92,303940.04,244586.36000000004,240874.72000000012,343185.16
17,67624.22,187585.0,39644.64,51593.28,227608.04,96480.39999999994,56991.72,57848.1199999997,335423.5,399114.6,346772.34,335989.16,339501.88,814561.68,433278.86,357434.8000000001,311589.52,338760.58,333103.8,361390.8,312752.32,381727.58,397508.64,379220.4,381363.24,935834.2,351397.32,397149.64,301464.72,213849.4,113663.99999999994,304242.08,357933.44,296849.87999999995,306063.86,289858.1,300312.2,341447.56
18,66552.04,259130.8,39600.6,52974.92,260533.96,133037.83999999994,86906.79999999994,127405.47999999972,333489.0,427028.1599999999,344706.04,333848.6,337500.68,821567.28,438966.76,400233.16,309817.04,341809.8,331148.24,385367.36,362627.84,435097.92,401713.16,387648.24,438499.28,1092004.8,350934.96,403190.68,305439.96,282145.2000000001,128186.4,302183.88,362511.44,296767.92000000004,310810.2,298152.56,304460.16,352437.64
19,65742.20000000001,260708.6,47143.60000000001,56895.04,265959.52,208055.9199999999,152322.0,214678.99999999977,351379.0,449347.12,342801.04,331911.12,335648.76,842433.76,445875.42,421055.5200000001,308016.16,340320.22000000003,329467.04,397507.32,377310.5200000001,435765.06,411649.84,391971.4,441343.28,1154094.18,348990.96,411558.76,313651.12,312412.1,171350.9999999998,311028.84,371156.12,303252.8399999999,346345.8800000001,299861.74,312243.32,357996.36
20,69035.2,271696.0,48586.19999999998,56177.0,272834.8,264767.4,238765.0,260952.2,458041.0,452346.8,365249.5999999999,329824.4,333869.8,851959.0,446419.6,423401.8,306354.8,338450.8,327601.6,403427.4000000001,384925.4,433830.4,411906.6,419959.8000000001,442133.8,1179653.4,348477.8,422088.6,344921.8,339650.0,244687.0,340729.2,374314.6,335544.8,352797.2,297756.8,343259.4,365990.6
