,165_1_www.symantec.com,165_2_www.symantec.com,165_3_www.symantec.com,165_4_www.symantec.com,165_5_www.symantec.com,165_7_www.symantec.com,165_8_www.symantec.com,165_9_www.symantec.com,165_10_www.symantec.com,166_1_www.symantec.com,166_2_www.symantec.com,166_3_www.symantec.com,166_4_www.symantec.com,166_5_www.symantec.com,166_6_www.symantec.com,166_7_www.symantec.com,166_8_www.symantec.com,166_9_www.symantec.com,166_10_www.symantec.com,167_1_www.symantec.com,167_2_www.symantec.com,167_3_www.symantec.com,167_4_www.symantec.com,167_5_www.symantec.com,167_6_www.symantec.com,167_7_www.symantec.com,167_8_www.symantec.com,167_9_www.symantec.com,167_10_www.symantec.com,168_2_www.symantec.com,168_3_www.symantec.com,168_4_www.symantec.com,168_5_www.symantec.com,168_6_www.symantec.com,168_7_www.symantec.com,168_8_www.symantec.com,168_9_www.symantec.com,168_10_www.symantec.com
10,140877.4000000001,145174.8,149440.80000000005,172635.99999999985,310521.0,260885.5999999999,251951.6,344139.6,346691.4,588427.2,477807.0,466988.0,479371.8,471538.00000000006,417042.0,376290.2,353928.0,364949.0,412014.0,296474.0,292889.80000000005,238661.8,296932.8,306993.4,323861.6,326048.4,245229.8,302247.0,258277.6,210069.4,220567.8,221521.0,230049.0,222692.8,225589.0,215558.8,226003.4,219595.0
11,189803.8,173613.19999999995,183301.12,229961.3199999999,342729.0,302406.6,285911.88,350205.04000000004,359073.62,670849.46,476394.5,596777.9999999999,599875.72,591206.2,417949.0,394109.02,356085.8,396441.46,474529.12,321086.4,328791.4,289644.2,317112.12000000005,324007.74,331024.24,356269.6000000001,267529.64,324567.04,298174.08,230213.56,226110.24,226856.5,282168.87999999995,231448.68,283783.0,216145.96,242673.07999999996,229969.16000000003
12,259335.64000000013,214238.68,239474.56000000003,261454.24,362703.0,358253.52,335705.19999999995,363073.56,373663.72,815689.76,609522.0,639600.8,645952.8799999999,686494.7999999999,517704.0,448041.76,398114.0,438824.8,480321.08,328136.6,332269.16,318940.44,328430.68,328590.04,334895.56,413755.2,292061.76,357252.6,307117.68,250501.8,249239.72,249624.0,286736.75999999995,258748.44,293291.0,232680.32,284720.68,236477.96
13,321237.4,250647.3,356838.68000000005,320115.12,399436.0,420610.96,405201.96,374085.72,422800.76,1014225.56,810690.0,748399.2,738870.3200000002,712212.72,582099.0,490554.7,405383.6,500818.36,502560.16,330304.2,351139.04,341865.1600000001,329268.44,332369.98,342927.26,446526.8,313428.84,359713.78,346787.5199999999,261928.74,272535.96,293285.5,319406.12,294302.92,320922.0,235365.8,290414.04,293810.68
14,383853.08,326028.0799999995,390703.2000000007,371729.84,440236.0,436093.56,429384.4799999999,418493.0400000002,425394.32,1042428.92,1024935.0,890263.3999999998,951963.0399999996,857350.5199999997,744791.0,586929.0400000003,446121.6,508935.96,522818.48,346617.4,359793.56,355952.8,334593.64,329152.84,352690.04,456883.36,350829.8,369701.08,359785.76,285579.6,298657.92,303751.0,322202.28,317357.15999999986,325822.0,287709.36,296171.92,296597.88
15,417551.00000000006,424513.3,429324.00000000006,419219.0,459427.5,466142.2,472245.5999999999,425073.6,458133.79999999993,1104191.6,1165829.5,1043488.0,1040297.8,968132.4,875819.0,630959.8000000004,468611.0,518844.6,555871.0,343702.0,366710.8,376709.00000000006,331179.6,348916.49999999994,349492.3,463006.00000000006,414515.8000000001,366170.6,371144.3999999999,319661.5000000001,320577.3999999999,329167.5,328057.6,328570.4,328689.0,296247.3,322188.99999999994,327431.6
16,443589.92,450459.31999999995,450051.68000000005,447301.12,480306.0,483413.28,511609.84,456058.08,476451.4,1179769.6,1175147.0,1114676.5999999996,1118984.96,1132410.88,986392.0,677622.9600000001,497448.2,552599.52,596804.16,343730.0000000001,363729.36,388292.28,337551.28,411414.16,365925.99999999994,461625.28,459243.6,389433.84,372350.36,329842.4,347811.24,333967.0,344858.48,330999.12,399196.0,328855.56,330655.72000000003,337816.04000000004
17,477337.76,459820.98,465912.68,465497.54,496201.5,486639.9,543447.1199999996,475983.32,479052.84,1329656.5799999996,1341263.0,1173045.6,1243548.24,1333188.84,1161578.0,719501.98,528969.0,607396.3,616573.04,383382.4,391008.4000000001,385623.4,347895.68,446611.7,406445.1,487940.2,471188.52,416522.3,370928.52,369256.44,377072.64,356258.5,390705.88,337255.92,462187.0,330203.02,334560.38,356702.44
18,487382.84,462899.8000000001,478252.24,467110.16,498776.0,483963.48,549449.36,479361.96,477163.48,1433697.36,1393329.0,1270937.2,1368554.12,1428794.5600000003,1320640.0,779251.48,546426.2,683166.0,652613.6799999999,387692.2,395156.8,392619.56,361061.72,497174.32,447272.28,538940.16,480600.72,431675.36,376881.76,402485.28,374895.96,411660.0,447972.72,403190.24,464344.0,333439.52,392948.4799999999,402406.7199999999
19,556909.0000000005,463476.78,489087.44,464560.92,495763.0,503879.2799999999,578106.8799999999,478912.04,474924.68,1561919.38,1410895.0,1387346.4,1388909.8,1551899.16,1463840.0,835438.1000000002,559234.2,737698.84,703025.84,401083.4,410281.76,462239.96,384774.68,551015.64,507556.73999999976,623670.1200000001,486906.24,451338.06000000023,448817.96,399540.46,383255.6,491927.5,464538.88,471284.32,552389.0,373197.52,469289.3,471813.68000000005
20,612859.6000000001,460912.0,555945.4,464935.2,497844.0,520471.8,628060.6,483389.6000000001,501218.79999999993,1560627.6,1558047.0,1528243.0,1551432.4,1554471.8,1580410.0,841021.4,612582.0,763315.8,735155.1999999998,423425.0,438038.20000000007,506228.2,391704.4,580036.2,526777.3999999999,695600.8000000003,489819.4,485855.4,488942.0,425805.8,425044.2,489748.0,476829.2,473998.8,621947.0,453670.00000000023,595668.3999999993,487960.4
21,613753.28,465991.76,603543.96,474162.48,500670.5,587166.7,656476.04,541757.6799999999,570917.34,1574382.16,1561805.5,1556607.2,1552069.92,1563818.96,1632294.0,854656.26,655559.9999999999,799839.54,768142.2,468006.4,452100.28,603082.68,421971.3999999999,639700.1,595368.5199999998,739079.6000000002,534201.9600000004,511103.88,565901.26,435957.8,448272.04,542214.0,538762.04,474901.44,625256.0,483919.08,599812.18,485723.16
22,631204.1200000002,496032.04,611206.4,502306.9599999999,521035.0,642386.08,678159.4,589064.56,672033.44,1586042.2000000004,1575006.0,1556279.8,1561511.92,1595087.1599999997,1639637.0,892323.88,717640.0,874817.88,877236.8399999997,516934.4,491456.16,621065.48,435748.76,679169.48,611744.28,773496.2000000002,554207.72,562264.9200000003,640898.7599999999,491991.16,468039.76,604715.0,652629.72,533861.8399999997,759215.0,487454.92,670812.84,587756.5200000004
23,689359.56,536909.6999999997,611208.2,511974.22,524123.0,689320.8999999999,699446.6,655628.1200000001,723135.5999999999,1624847.64,1578523.5,1571085.4,1575044.48,1607633.2,1647708.0,942033.4,783386.4,950020.4,976391.48,535839.6,516118.32,678690.32,480987.92,705388.2999999998,702980.34,840300.8,633568.6,581031.7000000001,719677.3400000002,495852.12000000005,519893.16,679658.0,709659.3599999995,653642.5599999998,861144.0,605262.7,738266.48,705026.3200000004
24,709836.6400000001,581576.12,629588.88,529030.4,568882.0,728168.84,736630.8399999997,743085.48,740577.08,1629470.2,1610548.0,1582183.9999999998,1583893.44,1613179.08,1653748.0,985051.36,839467.2,1008778.2,1023936.28,588442.2000000003,530191.92,733738.04,501296.84,783110.4800000002,752533.2,1016258.36,719529.8400000002,652529.6,782267.9600000002,532128.5599999999,612813.0400000003,730037.0,795115.64,734799.68,868731.0,707683.92,863959.04,794225.28
25,757213.0,643354.5,705700.0000000006,573699.0,588398.5,758725.5,765176.0,783466.0,763690.5,1810489.0,1642717.5,1617188.0,1621031.0,1732769.0,1664000.0,1023663.5,898964.0,1080703.5,1088541.0,645589.0,561358.0,807942.0,560412.0,834265.5,839004.5,1081686.0,828630.0,711439.5,883571.5,577568.0,640558.0,792537.0,863086.0,839403.0,884450.0,774703.5,865566.0,864587.0
26,794287.4400000002,667725.0400000003,721314.2000000002,598635.52,605475.0,825870.24,831849.7599999999,787731.7600000005,785655.92,1852731.64,1773990.0,1616395.0,1722269.9200000004,1794625.44,1665814.0,1043280.36,1017099.6,1175108.08,1134999.8,727549.6000000002,596096.0399999999,854872.6000000002,638002.72,893213.2799999996,871380.68,1175689.48,872495.8400000004,764337.0399999998,974020.84,617750.4400000001,679218.1199999996,844395.0,869736.12,875763.4,963988.0,847456.32,868334.6,867822.64
27,870010.04,716426.52,761044.0,627264.9999999999,629787.0,909135.3,877157.32,878248.6000000002,800762.0,1869508.92,1824218.0,1697413.0,1799898.44,1805668.88,1700175.0,1105924.88,1139349.0,1240006.66,1223984.36,826509.6000000004,638307.4,945047.6000000002,690533.6000000001,947490.4,933939.7,1275677.2000000002,1003304.8800000005,842346.2999999998,1106020.36,655587.2999999999,767304.9199999997,877066.0,923438.7199999995,881969.5599999998,996575.0,877409.32,874430.38,873829.04
28,903713.68,769792.5999999999,779791.2000000007,671994.7999999999,656914.0,992347.36,907884.52,945970.4,870782.7599999997,1911903.68,1876409.0,1814229.2,1815341.32,1822154.32,1814899.0,1172695.0800000005,1281130.6,1349773.2000000002,1261149.76,884185.0000000009,690895.64,1056193.4,735700.4,977081.68,978009.4,1345451.8,1246588.5599999998,915042.2,1275691.8800000004,702862.2,880804.36,880369.0,996911.92,887857.44,1049964.0,880144.3200000002,959736.9999999999,876551.4
29,1047436.76,800977.7999999998,885820.6800000005,739367.8399999999,771232.0,1023161.16,946181.4,1021533.84,941454.76,1948128.18,1901733.5,1868262.8,1823965.64,1941067.04,1838378.0,1228729.82,1383784.1999999995,1445821.88,1277629.8,1001357.6000000004,775928.7200000002,1137626.68,785222.92,1057500.18,1055998.2799999998,1391976.4400000004,1440025.64,991452.1,1376436.28,737368.28,962570.0,979063.0,998570.84,943413.8,1162806.0,983372.66,1002997.12,975924.32
30,1138436.4,847942.2,955558.4000000006,815965.9999999999,870460.0,1078374.2,1007639.4,1079396.0000000007,999606.5999999995,1958666.6,1987219.0,1882793.0,1854176.6,1961503.2,1855077.0,1261336.8000000005,1433092.0,1506051.2000000004,1338173.0,1110033.0,837477.4000000001,1162157.2000000004,832004.2000000003,1083383.6,1129574.6,1454249.0000000002,1609009.6,1102293.2000000002,1528252.7999999996,768772.6000000002,1075718.5999999994,1005990.0,1084298.0,1013646.9999999999,1206728.0,1005248.4,1047080.9999999999,1003201.2
