,286_1_www.dkb.de,286_2_www.dkb.de,286_3_www.dkb.de,286_4_www.dkb.de,286_5_www.dkb.de,286_6_www.dkb.de,286_7_www.dkb.de,286_8_www.dkb.de,286_9_www.dkb.de,286_10_www.dkb.de,287_1_www.dkb.de,287_2_www.dkb.de,287_3_www.dkb.de,287_4_www.dkb.de,287_5_www.dkb.de,287_6_www.dkb.de,287_7_www.dkb.de,287_8_www.dkb.de,287_9_www.dkb.de,287_10_www.dkb.de,288_1_www.dkb.de,288_2_www.dkb.de,288_3_www.dkb.de,288_4_www.dkb.de,288_5_www.dkb.de,288_6_www.dkb.de,288_7_www.dkb.de,288_8_www.dkb.de,288_9_www.dkb.de,288_10_www.dkb.de,289_1_www.dkb.de,289_3_www.dkb.de,289_4_www.dkb.de,289_5_www.dkb.de,289_6_www.dkb.de,289_7_www.dkb.de,289_8_www.dkb.de,289_9_www.dkb.de
27,1653616.72,1812122.8800000004,2054077.88,1991879.4,1734943.12,1594086.28,1682719.88,2045394.84,1781817.64,1986994.52,640605.4800000001,640869.88,631546.8,640807.3200000001,638469.42,646003.5599999999,587706.6,636659.28,637908.44,645713.12,974549.6199999995,944271.06,922724.44,1058649.5600000008,801875.0,967945.3600000001,1120460.36,1116819.32,809418.88,734947.0799999998,997945.48,1088816.0,1268110.4,1066680.04,904802.2,1136510.92,794431.7999999998,1012139.6
28,1758905.159999999,1918467.24,2163162.08,2148459.1999999997,1864269.28,1703272.32,1772752.04,2145573.88,1880482.16,2069850.4,646389.68,647348.28,636963.6,640584.76,639260.12,646942.52,636376.24,639739.28,638764.04,647322.16,1048814.68,1008678.0799999995,982153.16,1153926.72,866809.5999999999,1021487.8,1187437.24,1174710.2799999998,899924.5600000003,765536.4,1054048.72,1132557.0,1359757.6,1140195.6400000004,964882.9999999995,1217645.8799999994,877364.44,1092834.4
29,1879790.56,1991275.92,2283276.04,2269542.8,1997911.44,1810439.76,1879573.4,2283726.64,2003350.28,2155960.4800000004,648412.24,649201.66,634308.7000000001,642834.48,641626.78,648857.86,640020.48,648563.72,641004.72,648840.84,1125789.8,1111680.66,1055346.48,1170607.4,953783.2,1090599.3199999998,1281239.7199999995,1301166.4,936815.16,850577.7199999999,1135158.6,1183788.0,1455212.7999999996,1203633.72,1050680.5999999994,1333150.12,912727.24,1176090.76
30,2021207.1999999997,2085474.4,2416058.4,2383431.0,2138890.8,1928266.2,1962614.2,2393476.4000000004,2112579.6,2273815.2,646623.2,649130.2,636145.0,644283.4,648312.6,649459.2,637861.8,645900.4,644134.8,646748.8,1160406.0,1157339.0,1127123.6,1219015.8,1044714.0,1151974.8,1370231.0,1408368.7999999996,1028320.0,897349.2,1218523.2000000002,1220427.0,1544934.0,1262915.4,1144949.0,1378279.8,1033324.4,1256117.6000000006
31,2124701.32,2226517.84,2527301.56,2493947.4,2253110.4799999995,2055830.24,2079079.84,2513486.48,2208337.24,2386467.120000001,675637.16,649325.46,638996.4,648799.28,647462.22,653397.76,640134.56,647703.0800000001,646539.42,650701.56,1178975.56,1231722.6800000002,1199861.72,1283391.4000000004,1122095.0399999998,1219007.2,1467562.68,1517316.96,1120360.88,933372.12,1299275.64,1246520.0,1636809.1999999997,1342355.8,1225586.6,1426911.56,1121574.96,1326953.12
32,2257623.04,2340781.96,2645133.28,2595737.8,2339499.52,2203191.28,2174420.64,2632168.8000000003,2314969.44,2485834.3200000003,678103.96,649709.84,643706.8,648245.16,647617.92,655748.28,640581.32,653115.48,647080.12,657094.12,1257192.5599999996,1320374.44,1304301.56,1364063.7200000004,1162653.56,1319868.64,1530708.76,1596208.5599999996,1227415.6,1021976.0399999996,1411651.68,1293013.0,1715698.8,1410642.76,1309442.9999999998,1465949.48,1202314.64,1413628.72
33,2402924.28,2480015.8000000003,2773506.44,2722846.2,2439733.28,2328149.3200000003,2322374.52,2777355.88,2431657.96,2614380.36,676720.4,680658.1,646407.8999999999,647474.16,643109.76,654300.46,645079.52,653454.62,651044.66,657456.44,1380458.28,1406602.72,1384903.7600000002,1436703.8,1224198.64,1408402.16,1643507.88,1683652.48,1312881.9200000004,1119891.56,1492705.72,1371474.0,1786309.6,1495720.5200000003,1405285.1999999995,1549143.2399999998,1296606.32,1502150.36
34,2531301.36,2612430.52,2873997.76,2833046.6,2552511.44,2466892.56,2458195.04,2925656.3200000008,2532823.44,2773172.52,701335.0799999997,717493.12,677849.6,669853.3599999999,645139.04,655492.52,649077.84,654771.56,648041.68,657260.5599999998,1482455.28,1493339.08,1459495.08,1561599.6800000004,1319503.3199999998,1506478.4,1734452.12,1742069.04,1426057.48,1159889.44,1540148.96,1459439.0,1847436.8,1563103.32,1496074.6,1628172.04,1373713.7599999998,1563691.6
35,2669967.4,2745660.4,3001120.6,2973983.0,2662591.6,2604493.4,2574577.8,3058051.400000001,2646370.600000001,2901658.6000000006,738471.2000000002,750135.7999999998,674962.5,703645.9999999999,664525.5999999997,693876.1,650609.4,655271.1,657956.1,684616.0,1554366.1999999997,1591836.9999999998,1514897.6000000003,1645961.6,1375226.7999999998,1595378.4000000006,1816425.0000000002,1822467.6,1500752.4,1271421.9999999998,1597646.0,1545885.0,1886022.0,1654067.8000000003,1559914.0,1721226.6,1444478.4,1656731.4
36,2771673.84,2879590.84,3122893.84,3085056.199999999,2765849.76,2728548.64,2716679.4400000004,3163167.04,2769133.92,3045388.3200000008,772322.6000000002,769014.5199999996,675082.8,720325.96,691975.24,694081.8799999999,648526.16,653509.68,668229.2000000001,691009.3200000001,1623777.28,1682329.88,1596105.32,1764064.4,1436935.32,1669081.68,1913744.08,1920478.96,1581334.84,1344935.44,1675685.24,1660365.0,1936869.2,1712689.4799999997,1632479.4,1767037.56,1529473.84,1726569.1199999996
37,2916304.36,3018918.56,3264572.12,3208338.2,2876147.52,2843060.6,2837631.3200000008,3314231.56,2907256.0399999986,3180988.24,807028.64,809451.4,676499.1,754920.52,695369.9199999999,708569.6200000001,654409.6,673022.9600000002,685356.4,726998.48,1686138.44,1776335.7199999997,1653889.5200000003,1849824.72,1519220.5599999996,1754098.88,1980086.76,2019759.92,1676003.840000001,1437576.64,1762105.12,1772750.0,1962964.4,1781999.56,1704264.3999999997,1823509.64,1614259.36,1803590.6800000004
38,3048731.1199999987,3122930.04,3391154.48,3331012.2,3005082.4800000004,2963581.12,2959093.92,3444628.88,3034258.56,3303092.36,802788.1200000001,820016.36,702703.0,776138.9199999993,720272.04,721926.6000000002,682236.04,707185.0399999998,720710.0,763294.3999999998,1763657.759999999,1859521.8,1736909.4799999997,1922212.2800000003,1614911.24,1839436.72,2053252.84,2117067.2,1765501.16,1511528.719999999,1873392.7599999998,1892383.0,1986883.6,1851844.84,1794724.1999999997,1896627.72,1699682.3199999996,1877410.4800000002
39,3155426.4399999995,3249603.52,3481593.24,3482578.6,3120526.24,3076321.16,3095805.16,3569673.24,3144473.48,3415314.2800000007,815679.4000000003,855136.96,754153.6000000003,810043.24,741912.7599999999,753741.8000000002,688830.96,726978.32,717531.66,796222.56,1825700.28,1950382.72,1831289.36,2048214.560000001,1706494.7199999997,1913965.2,2123715.3200000003,2196433.36,1854893.36,1578803.0399999996,1927800.4,1970134.0,2028546.8,1931454.5200000003,1873783.6,2003282.04,1778280.56,1952519.96
40,3305030.7999999993,3379704.2,3598910.4,3610075.0,3246110.400000001,3177875.9999999995,3225041.6,3682797.2000000007,3282758.8,3541023.800000001,849283.2,884615.0,784554.0,810658.3999999998,754632.0,781572.6000000002,704464.0,743532.0,745995.2,810336.9999999999,1875054.8,2050456.2000000004,1885057.8,2141561.4000000004,1758954.1999999997,2001593.6000000003,2193963.2,2291499.4,1959063.4,1646787.6,2010647.6,2042467.0,2068178.0,1981310.2000000004,1946113.0,2064404.4,1844233.6,2025378.0
41,3392623.64,3528921.0400000005,3702875.16,3737251.4,3369246.56,3288410.56,3350236.24,3813150.1200000006,3380676.52,3670010.12,854293.64,905751.14,800046.8000000002,848448.3200000002,789796.4,809973.7200000002,746480.2,794284.08,771754.8,817132.7999999998,1943658.06,2164858.72,1978822.24,2245147.4000000004,1866911.36,2107920.5600000005,2242846.88,2362547.96,2056877.84,1714303.0399999996,2116859.16,2112577.0,2116827.2,2064787.96,2012864.4,2092853.92,1913367.64,2074025.4
42,3523142.56,3635101.48,3839760.56,3888520.2,3472689.9199999995,3429537.84,3486821.880000001,3915935.7999999993,3497660.64,3788611.4,861822.72,909336.6,802510.0,892240.4400000002,818643.0,842029.7200000002,789593.2799999996,812837.28,820729.0,830714.32,2053616.84,2262390.28,2035006.0400000003,2342019.3200000003,1920766.84,2193140.8000000003,2338732.08,2405620.96,2157692.48,1798554.239999999,2195117.36,2150874.0,2152170.4,2122167.16,2081871.8,2146561.32,1990007.48,2184289.92
43,3649115.96,3745381.9200000013,3920971.8,3959032.4,3573891.2,3545922.44,3636893.52,4073657.98,3639129.64,3891895.64,896391.3600000003,913455.72,824735.5999999999,905843.08,843084.98,868625.1799999998,806256.6000000002,826750.6,843054.5,863709.3999999998,2148000.2,2343501.08,2110660.96,2406426.44,1983747.44,2296885.4400000004,2358622.12,2410718.36,2245758.5200000005,1858157.12,2270010.92,2218417.0,2201859.2,2201792.64,2165975.2,2229632.12,2080016.28,2232150.2
44,3768353.92,3880432.680000001,4032354.44,4074286.2,3660131.44,3656252.16,3795154.36,4079687.84,3788952.0399999996,3990947.08,914243.92,918015.96,852679.2,909888.6,861650.4,903106.92,815197.9599999998,862435.8,862571.64,899041.96,2242792.92,2407909.04,2198620.68,2412353.08,2062009.32,2359481.72,2368093.84,2409833.68,2330857.120000001,1918570.24,2359770.12,2310536.0,2267673.2,2276014.8,2230494.6,2276865.24,2151359.16,2309563.28
45,3873729.4,3954281.6,4069447.0,4080329.0,3762635.0,3787219.4,3894943.8,4085428.9,3896352.4,4073778.2,920158.0,943685.8,858172.0,915738.4,892122.7999999998,919350.7,848477.2,904875.1,897924.1,917616.3999999996,2318265.2,2414322.9,2291977.0,2410813.9,2107097.6,2406753.2,2414356.2,2416867.4,2410749.2,2015895.6,2460795.6,2387987.0,2321259.0,2358052.6,2280682.9999999995,2347413.4000000004,2220491.8,2383187.4000000004
46,3967727.68,4042048.04,4075319.68,4084820.4,3846771.96,3888352.76,3991989.44,4084607.28,4026024.359999999,4078831.84,920279.0400000002,979487.84,860762.4000000001,915158.4,913076.72,924780.68,862288.4,915096.96,912561.36,922970.28,2370329.92,2412947.72,2372890.12,2417994.36,2193206.2,2409362.96,2417022.72,2427428.12,2417176.68,2083019.16,2529731.8000000003,2456352.0,2443514.2,2428176.68,2366146.4,2426542.28,2311218.24,2426776.76
47,4064185.96,4082511.56,4080706.18,4091574.8,3948413.72,4002903.04,4066948.04,4092089.56,4068431.18,4085325.04,951021.3600000008,1001267.68,894985.4000000001,956860.8399999995,913650.2,925063.98,899872.7999999998,923387.14,917754.78,924513.0799999998,2414655.92,2473209.78,2415371.58,2445709.2,2265711.9599999995,2418526.88,2432407.76,2464458.36,2418672.84,2168728.84,2537270.8,2518923.0,2526719.4,2501309.68,2425224.2,2496252.68,2399059.48,2504083.68
48,4070829.92,4084931.4,4170816.28,4147390.399999999,4016479.76,4056004.4,4070856.28,4141045.2399999993,4074356.12,4084825.56,1002573.8000000002,1027966.6,903917.6000000004,1015949.2,918586.12,947966.4800000002,913227.4,926294.64,932181.68,928217.72,2419106.24,2532417.4,2418570.84,2477649.08,2343768.04,2465720.56,2509519.56,2497076.4,2448315.32,2262135.68,2538636.52,2529790.0,2532442.2,2528655.32,2479181.8,2533277.44,2472540.72,2528441.76
49,4073044.18,4086139.16,4185117.72,4193659.8,4071574.24,4060033.44,4075797.68,4204626.16,4077018.24,4168948.08,1044438.76,1053084.06,914107.7,1073804.7999999998,943939.04,991806.48,918054.92,936807.2000000004,990648.4400000002,955730.84,2419483.06,2538131.16,2419436.74,2487355.26,2412060.56,2524674.52,2557791.68,2542277.64,2513871.96,2353668.28,2548193.2,2535177.0,2532123.4,2529328.36,2526922.7,2555828.04,2529515.08,2531317.26
50,102.0,118.0,120.0,133.0,97.0,95.0,106.0,136.0,106.0,118.0,168.0,171.0,153.0,156.0,151.0,166.0,144.0,163.0,153.0,161.0,116.0,120.0,117.0,120.0,98.0,110.0,121.0,126.0,121.0,94.0,103.0,91.0,88.0,89.0,81.0,89.0,81.0,88.0
51,579.0,569.0,669.0,677.0,587.0,576.0,645.0,663.0,637.0,580.0,314.0,326.0,292.0,300.0,288.0,307.0,278.0,320.0,310.0,291.0,427.0,447.0,466.0,499.0,499.0,502.0,491.0,458.0,490.0,412.0,468.0,484.0,492.0,473.0,404.0,525.0,515.0,453.0
52,42562.0,50844.0,49805.0,49861.0,38784.0,38087.0,44389.0,55124.0,43945.0,46457.0,82463.0,80811.0,71454.0,79984.0,74325.0,77680.0,69351.0,77351.0,74937.0,74188.0,54071.0,58771.0,53552.0,54421.0,46561.0,59371.0,61750.0,61925.0,61037.0,45605.0,43484.0,34275.0,36222.0,33903.0,32113.0,36762.0,32557.0,36220.0
53,4118602.0,4170584.0,4235024.0,4296780.0,4116640.0,4104884.0,4148153.0,4355884.0,4167686.0,4313281.0,1134882.0,1205228.0,989771.0,1210573.0,1032973.0,1075512.0,988038.0,1066144.0,1095924.0,1065131.0,2501566.0,2596918.0,2522966.0,2542084.0,2463250.0,2632827.0,2695843.0,2680183.0,2611876.0,2450510.0,2634350.0,2575267.0,2582392.0,2572606.0,2563955.0,2654615.0,2566704.0,2572864.0
