,122_1_www.springer.com,122_2_www.springer.com,122_3_www.springer.com,122_4_www.springer.com,122_5_www.springer.com,122_6_www.springer.com,122_7_www.springer.com,122_8_www.springer.com,122_9_www.springer.com,122_10_www.springer.com,123_1_www.springer.com,123_2_www.springer.com,123_3_www.springer.com,123_4_www.springer.com,123_5_www.springer.com,123_6_www.springer.com,123_7_www.springer.com,123_8_www.springer.com,123_9_www.springer.com,123_10_www.springer.com,124_1_www.springer.com,124_2_www.springer.com,124_3_www.springer.com,124_4_www.springer.com,124_5_www.springer.com,124_6_www.springer.com,124_7_www.springer.com,124_8_www.springer.com,124_9_www.springer.com,124_10_www.springer.com,125_1_www.springer.com,125_2_www.springer.com,125_3_www.springer.com,125_4_www.springer.com,125_5_www.springer.com,125_6_www.springer.com,125_9_www.springer.com,125_10_www.springer.com
21,1306644.32,1310272.0,1347497.4,1269816.28,1174441.42,1239336.12,1248775.0,1285517.94,1265283.96,1218363.7,3303699.72,2878552.48,3226491.0,2981284.2000000007,2591565.64,2878352.64,2847654.22,3139111.12,2697439.72,2415541.06,381572.02,506670.42,467826.00000000006,375063.72,413330.76,471578.98,472225.48,505852.04,478486.34,463146.2,916771.32,953281.28,907776.2,941928.1999999998,950671.88,899011.96,907716.5799999998,941174.98
22,1317207.36,1328078.0,1353716.4,1297585.2000000002,1322913.48,1247764.4399999995,1258294.0,1293254.8,1273559.04,1227360.0,3573137.8,3169036.9600000014,3500233.2000000007,3256316.6,2854722.2,3181127.4399999995,3015887.8000000007,3366407.8,2946475.8000000007,2774552.359999999,386982.20000000007,518296.2000000003,503290.8000000001,406435.91999999975,503976.84,475241.52,497026.32000000007,515252.64,484934.2,488706.92,954234.32,1028644.72,930332.64,982125.92,957472.76,907165.6,957244.8,961420.9600000004
23,1336640.96,1339099.0,1363620.7999999998,1347809.24,1342385.96,1256167.66,1278312.0,1302284.16,1281523.28,1288978.4,3816097.2,3453103.8000000007,3823186.4,3455963.0,3004262.8000000007,3450481.76,3230073.7600000007,3558677.68,3321909.44,3040190.52,454152.06,577743.98,507550.4,488609.26,511430.08,495580.66,501241.32,557187.4,502170.98,501046.62,966990.48,1061462.8,953245.84,988726.12,977174.96,963725.36,989710.86,1043982.28
24,1379947.76,1376588.0,1395085.3999999994,1358650.04,1376966.9200000006,1267885.6,1318266.0,1329123.84,1309938.24,1336589.4,4051814.6,3735717.72,4152010.2,3675525.2000000007,3247832.6000000006,3714744.64,3528158.4,3705201.6,3587643.68,3258171.4,507823.48,616663.8800000001,538754.2000000002,501292.92,517641.96,513894.2,507356.32,582620.08,509017.88,506468.44,979360.8,1067756.64,976175.4,1003238.6,985487.68,996083.32,995619.56,1109214.48
25,1396840.0,1420551.5,1410714.0,1394207.5,1425991.0,1308315.0,1364759.0,1349233.0,1347441.5,1367852.5,4217935.0,3985770.0,4278520.0,3993566.0,3553856.0,3947068.0,3750501.5,3886589.0,3832739.0,3512573.0,512843.5,640329.5,579720.0,508113.0,573930.0,567356.0,515610.0,619163.0,570374.5,532952.0,1011063.0,1103577.0,1010335.0,1013322.0,1044636.0,1004463.0,1040233.5,1136335.0
26,1427940.52,1440097.0,1461815.0,1446084.68,1434515.12,1352729.96,1380630.0,1391410.84,1379304.12,1418480.6,4306830.88,4191427.4,4334464.4,4243992.4,3820342.6,4111949.4,3923899.4,4133084.16,4079179.56,3778866.28,517072.72,700215.1200000006,586132.4,543814.8,584689.04,583166.4,521219.68,629343.92,580985.12,578379.48,1037470.56,1130019.04,1048188.96,1151542.4400000002,1062194.96,1038302.84,1091781.72,1144126.52
27,1473690.64,1449826.5,1474137.6,1454786.36,1451022.4800000002,1374460.9,1393664.0,1396601.02,1399852.7,1440164.0,4313437.92,4279837.039999999,4377158.0,4330023.3,4075369.64,4236130.6,4143096.720000002,4466689.8,4239045.44,4055827.04,523986.08,716574.86,628809.4,579248.76,628321.72,588764.46,550978.8800000001,689656.4400000001,613369.78,618454.8999999999,1043829.16,1148168.7200000002,1122127.24,1164379.9599999995,1149597.56,1113438.6,1135120.7999999998,1183424.58
28,1489215.24,1463892.0,1478727.6,1467762.36,1469956.96,1382951.64,1403109.0,1447475.6,1407497.72,1449633.2,4346582.84,4321539.16,4416800.6,4362984.4,4218297.16,4332852.56,4275274.56,4641361.48,4329667.16,4208030.5600000005,528780.84,720496.84,653259.8000000003,583449.56,633543.52,627322.88,594542.1600000003,698931.76,619784.36,625173.4400000001,1154920.64,1153919.1600000004,1144434.36,1203293.36,1174807.84,1141573.88,1150697.24,1190128.56
29,1502492.2,1471570.0,1525250.9999999998,1482124.7,1598931.48,1395212.82,1411712.0,1525866.6,1417480.9,1459590.5,4367521.36,4327302.92,4539744.0,4408240.500000001,4341219.88,4355371.64,4361666.08,4689573.4,4341113.08,4326523.5600000005,530975.34,723572.58,695948.6,602846.6799999998,670124.24,634747.42,628164.52,701488.8800000001,625302.7999999999,660217.5999999996,1171212.6,1198173.2000000014,1151794.16,1208483.76,1225601.8,1146361.84,1158258.8,1251501.360000001
30,1515694.6,1549148.0,1623980.0,1619023.8,1636971.0,1402959.4,1426575.0,1557709.2,1477034.0,1465845.0,4426830.3999999985,4386076.8,4555440.0,4448104.0,4353519.4,4408129.2,4449716.6,4710934.6,4412214.8,4344691.2,537968.6,728729.4,718051.0,625190.4,696380.6,634618.4,627748.8,704761.8,686458.2,690568.6,1237202.3999999994,1230873.6,1186452.4000000004,1227474.6000000006,1270690.0,1183954.0,1199791.8,1276738.2
