,157_1_www.oracle.com,157_2_www.oracle.com,157_3_www.oracle.com,157_4_www.oracle.com,157_5_www.oracle.com,157_7_www.oracle.com,157_8_www.oracle.com,157_9_www.oracle.com,157_10_www.oracle.com,158_1_www.oracle.com,158_2_www.oracle.com,158_3_www.oracle.com,158_4_www.oracle.com,158_5_www.oracle.com,158_6_www.oracle.com,158_7_www.oracle.com,158_8_www.oracle.com,158_9_www.oracle.com,158_10_www.oracle.com,159_1_www.oracle.com,159_3_www.oracle.com,159_4_www.oracle.com,159_5_www.oracle.com,159_6_www.oracle.com,159_7_www.oracle.com,159_8_www.oracle.com,159_9_www.oracle.com,159_10_www.oracle.com,160_1_www.oracle.com,160_2_www.oracle.com,160_3_www.oracle.com,160_4_www.oracle.com,160_5_www.oracle.com,160_6_www.oracle.com,160_7_www.oracle.com,160_8_www.oracle.com,160_9_www.oracle.com,160_10_www.oracle.com
10,366982.0,468401.0,556602.0,367812.0,465786.2000000003,366450.6,214219.8,528246.0,329315.0,219793.4,265668.0,218173.8,223070.6,245605.4,226182.8,206262.60000000012,219269.8,195934.4000000001,229604.2,217124.4,219604.2,219542.0,225808.2,231337.0,193218.40000000005,220250.6,233169.0,225719.8,296980.2000000001,361629.8000000001,408392.59999999974,238663.6,234747.6,364256.0,203429.0,291541.8,186012.8,279145.0
11,476642.3999999999,532817.5,583513.86,436432.08,532951.98,433644.04000000015,334283.44,539281.48,359136.4,224332.04,415644.79999999993,221949.44,235106.72,252275.64,245820.52,220218.96,222956.98,219604.06,246247.68,221099.96,223321.88,243601.00000000012,270595.3999999999,247485.4,225464.38,227958.96,263461.8,247324.72,388515.4,427359.76,525542.32,270442.36,280917.43999999994,430133.40000000014,250258.1999999998,337787.28,209703.96,339754.0
12,533405.6,544277.0,671485.84,516765.48,568942.72,530887.92,435607.32,567033.76,426210.6,252799.2,506439.2,253530.1999999999,265788.6,282580.5199999999,264223.76,231658.76,236482.8,244568.48,303836.75999999995,229737.84,234936.2,257257.6,425248.52000000025,272929.0,229211.48,254067.4,371597.7200000001,255067.56000000003,464258.4,533171.5600000003,624940.48,363856.12000000005,379816.00000000006,505784.6,348039.3999999997,374177.76,249978.92,421552.0
13,568061.7,562250.0,717137.48,537998.12,638514.0800000001,567234.68,525134.16,592086.38,516332.4,255462.72,606497.0800000001,344952.1199999997,321361.68,353289.08,301231.4,239997.8,263742.28,250624.04,395012.32000000007,244702.4,266554.8,297906.60000000003,495006.76,361620.8,259961.32,285008.84,513272.24,344299.4,500618.0,624656.68,632223.64,397056.2,475194.56,566315.0,449202.5999999999,437396.8,298622.6,497124.0
14,572896.0,590514.0,743078.4400000002,565415.8,662252.6799999999,584760.68,641378.84,639123.1199999996,657036.6000000001,273172.8,696764.24,401909.44,379760.72,421381.16,447165.1600000002,264080.8,361806.3999999999,265201.4,464819.44,270253.80000000016,385959.5199999998,393917.2000000003,503442.56000000006,494954.79999999993,310221.84,376436.99999999977,602989.7599999999,451653.44000000024,601072.36,632783.88,635023.56,468371.4,489047.64,633744.0,559359.0,525994.36,333635.04000000004,617398.0
15,594472.0,595098.5,813768.0000000001,598636.0,706134.8,658111.6,662827.8,676543.0,662921.0,376248.2,697669.9,469033.8,429876.0,493870.2,517135.1,339534.0,491549.1000000002,387513.4000000001,571936.1999999997,360949.40000000014,504037.6,510012.0,594514.4,530472.0,391420.6,456756.1999999998,692442.6,541455.4,617388.2,634143.4,640496.0,521412.0,545603.4,636635.5,623246.5,595524.4,372595.6,634899.0
16,700544.1999999997,633401.0,876117.44,662650.76,725297.88,673282.28,668828.4,706104.24,668926.0,510637.8,716920.6,484123.12,503560.52,571502.8,584624.24,417529.64,522941.2,502199.88000000006,620838.16,466405.2,585016.2399999999,545183.6,693546.48,582939.2,471386.23999999993,546378.24,707135.8,634140.92,632707.64,648430.1200000001,735321.5599999997,618868.48,586008.0,690005.8,634619.8,635105.64,416868.4,639682.0
17,732672.2,727008.0,907105.64,685678.24,764099.0800000009,705949.4799999996,733623.84,764849.84,732350.8,603814.6799999999,726719.64,505894.24,603559.9599999997,622585.06,656011.8400000001,502357.6,544953.56,545584.94,698414.32,516452.12,682738.16,658237.0000000003,703189.8,650556.3999999999,523012.48,659386.36,741029.4400000002,695736.88,633826.84,686499.36,798557.6,635535.88,641014.56,709207.5000000001,639278.0,638164.68,486869.6,691920.0
18,743919.0,743075.0,1030855.1600000005,733973.12,814830.9199999998,736776.12,743006.28,785999.84,735248.8,701881.64,765877.8,572029.2799999998,683039.3200000002,626046.24,672922.28,546260.64,615320.56,641985.8400000001,738348.68,623730.04,704282.7999999998,695627.6,737880.12,740120.5999999995,572793.4400000001,696313.32,747814.64,707126.16,638033.28,709089.8800000001,808617.88,637601.24,641663.84,793209.4,672670.2,671397.2,576812.2799999998,753654.0
19,878270.5,834988.0,1101976.3,794572.56,863019.0800000002,791041.12,783276.76,889287.76,812227.3999999998,705131.28,776207.68,665621.44,705702.84,633828.68,709202.58,616376.84,679469.5199999999,687049.2600000001,739916.12,694208.04,739117.44,737232.4,742754.72,747966.4,652071.1,702786.5599999999,763208.12,738801.4400000002,713618.64,800157.76,823402.2,660477.8,651899.4,810113.9,696928.6000000002,741143.6,641090.92,805991.0
20,907083.0,881309.0,1106371.8,870597.0,928338.8,832648.0,893885.2000000002,1033440.0,858250.0,716832.8,790938.2,705913.3999999996,740357.6,642753.8,711299.2,676431.8,724478.4,733133.0000000001,745080.2,704182.6,744257.4,742074.0,745789.8,766371.0,706048.4,713581.2,765173.0,745566.8,770192.0,810554.6,953018.9999999995,735974.0,685391.3999999998,865050.0,725838.0,799524.0,644241.6,813110.0
21,943012.5,892657.0,1114593.42,898707.08,1011367.9600000008,897990.64,908713.88,1100506.22,907284.8,730784.3200000002,855517.1200000001,740053.12,741224.56,654088.08,749009.3200000002,733898.7999999998,740744.62,738551.68,764023.12,736981.64,761528.72,753875.2,749161.48,810699.0,720675.6800000002,715996.6,816631.92,747072.08,807277.92,869303.2000000002,993754.44,801818.0,753958.28,976358.7,801127.0,808061.6,649826.2,912245.0
22,1077286.3999999994,914777.0,1141924.4,908366.4,1093215.96,907948.52,982783.88,1102782.04,928721.2,758074.6799999998,884875.32,745511.08,751725.88,701396.88,761074.36,739487.28,744939.3200000002,744279.24,765462.68,739930.48,762443.44,758147.4,768303.48,816993.3999999998,742360.2,758133.48,826897.8,753266.44,829101.4800000002,966520.72,995161.84,844777.7999999998,808208.36,997413.4,810658.4,820180.2399999999,705866.2000000003,968647.0
23,1095316.2,999719.0,1156363.32,961710.7600000001,1097754.16,1024156.6799999998,1028201.96,1107932.52,1062866.4000000006,779343.1199999999,885702.14,751199.76,760189.88,747715.6,768832.82,744981.4,762193.0400000002,746492.08,792593.04,745569.48,791196.44,772044.8,778253.6,818972.4,757439.98,778722.04,838225.68,776379.6,959010.04,994985.32,996725.68,933770.0,817849.52,998281.8,847524.9999999999,885515.36,784208.6,990440.0
24,1097617.6,1098764.0,1202186.36,1092275.72,1112008.4,1093303.76,1080062.96,1135330.64,1096276.4,822917.1599999998,971359.9600000002,766401.08,766541.6,784173.2799999998,798724.6399999999,762784.52,764383.84,759466.96,868067.6799999998,775734.04,804334.2,775427.8,799363.4,824463.8,763117.96,793919.8,840468.52,794506.6400000001,994454.48,995946.56,1004469.12,948607.16,899820.9200000002,1006151.4,888240.1999999995,927271.68,821515.4800000002,997723.0
25,1106309.5,1104381.0,1216824.5,1095299.0,1115812.5,1094004.0,1095562.0,1137774.5,1098456.0,827971.0,1072408.0,768075.0,777434.0,798238.5,821858.0,807520.0,766449.5,765992.0,933620.0,805949.0,826953.0,783166.0,838399.0,832521.0,793321.0,798033.0,852962.0,815660.0,994229.0,998672.0,1026461.0,984748.0,970528.0,1012543.5,940383.5,963648.0,897832.0,1002405.0
