,30_1_www.spiegel.de,30_2_www.spiegel.de,30_3_www.spiegel.de,30_4_www.spiegel.de,30_5_www.spiegel.de,30_6_www.spiegel.de,30_7_www.spiegel.de,30_8_www.spiegel.de,30_9_www.spiegel.de,30_10_www.spiegel.de,31_1_www.spiegel.de,31_2_www.spiegel.de,31_3_www.spiegel.de,31_4_www.spiegel.de,31_5_www.spiegel.de,31_6_www.spiegel.de,31_8_www.spiegel.de,31_10_www.spiegel.de,32_1_www.spiegel.de,32_2_www.spiegel.de,32_3_www.spiegel.de,32_4_www.spiegel.de,32_5_www.spiegel.de,32_6_www.spiegel.de,32_7_www.spiegel.de,32_8_www.spiegel.de,32_9_www.spiegel.de,32_10_www.spiegel.de,33_1_www.spiegel.de,33_2_www.spiegel.de,33_3_www.spiegel.de,33_4_www.spiegel.de,33_5_www.spiegel.de,33_6_www.spiegel.de,33_7_www.spiegel.de,33_8_www.spiegel.de,33_9_www.spiegel.de,33_10_www.spiegel.de
26,4081398.919999998,3678184.24,3845940.7999999993,3817145.24,3759541.8,3584489.44,3892754.08,3597511.3200000008,3550142.16,3662900.76,2223027.32,2449332.04,1997639.0,1935962.28,1985907.68,1859610.16,1849815.4,1937594.0,1805275.36,1492782.84,1703573.4,1787139.56,1699991.48,1740062.28,1752111.8400000003,1496234.88,1479608.64,1369550.92,1430006.4,1395488.56,1622040.039999999,1670745.4,1666696.64,1469960.4,1660960.0,1399955.32,1642446.12,1404276.04
27,4282894.48,3634928.46,3853544.2,3879099.2,3914099.6,3791376.08,4207005.44,3560037.96,3548897.48,3736513.28,2283880.46,2604065.58,2106191.0,1997945.46,2116668.02,1888693.88,1874488.4,2033797.1,1825374.76,1513182.58,1718245.76,1801397.84,1717680.38,1748344.8800000006,1811243.12,1553979.86,1489359.98,1451305.76,1480023.0,1410253.88,1851266.04,1738091.36,1702014.88,1600718.36,1706813.0,1484967.16,1674006.5399999996,1433440.76
28,4398386.4,3667870.56,3929315.6,3946484.28,4194100.0,3877936.48,4494807.6,3561824.4,3628244.72,3783494.44,2288701.44,2622556.52,2115799.0,2116140.04,2249673.96,1927707.56,1883707.4,2173828.8,1843493.0,1522674.88,1736065.8399999996,1850865.24,1800154.08,1810269.8,1842885.64,1594328.96,1501799.0,1476807.16,1578021.4,1480327.7199999997,1935710.44,1876615.76,1842662.6,1612980.56,1727285.0,1517525.16,1697231.36,1454797.52
29,4477392.84,3777322.42,4138124.2,4138698.94,4251308.6,3892814.14,4871918.56,3560774.36,3805803.98,3801627.92,2376615.64,2675588.78,2159864.0,2227918.16,2260815.58,2175776.72,2033784.1999999997,2301297.8,1899923.72,1594803.4399999997,1776242.04,1888689.6,1838268.54,1873601.26,1883971.04,1664914.08,1515754.22,1490064.68,1673407.1000000003,1575878.16,1964019.92,1888957.68,1860177.06,1660289.6800000004,1813033.0,1531698.04,1808283.58,1563286.84
30,4528691.8,3842990.2,4177445.0,4426523.599999999,4393621.0,3905760.8,5062389.4,3707701.6,4019264.6,3835190.0,2421046.8,2697495.1999999993,2177821.0,2259961.0,2275769.2,2238931.6000000024,2238296.0,2311515.0,1924813.4,1645147.2,1794680.2,1904959.6,1855568.0,1886433.4,1912182.8,1681606.4,1523412.4,1648438.9999999998,1683542.0,1590727.2,2080717.8,1931940.2,1865331.2,1677055.2,1841528.0,1690360.0,1823947.4,1629176.6
31,4706062.72,3857139.8800000018,4410626.599999999,4626806.12,4428530.2,4000429.34,5111102.04,3759351.92,4288013.94,3906465.12,2432811.98,2728932.16,2193973.0,2276064.68,2288091.66,2296753.76,2279623.8,2520166.2,1967309.0,1685515.76,1898352.64,1917741.26,1860165.88,1895311.94,1918851.04,1693918.58,1639167.56,1679498.6800000004,1699852.0000000002,1648763.76,2087785.16,2044889.68,1889981.96,1707464.12,1900412.5,1728168.32,1895364.3999999962,1640935.56
32,4721370.36,3935649.52,4814652.6,4882593.72,4503095.8,4271829.6400000015,5209265.92,3811061.24,4317876.84,3930233.76,2442917.96,2756649.88,2237616.0,2355891.32,2345448.72,2314365.96,2296827.6,2526379.2,2019628.76,1700043.48,1926425.08,1942762.08,1892685.08,1903753.56,1938490.36,1705328.16,1647483.24,1688855.88,1709887.4,1659580.28,2108765.68,2079740.0400000012,1907510.24,1729029.04,1963217.0,1734329.04,1928856.199999999,1702447.399999999
33,4967384.88,3952933.2,5056639.4,4935806.78,4644890.6,4492082.18,5281495.84,3844704.88,4438286.299999999,4106472.96,2472256.72,2780272.22,2363548.0,2367648.18,2387846.58,2427844.28,2309439.6,2543511.8,2031735.56,1722757.52,1935220.08,1981075.58,1914691.88,1962319.28,1996996.44,1716248.34,1679908.8,1702113.04,1735889.8,1694691.68,2124157.16,2302841.04,1930808.28,1819526.28,2171310.0,1748816.76,1978852.14,1734023.08
34,5112641.16,4017196.1600000006,5161966.8,5026345.0,4805298.0,4527669.92,5313911.32,3867959.24,4448852.92,4235554.32,2540141.88,2829731.04,2384268.0,2389946.32,2446456.600000001,2483844.36,2316949.2,2551736.0,2061563.4000000008,1740790.48,1951942.2,2052170.88,1953740.16,2018270.96,2119434.84,1727681.6,1689798.08,1714241.039999999,1765932.8,1768552.04,2179225.16,2362862.28,2159645.56,1991260.64,2202578.0,1761501.16,2007435.08,1853299.32
35,5176899.5,4045287.8000000007,5220744.0,5139674.3,4821266.0,4660353.6,5406697.2,3967263.4,4598971.3999999985,4577885.0,2562194.9,2848792.9,2410763.0,2404535.3,2520755.4,2509730.6,2440618.0,2599955.0,2096938.6,1783305.8000000003,2044876.8,2180357.9,1991949.9,2054586.8,2130300.8,1754322.6,1730329.6,1781285.4,1885198.5,1801304.1999999997,2190611.4,2385004.8,2163323.1,2013583.8,2235111.0,1887253.4,2161389.799999999,1883799.6
