,230_1_www.msn.com,230_2_www.msn.com,230_3_www.msn.com,230_4_www.msn.com,230_5_www.msn.com,230_6_www.msn.com,230_7_www.msn.com,230_8_www.msn.com,230_9_www.msn.com,230_10_www.msn.com,231_1_www.msn.com,231_2_www.msn.com,231_3_www.msn.com,231_4_www.msn.com,231_5_www.msn.com,231_6_www.msn.com,231_7_www.msn.com,231_8_www.msn.com,231_9_www.msn.com,231_10_www.msn.com,232_1_www.msn.com,232_2_www.msn.com,232_5_www.msn.com,232_6_www.msn.com,232_7_www.msn.com,232_8_www.msn.com,232_9_www.msn.com,232_10_www.msn.com,233_1_www.msn.com,233_2_www.msn.com,233_3_www.msn.com,233_4_www.msn.com,233_5_www.msn.com,233_6_www.msn.com,233_7_www.msn.com,233_8_www.msn.com,233_9_www.msn.com,233_10_www.msn.com
10,103071.2,103167.0,36656.2,106404.6,106298.0,93548.79999999996,106277.0,95896.2,71416.0,79915.0,68762.20000000001,67149.4,69298.0,65105.4,73568.4,58947.2,71151.6,72691.59999999999,112512.0,65287.60000000001,108817.99999999996,151468.4,130758.80000000019,179033.2,146551.60000000015,133816.6,178890.4,162921.0,58928.0,59287.8,61332.6,135638.59999999998,61283.0,60092.2,59379.4,69820.40000000001,81530.4,71862.2
11,103384.08,104652.4,49652.91999999999,109484.86,108893.9,104218.52,107589.3,99174.48,69958.2,108961.6,86302.74,69701.80000000005,75215.0,68646.96,80079.96000000004,64281.98,81098.6,95784.13999999993,140541.44,70323.78,153575.16,190562.8,183733.98,188006.96,181206.68000000008,177381.19999999995,180571.62,194505.0,62579.7,57883.46,60577.82,192051.28000000003,65443.6,58587.52,60155.92,73363.74,83031.19999999995,80759.2
12,117936.19999999998,109181.4,62532.24000000001,111375.39999999998,110298.00000000004,102655.56,116419.00000000006,107361.56,68934.6,107956.8,101924.8,77161.48,111322.0,69130.79999999999,118074.28,67446.16,130168.31999999998,132753.3999999999,169198.32,75217.84,179335.04,199894.56,185211.36,189557.2,195941.28,198248.44,203579.76,197970.0,64505.2,59206.72,59058.16,196205.84,67732.19999999997,60296.56,68858.64,78686.56,126537.36,91122.48
13,126319.48,107452.8,64007.24000000001,124043.36,124738.9,103819.16,128205.0,107880.8,70339.2,114569.00000000006,125949.09999999998,82495.44,126178.0,77435.04,170144.03999999998,70190.19999999997,150724.6,184703.15999999997,236939.3199999999,93299.56000000016,211555.68,205378.4,216814.64000000013,243315.35999999996,197406.48,196670.92,202951.04,232237.0,70825.4,65796.78,60158.26,201020.60000000003,71439.7,66767.88,68474.36,88043.0,178860.00000000003,114900.76
14,126577.12,117802.4,83197.35999999999,123210.4,127306.6,107840.52,126804.39999999998,128622.55999999998,96546.2,131759.2,142362.6,94087.04,216197.0,88626.95999999998,225566.96,69388.68000000001,219461.12,264745.16,317187.32,131734.40000000002,259290.63999999996,290439.28,250504.92,277454.28,233057.80000000005,226616.0,249664.28000000003,299185.0,70135.8,65306.12,65084.11999999999,222198.8,69739.4,66084.88,72586.08,103340.2,200979.44,154474.9199999999
15,124957.00000000006,125811.0,98279.2,129498.4,126437.0,113810.8,137245.0,130226.8,100046.0,132365.0,171062.8,148900.40000000005,290120.0,111079.2,319248.2,85285.00000000003,298433.8,334438.9999999999,375244.8,169546.1,308251.5,370359.3999999999,299851.40000000014,352157.79999999993,287781.80000000005,301497.60000000003,306785.99999999994,377752.0,71576.5,69705.9,68457.9,230862.6,79517.5,71888.2,72717.20000000001,138385.39999999994,260120.0,185831.8
16,179097.80000000005,159633.0,99535.56,163602.04,146555.2,113269.72,180004.00000000012,127916.2,104336.6,132306.0,227622.88,190940.04000000007,332707.0,145471.4,380846.16,100066.76,348554.5600000001,347937.92,386062.76,181855.72,385073.12,400954.36,350885.32,393351.6,357104.96,364226.4800000001,367108.24,401519.0,71395.00000000003,69389.76,69972.32,241159.52,86248.2,71744.48,80686.71999999999,184447.92,262912.88,214299.4
17,239213.84,225516.0,101460.52,230277.92000000004,222544.20000000013,115286.16,267820.9,145530.52000000002,103923.8,153487.60000000006,264775.04,264227.91999999987,340573.0,177311.36000000004,386532.68,111587.28,380643.08,366672.48,392811.4799999999,223509.72,387242.16,416570.56,396574.72,397826.6,399910.52,426556.08,395034.54,432233.0,82356.40000000002,70592.02,72605.09999999999,257218.08,92782.69999999998,72834.07999999999,101355.12,219183.6,303098.14,249921.55999999997
18,270410.72000000003,272989.3999999997,103103.08,306822.48,312893.60000000003,121212.84,292780.0,214627.20000000013,108222.2,219655.4000000002,315638.08,339210.72000000003,361073.0,225446.32,388937.12,114240.2,381780.28,391012.79999999993,400742.32,292214.19999999995,399966.19999999955,429242.32,439450.4,440575.4799999999,456229.84,469251.04,441010.76,455423.0,107508.40000000002,71625.72000000003,74397.44,291425.88,106494.39999999997,79530.84,106679.8,252093.92,334320.88,309372.6
19,312261.48,316445.6,107241.64,308939.94,368197.5,125954.84,369818.9,289949.92,110843.4,294741.19999999995,351190.26,387266.84,391517.0,268592.16000000003,397152.44,165284.39999999985,384721.96,399024.78,402711.54,321201.72000000003,462684.54,433982.6,503947.34,469826.32,485873.6,506068.82,464983.96,495238.0,117966.4,73683.06,72279.4,333611.6400000009,115403.0,80241.40000000002,136752.24,290117.72,368759.8399999997,349488.3599999998
