,index,1_10_www.google.com,1_1_www.google.com,1_2_www.google.com,1_3_www.google.com,1_4_www.google.com,1_5_www.google.com,1_6_www.google.com,1_7_www.google.com,1_8_www.google.com,1_9_www.google.com,2_10_www.google.com,2_1_www.google.com,2_2_www.google.com,2_3_www.google.com,2_4_www.google.com,2_5_www.google.com,2_6_www.google.com,2_7_www.google.com,2_8_www.google.com,3_10_www.google.com,3_2_www.google.com,3_5_www.google.com,3_6_www.google.com,3_8_www.google.com,3_9_www.google.com,4_10_www.google.com,4_1_www.google.com,4_2_www.google.com,4_3_www.google.com,4_4_www.google.com,4_5_www.google.com,4_6_www.google.com,4_7_www.google.com,4_8_www.google.com,4_9_www.google.com
10,11,7592.0,82403.0,85590.8,12578.600000000002,14338.2,85783.2,40676.8,12232.2,11743.8,51534.0,90208.0,92868.0,88675.4,122213.8,100556.0,148665.4,90762.2,34411.399999999994,34231.4,83312.0,34524.6,139404.80000000002,95937.4000000001,91479.8,79908.2,25543.6,25331.4,10598.4,26264.4,29316.6,34192.4,28160.2,25378.4,29889.799999999992,25684.4
11,12,12437.999999999995,83599.24,85952.67999999996,57930.48000000009,14431.54,87189.96,69369.20000000001,48349.16,12449.44,82677.0,133878.8,116090.00000000016,88565.96,140802.08,100175.6,147890.74,95635.52,41141.68,34756.64,123571.0,36120.62,142990.52000000002,120575.9,94205.27999999996,81576.92,24268.84,29268.32,29439.48,28486.720000000005,28015.68,38852.54,28818.079999999984,27513.560000000023,34738.54,27975.320000000018
12,13,12958.4,83963.04,91624.12,81908.64,28694.6,93363.68,81968.36,82557.59999999999,49959.43999999992,83879.0,186602.6,150057.60000000006,180686.84,143281.08,97682.2,153266.52,128845.08,50141.36000000004,41182.360000000015,166324.0,69895.72000000003,145154.88,193919.48,95820.75999999997,82645.52,23212.279999999995,36693.959999999985,28328.44,31232.92,26475.56,73350.88,28699.279999999995,33068.6,64893.68,56823.56000000004
13,14,82658.59999999999,89563.16,92929.92,83629.06,63915.24000000001,94719.04,83727.36,86169.28,81340.36,83168.0,194329.4,197872.8,190835.44,166666.6800000002,123682.6,209464.88000000032,178539.92,85846.80000000003,59808.43999999992,174518.5,80858.24,202518.9199999997,232325.3,112420.06,83171.56,29053.16,66765.56,27134.42,33026.94,28056.92,172143.78,29642.2,35364.12,72839.82,78148.51999999999
14,15,82941.39999999997,92197.88000000002,93549.08,87225.72,84399.48,97738.84,85255.76,85739.92000000001,82750.96,85482.0,200053.8,205133.2,195504.32,290419.12,157063.2,335135.16,188188.36,89880.52000000002,84902.48,192021.0,88028.4,345564.91999999987,333335.88,144697.7999999999,84231.08,30764.48,72597.72,26313.32,54264.71999999998,29574.04,174935.80000000002,33380.48,67851.16000000003,127986.44000000016,95857.92
15,16,86040.5,93524.2,108682.99999999993,91522.3,85776.1,163381.99999999994,86776.6,91879.8,84540.2,93241.0,233824.0,236992.0,203736.2,381544.1,163437.0,386519.2,203770.3,93840.2,88154.59999999998,231940.5,92130.9,381996.2,371273.3,164470.1999999999,85012.8,64998.8,75057.8,25840.999999999996,76613.7,31498.4,186020.6,32956.0,114434.00000000006,173735.4,135182.80000000002
16,17,87588.4,95076.6,167327.2799999999,92992.48,85168.56,231978.4,92940.44,93330.64,86237.28,93775.0,298666.4,277015.2,219962.72000000012,381071.64,213306.4,395534.76,204723.28,92087.92,91743.12,263030.0,95660.12,385882.4,372217.48,205022.92,101742.83999999997,67689.48,99319.88000000006,56298.28000000003,79797.4,61911.44,184508.56,62833.80000000001,169929.28,177013.52,135529.6
17,18,91437.6,150784.04,230745.36000000004,93561.36,87359.54000000001,250045.44,93552.2,93180.08,89976.12000000002,93183.0,336531.2,346291.8,277319.84,388836.78,212214.2,397820.18,236813.08,90270.22,89976.64,343000.5,93919.62,389785.32,377543.02,203880.78,115660.15999999995,71454.44,172434.16,64892.66,150710.28,73820.28,183410.92,71296.44,174630.76,178751.78,172309.04
18,19,93304.2,181943.4,248466.24,97811.80000000002,92880.24,250228.76,124824.28,119219.59999999998,91861.44,128065.0,384180.59999999945,390239.80000000045,359648.5200000005,389936.04,259635.4,397695.48,303087.52,91261.2,87795.08,388150.0,94774.56,391645.32,377402.56,234080.2399999994,161438.59999999998,73456.76,175384.48,91256.95999999996,176048.24000000005,73457.48,186829.92,79283.2,176355.12,180300.12,178838.4
19,20,93857.1,219094.2,248275.88,155300.56000000006,94924.62,254921.6,164041.15999999995,168114.31999999995,92450.48,171924.0,391083.4,403602.8,390843.96,389622.26,299666.0,405077.46,378288.42,96525.72,104305.52000000002,393739.5,93149.16,397309.56,382491.52,317949.91999999987,171277.32,106738.88,177499.68,116840.62,176067.54,140719.24000000002,237304.27999999988,84219.87999999998,178847.56,181915.94,178542.56
20,21,129642.0,228474.2,300052.9999999998,221251.60000000003,97630.4,295412.3999999998,214886.20000000004,213301.59999999992,111479.99999999994,225512.0,398032.0,403725.0,396329.4,395288.8,335635.0,407466.6,397136.2,132972.4,126718.6,393302.0,98824.6,402109.6,386808.4,376082.4,187172.4,141360.4,179630.4,119189.0,177333.4,176203.40000000005,265365.8,137557.0,180360.8,190911.8,178872.0
21,22,200108.59999999992,245063.52000000005,312679.48,234269.08,99179.77999999998,322318.72,246687.28,247238.52,164915.23999999993,246589.0,401684.2,408805.8000000001,397092.52,399450.4,385124.2,496230.20000000007,400100.9,137121.42,162700.72,401232.5,100609.82,473472.64,392262.68,392852.62,185795.84,173382.84000000005,180329.08,123662.11999999994,178837.38,175703.04,268748.76,171581.48,185359.64,191928.36,183730.96
22,23,246903.8,248443.64,313914.04,248186.24,101759.96,321794.52,245929.92,248604.88,223521.64,245585.0,403196.0,407311.6,400449.44,429254.12,407348.8,615833.4,400335.72,141692.36,168686.88,402966.0,107129.08,482108.84,392893.8,398720.64,187339.84,173808.36,184317.56,157915.32,182326.8,181045.2,267634.48,174944.32,186311.44,192268.56,185538.04
23,24,248658.7,248292.64,315888.48,249545.8,135850.98,324016.36,248015.2,248246.16,245437.04,247827.0,423647.4,427899.6,403706.68,436748.00000000023,406577.6,623072.6799999999,403256.58,155779.44000000015,171105.36,404784.5,106869.46,509401.96,441742.6,395679.92,191100.44,175662.16,183276.6,172966.19999999998,183923.4,183430.88,268734.24,174966.24,186991.12,233652.6,184723.64
