index,161_1_www.snapchat.com,161_2_www.snapchat.com,161_3_www.snapchat.com,161_4_www.snapchat.com,161_5_www.snapchat.com,161_6_www.snapchat.com,161_7_www.snapchat.com,161_8_www.snapchat.com,161_9_www.snapchat.com,161_10_www.snapchat.com,162_1_www.snapchat.com,162_2_www.snapchat.com,162_3_www.snapchat.com,162_4_www.snapchat.com,162_5_www.snapchat.com,162_6_www.snapchat.com,162_7_www.snapchat.com,162_8_www.snapchat.com,162_9_www.snapchat.com,162_10_www.snapchat.com,163_1_www.snapchat.com,163_2_www.snapchat.com,163_3_www.snapchat.com,163_4_www.snapchat.com,163_5_www.snapchat.com,163_6_www.snapchat.com,163_7_www.snapchat.com,163_8_www.snapchat.com,163_9_www.snapchat.com,163_10_www.snapchat.com,164_1_www.snapchat.com,164_2_www.snapchat.com,164_3_www.snapchat.com,164_4_www.snapchat.com,164_5_www.snapchat.com,164_6_www.snapchat.com,164_7_www.snapchat.com,164_8_www.snapchat.com,164_9_www.snapchat.com,164_10_www.snapchat.com
12,12880.760000000004,13697.180000000004,21862.559999999998,12107.599999999999,13108.0,13737.7,14205.560000000001,14224.36,12744.16,25825.52000000001,669518.86,1044179.6799999999,805500.2000000001,668298.4,914822.84,1451993.92,574615.2,1470025.0000000005,757826.0,1242285.0,200367.68,179506.16,192708.83999999997,236810.99999999994,454646.60000000027,259018.70000000004,303421.83999999997,201843.44,287829.12000000005,472493.84,6351.56,5303.0,8586.199999999999,8532.28,8572.34,8606.44,5583.78,4852.919999999999,8396.56,6324.58
13,13591.48,16212.32,32680.96,13860.8,14250.0,33934.2,30221.120000000035,13980.24,15040.52,33819.96,752812.5599999998,1135212.2,930629.24,724422.7999999997,1114692.48,1609087.64,660923.4,1558314.0,872462.0,1352933.0,260752.24,211815.87999999983,255316.2,326126.56,548786.2000000001,346098.4,392380.04,254364.71999999994,370745.92,529523.8,6084.08,6123.0,8435.6,8485.84,8543.52,9507.600000000002,5235.88,4343.52,7919.12,8605.84
14,30891.240000000013,17172.7,32354.8,29304.600000000006,13903.0,33356.8,33956.52,20506.440000000024,25284.899999999994,33272.28,911989.14,1248509.6399999997,1019816.2000000001,831737.7999999999,1223688.26,1689161.28,694479.0,1742110.8000000003,959637.0,1438268.0,318892.08,283496.9999999998,319716.8,357923.60000000003,674798.0,423778.66000000003,476770.87999999995,307015.6000000001,446116.32000000007,623213.2000000001,8421.68,7414.0,8177.900000000001,8560.960000000001,8555.38,14297.08,5027.88,5191.319999999999,10919.599999999999,8486.14
15,33443.479999999996,16889.72,31885.56,33832.4,29831.0,32873.4,33464.4,33761.44,31074.199999999993,32815.28,986989.88,1352081.52,1134145.8,925474.5999999999,1265000.4,1929394.92,769570.2000000002,1898488.8,1075887.0,1535791.0,366243.52,326444.44,362873.12000000005,416707.63999999996,770463.2000000001,493422.48000000004,547910.16,369880.92,534966.2799999999,734577.6,8188.76,8234.0,8400.800000000001,7786.4800000000005,8160.4400000000005,14169.720000000001,4602.52,6071.16,14168.56,8108.679999999999
16,32967.799999999996,20504.4000000001,32624.600000000002,33368.0,33903.0,37055.0,33035.6,33272.5,33831.6,56176.80000000004,1116970.5999999999,1482605.2,1266924.0,1042659.0,1323062.3,2153860.599999999,880771.5,2001884.0,1179354.0,1675637.0,460026.60000000003,367952.5999999999,438428.0,492178.19999999995,850155.0000000005,564064.4,571303.0,404867.0,586502.2000000001,803711.0,8393.9,8437.5,7701.5,12824.400000000005,11575.999999999996,15753.2,4951.800000000002,6092.400000000001,14042.8,10088.399999999996
17,32575.44,45234.88000000003,50935.87999999999,32968.6,33462.0,68834.40000000002,45534.28000000011,32845.16,33369.6,79947.6,1198077.6,1588274.84,1287468.72,1152768.9999999998,1347443.8,2237822.88,978048.5999999999,2132301.2,1290583.0,1759761.0,498178.08,423585.39999999997,496082.5200000001,530007.7599999998,936996.6000000001,624402.0400000002,612450.24,442921.8,682690.28,912502.4400000001,9966.76,8035.0,10334.000000000002,14264.88,14393.64,18254.4,6435.32,8342.64,15643.72,10787.320000000002
18,36955.47999999999,66085.77999999998,75064.55999999997,38433.800000000054,33062.0,84276.40000000004,72646.00000000009,34131.600000000006,32970.48,113279.87999999992,1281359.14,1737404.22,1355928.16,1257043.4,1415068.92,2323129.3999999994,1064457.2,2255761.9000000004,1392278.0,1894555.0,585044.7200000001,485405.52,559339.9600000001,606455.96,1012248.2000000008,676631.9800000001,653365.6399999999,497104.00000000023,763819.52,1018327.8,11183.400000000001,9916.0,12854.6,13867.88,14196.04,17887.88,6299.26,8130.72,18312.760000000002,12527.799999999996
19,71538.80000000003,77177.6,94054.64000000004,64540.40000000002,32696.0,108373.0,102294.40000000002,82618.52000000002,37753.199999999924,139705.72,1284109.48,1912075.8,1394732.72,1320410.0,1508949.4400000002,2526458.8,1134923.2,2488101.6000000006,1517995.0,2043521.0,656046.2,554357.3999999999,623459.2000000002,675036.1599999999,1085067.4000000001,758259.68,733926.6399999998,566743.72,800965.4400000001,1100960.1600000001,12777.76,14312.0,13176.800000000001,14705.040000000017,13855.32,31574.160000000003,8105.159999999995,8300.52,17924.2,13871.64
20,85361.80000000002,123871.72000000015,115961.71999999999,101064.0,43651.0,122709.30000000008,128861.20000000001,112581.71999999991,83286.39999999997,158351.63999999998,1343060.82,1993097.98,1451390.24,1360212.0,1585968.18,2728024.1999999997,1184133.2,2697817.4000000004,1615462.0,2066695.0,713107.4400000001,628401.9999999999,721958.5200000001,744047.2799999999,1176946.6000000003,827102.4400000001,811673.44,631090.76,894953.3,1207450.28,13326.120000000003,14128.0,13694.1,18409.8,16355.599999999988,40716.28,8436.380000000001,7856.16,18462.760000000002,17227.199999999993
21,127873.40000000007,145027.0,168097.6,124517.0,63719.0,168205.0,149511.40000000002,140467.0,100208.79999999999,177357.2,1374408.4,2086118.9999999995,1564705.2,1364862.0,1678055.8,2929134.1999999997,1293868.0,2897743.0,1691670.0,2138541.0,788076.6000000001,722938.7999999999,770473.6000000001,821099.3999999999,1243110.0,924570.8000000004,881726.3999999999,696255.6000000001,958777.2,1259771.0,13719.800000000001,14032.0,13794.0,18072.399999999998,18362.0,59476.19999999998,8446.6,8446.999999999996,33591.4,18402.0
