index,153_1_www.icann.org,153_2_www.icann.org,153_3_www.icann.org,153_4_www.icann.org,153_5_www.icann.org,153_6_www.icann.org,153_7_www.icann.org,153_8_www.icann.org,153_9_www.icann.org,153_10_www.icann.org,154_1_www.icann.org,154_2_www.icann.org,154_3_www.icann.org,154_4_www.icann.org,154_5_www.icann.org,154_6_www.icann.org,154_7_www.icann.org,154_8_www.icann.org,154_9_www.icann.org,154_10_www.icann.org,155_1_www.icann.org,155_2_www.icann.org,155_3_www.icann.org,155_4_www.icann.org,155_5_www.icann.org,155_6_www.icann.org,155_7_www.icann.org,155_8_www.icann.org,155_9_www.icann.org,155_10_www.icann.org,156_1_www.icann.org,156_2_www.icann.org,156_3_www.icann.org,156_4_www.icann.org,156_5_www.icann.org,156_6_www.icann.org,156_7_www.icann.org,156_8_www.icann.org,156_9_www.icann.org,156_10_www.icann.org
11,77641.4,88992.4,74286.20000000001,82432.0,74014.60000000006,80547.4,64997.0,102342.0,89164.60000000003,115567.8,36002.399999999994,37490.0,38587.8,51276.599999999984,33569.6,38731.0,44140.399999999994,53366.0,43412.00000000001,83616.80000000002,37635.6,30760.0,61386.59999999998,70743.0,39081.200000000004,39136.99999999999,86709.19999999992,39313.799999999996,91403.79999999999,81657.99999999991,1307.999999999999,1246.6000000000001,4108.6,1138.7999999999997,1138.7999999999997,1138.7999999999997,1515.4,1497.2,3991.8,1246.6000000000001
12,83600.34,113375.39999999998,97626.4,102487.1,100916.48,91033.60000000002,69524.8,139336.99999999997,143360.4,150668.59999999998,75446.39999999994,68985.8,41272.32,67074.18000000001,51300.32000000008,44245.4,64084.07999999997,72532.59999999998,62054.08000000001,95724.94,54181.799999999996,29479.000000000007,89513.79999999999,92231.59999999999,39544.76,56065.59999999998,107128.92,58471.899999999994,98237.42,92488.78,2720.7000000000007,1806.599999999998,3977.08,2111.2999999999993,2111.2999999999993,2111.2999999999993,1440.6399999999999,1559.2200000000003,3689.46,1806.599999999998
13,94487.08000000002,141357.4,109178.59999999999,138960.19999999998,134461.12,132574.63999999998,81177.8,154556.99999999997,147536.72,177714.27999999997,94888.28,94373.19999999997,75605.32,86384.56,84156.4,61096.399999999936,93983.12,108571.79999999999,95027.48,104027.88,89758.04,34920.000000000015,91786.76,101692.39999999992,41681.48,89432.2,112361.12000000001,78677.08000000002,103493.2,102833.4,3883.08,3302.5999999999995,3623.68,3468.5999999999995,3711.7999999999997,3711.7999999999997,1141.8000000000002,1117.24,3601.360000000001,3302.5999999999995
14,117773.79999999994,168834.1,167688.56000000006,178620.14000000004,169652.40000000002,166910.84,106340.59999999996,177879.79999999996,167892.36000000002,208081.16000000003,113796.60000000005,106747.59999999999,95303.40000000001,103879.92000000001,96315.96,95597.19999999997,95516.36,119271.4,97483.2,111907.90000000002,99554.12,40361.00000000001,110449.2799999999,117916.0,52843.399999999936,103450.26000000004,139211.23999999993,94306.95999999999,115487.3,120118.94,4120.64,4079.72,3833.1400000000012,4054.08,4057.36,4057.36,2305.2,1945.1000000000004,4146.74,4079.72
15,166271.80000000002,183542.79999999996,211493.28000000003,232157.19999999998,187837.96,204089.68000000005,144253.59999999995,204774.99999999997,182240.88,253122.75999999983,120407.04,119053.39999999998,109220.20000000001,112575.84,105597.4,104680.6,105618.48,164746.6,115812.44,118594.76,119816.2,46854.000000000015,129952.48000000001,136767.0,88482.04000000001,132946.19999999998,169877.59999999998,117370.20000000001,142510.72,153561.44,4026.7599999999998,3987.48,4150.72,4081.08,3957.2400000000002,3957.2400000000002,3711.7999999999997,3234.399999999998,4832.680000000001,3987.48
16,214099.60000000003,198251.49999999997,249889.79999999996,290618.5,246818.20000000007,227868.40000000002,173664.0,241351.0,226926.4,285006.0,127740.5,129871.0,124487.4,124006.49999999999,110928.6,127052.0,120917.59999999996,216167.0,120398.8,146166.00000000012,129665.6,61740.0,152395.39999999997,161972.0,102037.6,170514.69999999995,218819.49999999994,150774.5,205169.0000000001,178727.2,3852.7,3798.6000000000004,5529.9,3981.4,3702.3,3702.3,4069.4,4095.2000000000003,5485.9,3798.6000000000004
17,250847.88000000003,225233.19999999998,293072.88,320692.12,287055.8,253587.08000000002,208824.8,310064.79999999993,256655.2400000001,338602.28,157482.52000000002,161419.19999999995,126626.6,154062.19999999998,124746.16,130687.6,133068.68,244789.2,158239.96,173004.2,141574.80000000002,96102.00000000001,172392.11999999994,193878.0,126287.71999999999,199819.87999999995,249550.28,175120.0,261042.6,238536.19999999998,3610.72,3586.56,5324.08,3730.7200000000003,3569.28,3569.28,3987.48,4022.04,5280.08,3586.56
18,267437.77999999997,287771.92,293321.92,321287.02,294947.72,301591.4,245558.79999999987,359319.9999999998,304644.87999999995,339120.02,184227.8200000001,191628.99999999997,156707.6,195237.4,155818.96,167759.9999999999,178934.12,243151.8,181268.36000000002,217842.76000000013,169137.52000000002,107604.4,203620.56,217947.99999999983,170720.62,239503.1,256267.22,221085.0800000001,282259.78,260634.52000000002,3773.24,3749.44,5209.22,3592.36,3959.2200000000003,3938.76,3837.1200000000003,3933.48,5165.22,3739.52
19,277648.32,341685.68,294841.32,322538.96,296128.88,346552.84,296298.0,390744.2,312132.96,340398.24,242215.8,211477.99999999997,190584.91999999998,237761.6,219557.75999999998,194280.8,238426.40000000002,247206.0,225032.76000000013,248376.16,184544.91999999998,133719.00000000023,206455.64,245854.39999999997,207948.7600000001,274666.4,275489.55999999994,258179.04,285366.6,269410.63999999996,4140.92,4154.16,5120.920000000002,3968.88,4135.08,4104.08,3599.52,3683.04,5076.920000000002,4123.16
20,281623.08,388970.46,298702.2,326857.9,296170.5200000001,371515.88000000006,357866.00000000006,388805.4,313964.88,342943.7,274962.32,250950.40000000008,228099.40000000002,252354.79999999996,253858.6,223212.6,244297.44,262236.0,265393.8,249439.38,219901.79999999996,185403.59999999995,230104.91999999966,287830.4,264247.77999999997,302006.56,302960.76,259299.7,298633.3599999999,289952.58,4127.14,4361.279999999999,7080.96,4158.14,4928.200000000002,4117.86,3554.16,3574.6800000000003,7036.96,4097.72
21,288245.6000000001,386513.6,301300.8,341840.0,298719.4,388368.2,382953.0,418395.0,345341.8,353281.39999999997,296416.8,280606.0,242071.0,263113.8,297033.2,243352.0,247463.59999999998,284659.0,269126.4,260649.00000000003,244006.2,221547.0,243633.99999999994,298856.0,299937.7999999999,306913.8,304171.6,269462.2,310398.9999999998,307549.2,4467.199999999999,5190.2,6851.4,4598.800000000001,5552.6,4912.000000000002,4020.8,3786.399999999999,6807.4,4356.599999999999
22,300180.42,391653.58,350045.24,373839.68,334834.0000000002,399174.32,381035.4,423407.8,348746.8,372640.6,324410.22000000003,297483.6,268239.76,264929.66,347844.04,277101.79999999993,255659.6,293032.6,286457.56000000006,272633.72,245671.52,271279.00000000006,280876.39999999997,302335.9,327119.96,324755.58,315368.86,286233.74,353469.04,310533.64,5100.620000000001,5389.24,6894.06,5185.5599999999995,5601.62,5392.62,4104.08,4126.34,6850.06,5221.24
23,341762.24,395892.56,360100.76,387209.6,378214.8000000002,399957.44,384951.0,431900.3999999996,351125.8,433946.67999999976,365718.27999999985,343469.8,269235.92,284735.0,356661.24000000005,288177.19999999995,281935.43999999994,332555.3999999999,305321.76,329371.60000000003,295320.68,313714.6000000001,318987.39999999997,306302.2,341507.07999999996,328028.2,320198.8,300054.24,369169.44,322355.04,5312.16,5296.840000000001,7005.68,5353.84,5383.92,5174.92,4110.44,4087.12,6961.68,5128.840000000001
24,365732.26,410399.8999999999,397229.72,401600.75999999983,405007.64,400266.80000000005,389097.2,463733.6,401816.96000000014,445220.96,373742.8,375299.99999999977,280053.08,288002.4,378520.48,301478.99999999994,290364.24,385439.2,341211.28,355698.34,313490.16,324822.2,349894.3999999999,320822.2,351924.64,342964.45999999985,327138.34,306698.64,384973.3,348542.27999999997,5120.219999999999,5002.92,6611.0199999999995,5141.780000000001,5286.46,5077.46,4458.96,4130.58,6567.0199999999995,4834.92
25,384078.56,472176.3199999999,401706.36,457613.12,431714.68,404521.76,423175.7999999999,502236.1999999998,452246.96000000014,467789.12,418313.0000000001,399631.99999999994,306179.96000000025,321175.12,432963.75999999995,329388.8,319914.0,422781.0,376414.8,386478.32,314643.72,341720.2,393576.8,322662.3999999999,355150.08,355351.04,333090.19999999995,311109.28,432985.32,362638.95999999985,4982.52,5078.72,8289.080000000009,5035.48,5133.360000000001,4924.360000000001,5189.8,5023.36,7800.119999999999,4910.72
26,398650.5,481295.0,444698.0,471181.5,470786.0,410873.0,431189.0,517494.0,491459.0,500022.5,447584.5,428414.0,312893.0,341257.5,480734.0,350032.0,341322.0,474213.0,397655.0,460110.00000000006,341117.0,342992.0,448416.9999999998,343261.5,375832.5,382804.0,334959.5,359893.5,473260.5,416787.0,4843.0,4712.0,10294.0,4892.0,4778.5,4569.5,5446.0,5409.5,7561.5,4544.0
