index,242_1_www.dmca.com,242_2_www.dmca.com,242_3_www.dmca.com,242_4_www.dmca.com,242_5_www.dmca.com,242_6_www.dmca.com,242_7_www.dmca.com,242_8_www.dmca.com,242_9_www.dmca.com,242_10_www.dmca.com,243_1_www.dmca.com,243_2_www.dmca.com,243_3_www.dmca.com,243_4_www.dmca.com,243_5_www.dmca.com,243_6_www.dmca.com,243_7_www.dmca.com,243_8_www.dmca.com,243_9_www.dmca.com,243_10_www.dmca.com,244_1_www.dmca.com,244_2_www.dmca.com,244_3_www.dmca.com,244_4_www.dmca.com,244_5_www.dmca.com,244_6_www.dmca.com,244_7_www.dmca.com,244_8_www.dmca.com,244_9_www.dmca.com,244_10_www.dmca.com,245_1_www.dmca.com,245_2_www.dmca.com,245_3_www.dmca.com,245_4_www.dmca.com,245_5_www.dmca.com,245_6_www.dmca.com,245_7_www.dmca.com,245_8_www.dmca.com,245_9_www.dmca.com,245_10_www.dmca.com
19,431861.36,495490.84,504519.84,512804.68,566198.8400000001,483654.88,454657.72,565153.16,433241.00000000006,367953.2,207217.27999999997,193848.72,223641.48000000007,138386.52,190939.68,266615.64,227048.68,196042.52000000002,195554.8,193294.48,249224.08,215041.59999999998,353113.04,211142.32000000012,240401.36000000002,223333.40000000002,258153.2,480010.32,259745.4,279326.48,258212.56,187597.4,206058.75999999992,192426.68,186111.08,202009.2399999999,107218.52000000002,264887.36,92999.28,140355.59999999998
20,516957.3199999997,511100.62,556385.5199999999,566649.72,572921.76,487493.56,494721.82,573050.98,445115.2,475575.19999999995,218816.02,213262.83999999997,226581.46,154635.52,206936.78,332557.88,229377.68,199181.08,201199.48,221489.06,271397.96,232962.63999999996,381429.1599999999,231431.41999999998,248333.92,251235.2,260130.0,527846.2,274161.8,331700.4800000002,259553.82,192838.19999999992,223118.82,208482.96,189811.58000000002,209203.59999999998,155626.91999999995,267175.08,100822.16000000028,184173.80000000005
21,571028.8,564182.0,569922.2,571132.6,685023.1999999998,500914.8,528365.6,579103.3999999999,489980.0,497021.0,222311.4,228095.99999999997,261667.40000000023,154375.4,211829.4,342255.6,249623.0,200606.2,216949.40000000005,228560.6,273146.0,291669.2,466174.8,239768.19999999998,261780.2,259826.8,267627.0,584902.2000000002,279562.0,349862.39999999997,314559.00000000035,206766.0,227190.2,215908.6,193434.3999999999,215248.39999999994,186527.8,271874.0,152838.60000000012,188126.0
22,575197.24,576507.2,667190.36,610571.9600000008,858045.6799999999,527384.28,551400.6799999996,581486.2399999998,566793.5,502920.49999999994,229940.39999999997,249887.06000000006,299574.56000000006,167721.67999999996,213579.12,342644.52,314493.4,206320.76,220594.88,229427.06,280763.44,309579.94,471853.72000000003,252835.91999999998,263238.77999999997,261872.08,300709.99999999994,622201.72,304542.8999999999,354964.0,331485.16000000015,213924.6,230484.32,236454.08000000002,208452.46,216469.8,187503.28,343854.18000000017,194147.03999999998,186331.6
23,611193.5999999994,631067.52,825035.48,702968.4400000002,1020612.6,567697.24,563930.56,706795.04,675289.6000000003,509377.3999999996,248709.68,304808.92,303198.92,217541.8,216745.72,373302.44,359728.12,208341.84,227569.96,233137.08,321859.92,309991.76,475527.68000000005,272094.36,307260.0400000005,265657.72,380617.19999999995,684244.04,354055.4,353542.64,368904.84,216336.99999999997,263144.19999999995,236089.2,213289.88,216988.4,188487.84000000003,353819.04,195025.32,187650.6
24,778414.16,773881.7999999997,971912.36,922012.9600000004,1142794.16,571392.74,571032.96,855016.8399999997,816693.6000000001,563968.3,279503.49999999994,305027.86,304808.6,255727.92,236230.56,405532.12000000005,385155.0399999999,228520.36,247402.80000000005,274534.47999999986,338090.0,336575.1599999999,482870.12,331666.74,320862.76,319988.9999999999,386708.7,692397.96,359062.2,359608.6800000001,411043.46,218509.2,322409.19999999995,268358.8799999999,217080.68,229979.19999999995,189775.56,355631.04000000004,193781.78,189479.5
25,858788.7999999999,923656.9199999997,1103971.48,1090447.08,1148512.88,623811.6,617695.0,1032582.8799999995,1005515.2000000008,633101.0,282920.48,310795.96,304567.28000000026,283919.5599999998,236929.88,415322.72,418174.32,239043.6,264692.44,312270.8,370325.19999999995,403876.68,512242.7599999999,374764.12,327307.08,354255.7199999998,409889.7999999999,698545.3599999999,363162.0,408892.96,414411.52,225162.80000000002,376247.16,309154.04000000004,220210.68,269927.72,192079.28,409941.44,198465.76000000004,201451.60000000006
26,1005402.0,1055612.0,1137903.0,1148494.0,1163713.0,725776.0,714999.0,1151822.0,1122538.0,772365.9999999998,282433.5,348228.0,368863.0,346025.5,247928.0,416468.0,428698.0,254016.0,263513.0,315680.0,417447.0,436609.5,599197.0,410972.0,399562.0,386627.0,422024.5,785482.0,364193.5,461149.5,418529.0,232633.0,388547.5,322942.0,239171.5,269482.0,212142.0,415472.5,219012.0,212271.5
27,1144892.52,1143919.64,1209300.5599999998,1165246.1600000001,1207016.399999999,879411.8399999999,841954.04,1164680.36,1146793.6,950459.3999999997,289677.75999999983,405917.1199999999,410709.44,407545.28,256575.64,421719.52,528607.3600000001,285968.52,282617.48,362485.3199999999,420133.96,450584.5599999997,606813.52,422765.84,420874.0,399026.5999999996,435140.8,827535.28,404629.7999999999,461925.96,421754.72,253637.39999999994,426724.0,370687.6,252954.36,325331.9999999998,214221.31999999998,420638.32,248132.03999999998,215515.8
28,1176873.9999999998,1150735.12,1261107.48,1243231.3200000003,1294227.16,1027551.8399999994,990231.6400000001,1192058.7199999997,1191480.9,1140665.1,349292.51999999967,414328.48,412856.38,416042.64,273693.02,425588.76,539451.44,326721.88,342220.5200000003,405489.36,434088.24000000017,470209.04,682956.52,439190.42,438898.36,405136.88,460061.2,832497.96,451807.4,474434.52,423710.20000000007,304383.3999999999,512341.1,372643.68,311509.48,366255.6399999999,229104.20000000004,423000.78,265612.22000000003,215096.3
